Data,Organisation unit,Value
gqhJ7uUEVvH,303961,354.0
gqhJ7uUEVvH,404769,656.0
tZJ5q911iIz,303958,273.0
tZJ5q911iIz,557345,1858.0
i6QEYClHdq0,303915,147.0
aCNUUnn9WRa,100925,1564.0
i6QEYClHdq0,404730,2072.0
JAyhRsqgHlq,404712,2.0
SfAMOtgRGMl,303334,917.0
WbJrqc7RiNR,557385,490.0
WbJrqc7RiNR,100954,153.0
QBuqiBnunbj,100954,134.0
tZJ5q911iIz,309338,218.0
Nx1PwHixPdu,100925,5037.0
EIYwrOwQp1b,404769,897.0
JAyhRsqgHlq,404775,20.0
QBuqiBnunbj,557385,899.0
QBuqiBnunbj,303386,31.0
LJUDUzZRzM9,557312,6.0
WbJrqc7RiNR,303985,99.0
MjZc6wdibMI,309328,13.0
u9OhIVDEWsy,309376,36.0
MHYV3eFwGZU,100925,1103.0
aCNUUnn9WRa,100954,233.0
gqhJ7uUEVvH,309376,15.0
tZJ5q911iIz,309309,3.0
SfAMOtgRGMl,404717,290.0
WbJrqc7RiNR,100925,1309.0
QBuqiBnunbj,303915,449.0
i6QEYClHdq0,303985,52.0
QBuqiBnunbj,100925,339.0
u9OhIVDEWsy,303961,426.0
MjZc6wdibMI,309376,2.0
aCNUUnn9WRa,303929,32.0
EIYwrOwQp1b,404775,332.0
i6QEYClHdq0,404794,2394.0
Nx1PwHixPdu,303929,136.0
JAyhRsqgHlq,309319,125.0
v772UnlCScj,100965,34.0
MHYV3eFwGZU,303386,47.0
GrWwPolhzSH,100965,44.0
LJUDUzZRzM9,404794,1688.0
LJUDUzZRzM9,309309,3.0
tZJ5q911iIz,404740,231.0
EIYwrOwQp1b,303961,52.0
tZJ5q911iIz,309328,63.0
EIYwrOwQp1b,404712,150.0
vhYNM40e45e,557315,6.0
vhYNM40e45e,557385,56.0
WbJrqc7RiNR,303386,64.0
QBuqiBnunbj,303985,77.0
Nx1PwHixPdu,404753,1042.0
gqhJ7uUEVvH,309319,171.0
JAyhRsqgHlq,303961,89.0
MjZc6wdibMI,303958,1.0
SfAMOtgRGMl,303332,739.0
vhYNM40e45e,303915,19.0
gqhJ7uUEVvH,404775,333.0
u9OhIVDEWsy,404775,1283.0
u9OhIVDEWsy,404712,597.0
LJUDUzZRzM9,303915,366.0
gqhJ7uUEVvH,303907,142.0
u9OhIVDEWsy,557345,2920.0
i6QEYClHdq0,557315,26.0
Nx1PwHixPdu,303985,190.0
LJUDUzZRzM9,404730,75.0
v772UnlCScj,404712,17.0
EIYwrOwQp1b,309385,19.0
SfAMOtgRGMl,100965,62.0
EIYwrOwQp1b,309319,153.0
WbJrqc7RiNR,557336,564.0
EIYwrOwQp1b,303907,34.0
JAyhRsqgHlq,309328,42.0
vhYNM40e45e,100954,44.0
v772UnlCScj,404717,56.0
MHYV3eFwGZU,303929,120.0
LJUDUzZRzM9,303386,9.0
tZJ5q911iIz,309323,22.0
GrWwPolhzSH,303332,40.0
aCNUUnn9WRa,303985,151.0
MHYV3eFwGZU,303985,52.0
MjZc6wdibMI,404769,241.0
MjZc6wdibMI,404775,93.0
LJUDUzZRzM9,557336,81.0
u9OhIVDEWsy,404769,3324.0
i6QEYClHdq0,557385,97.0
gqhJ7uUEVvH,557345,2323.0
GrWwPolhzSH,404717,167.0
gqhJ7uUEVvH,404712,2.0
tZJ5q911iIz,557312,335.0
WbJrqc7RiNR,404730,8132.0
i6QEYClHdq0,557336,242.0
WbJrqc7RiNR,404717,285.0
GrWwPolhzSH,404775,267.0
Nx1PwHixPdu,100954,297.0
v772UnlCScj,303334,7.0
GrWwPolhzSH,303334,366.0
JAyhRsqgHlq,100965,10.0
SfAMOtgRGMl,404775,363.0
JAyhRsqgHlq,309376,2.0
GrWwPolhzSH,404712,26.0
LJUDUzZRzM9,557345,102.0
WbJrqc7RiNR,303332,465.0
LJUDUzZRzM9,557385,553.0
WbJrqc7RiNR,557315,767.0
GrWwPolhzSH,303961,70.0
MjZc6wdibMI,404712,35.0
vhYNM40e45e,309309,2.0
MjZc6wdibMI,557345,54.0
WbJrqc7RiNR,303915,850.0
v772UnlCScj,404775,214.0
i6QEYClHdq0,404717,141.0
GrWwPolhzSH,557385,311.0
SfAMOtgRGMl,404769,693.0
aCNUUnn9WRa,557315,867.0
Nx1PwHixPdu,100965,76.0
i6QEYClHdq0,404740,83.0
Nx1PwHixPdu,557315,2262.0
tZJ5q911iIz,404712,219.0
JAyhRsqgHlq,303958,6.0
gqhJ7uUEVvH,303334,633.0
aCNUUnn9WRa,309323,32.0
v772UnlCScj,100925,425.0
EIYwrOwQp1b,404764,9.0
SfAMOtgRGMl,303985,118.0
u9OhIVDEWsy,557315,1589.0
GrWwPolhzSH,404769,563.0
MjZc6wdibMI,303336,140.0
SfAMOtgRGMl,557385,1077.0
u9OhIVDEWsy,404764,46.0
Nx1PwHixPdu,309319,213.0
MHYV3eFwGZU,303336,592.0
vhYNM40e45e,404717,178.0
i6QEYClHdq0,309338,106.0
aCNUUnn9WRa,100965,76.0
aCNUUnn9WRa,309319,108.0
gqhJ7uUEVvH,404764,33.0
JAyhRsqgHlq,303929,45.0
tZJ5q911iIz,404794,1836.0
WbJrqc7RiNR,303334,820.0
QBuqiBnunbj,309309,20.0
GrWwPolhzSH,303386,26.0
EIYwrOwQp1b,303336,363.0
MHYV3eFwGZU,309309,21.0
Nx1PwHixPdu,404764,26.0
Nx1PwHixPdu,309395,374.0
u9OhIVDEWsy,557312,1615.0
MjZc6wdibMI,557312,32.0
MHYV3eFwGZU,557312,70.0
QBuqiBnunbj,303336,329.0
EIYwrOwQp1b,303334,894.0
MjZc6wdibMI,404794,55.0
aCNUUnn9WRa,303907,642.0
u9OhIVDEWsy,309385,49.0
EIYwrOwQp1b,557315,681.0
u9OhIVDEWsy,404794,3349.0
WbJrqc7RiNR,303336,215.0
tZJ5q911iIz,557336,397.0
WbJrqc7RiNR,557312,123.0
u9OhIVDEWsy,309395,374.0
u9OhIVDEWsy,303336,720.0
SfAMOtgRGMl,303915,859.0
EIYwrOwQp1b,557345,1906.0
u9OhIVDEWsy,303334,656.0
MHYV3eFwGZU,404794,2088.0
i6QEYClHdq0,309309,12.0
v772UnlCScj,309328,11.0
WbJrqc7RiNR,404764,13.0
QBuqiBnunbj,404717,261.0
aCNUUnn9WRa,404764,14.0
LJUDUzZRzM9,303958,1.0
Nx1PwHixPdu,303907,1443.0
JAyhRsqgHlq,404717,72.0
MHYV3eFwGZU,303958,6.0
Nx1PwHixPdu,309323,219.0
v772UnlCScj,100954,153.0
gqhJ7uUEVvH,303336,245.0
gqhJ7uUEVvH,303929,56.0
i6QEYClHdq0,303958,6.0
aCNUUnn9WRa,404775,336.0
QBuqiBnunbj,404794,1839.0
WbJrqc7RiNR,404794,4429.0
WbJrqc7RiNR,309385,20.0
SfAMOtgRGMl,303907,250.0
Nx1PwHixPdu,303334,940.0
aCNUUnn9WRa,303915,822.0
Nx1PwHixPdu,404769,3194.0
gqhJ7uUEVvH,100965,54.0
QBuqiBnunbj,557336,333.0
LJUDUzZRzM9,404740,6.0
GrWwPolhzSH,309319,69.0
JAyhRsqgHlq,100925,786.0
WbJrqc7RiNR,303929,81.0
gqhJ7uUEVvH,309385,5.0
Nx1PwHixPdu,404775,1248.0
SfAMOtgRGMl,309319,145.0
QBuqiBnunbj,303929,131.0
u9OhIVDEWsy,404753,861.0
LJUDUzZRzM9,303985,32.0
GrWwPolhzSH,309338,118.0
QBuqiBnunbj,557312,206.0
MHYV3eFwGZU,557336,383.0
GrWwPolhzSH,303907,43.0
aCNUUnn9WRa,303334,696.0
WbJrqc7RiNR,100965,66.0
JAyhRsqgHlq,303336,678.0
i6QEYClHdq0,309319,17.0
aCNUUnn9WRa,404769,1190.0
MHYV3eFwGZU,303961,78.0
JAyhRsqgHlq,557312,14.0
Nx1PwHixPdu,303332,739.0
tZJ5q911iIz,303961,206.0
WbJrqc7RiNR,309328,80.0
tZJ5q911iIz,303386,143.0
vhYNM40e45e,557312,4.0
v772UnlCScj,557312,4.0
QBuqiBnunbj,404730,5547.0
Nx1PwHixPdu,557385,1407.0
Nx1PwHixPdu,557345,2780.0
GrWwPolhzSH,303985,86.0
EIYwrOwQp1b,309328,29.0
v772UnlCScj,404794,1589.0
EIYwrOwQp1b,100965,42.0
aCNUUnn9WRa,303332,396.0
MHYV3eFwGZU,404717,95.0
