Data,Organisation unit,Value
SO5FPIMwAc5,10000452,0.0
qwYNKZORbss,HS_27430190000,0.0
JHJDbG6o4qf,HS_27430020000,0.0
JHJDbG6o4qf,HS_27422150000,0.0
qO8CgZ4vKfP,10001648,4.0
bxWM44vSK5Y,10002067,2.0
lRRI95T2oSz,HS_27430190000,1.0
SO5FPIMwAc5,10001648,2.0
SWlC9SrLpke,10001001,9.0
eMADOufSiyY,10000922,191.0
lRRI95T2oSz,HS_27430210000,0.0
pHhXDcv67eW,HS_27430190000,0.0
bxWM44vSK5Y,10000452,0.0
qO8CgZ4vKfP,10001001,9.0
qO8CgZ4vKfP,10002025,3.0
qwYNKZORbss,HS_27430210000,0.0
lRRI95T2oSz,HS_27430020000,0.0
lRRI95T2oSz,HS_27422150000,0.0
pHhXDcv67eW,HS_27430020000,0.0
pHhXDcv67eW,HS_27422150000,0.0
qwYNKZORbss,HS_27430020000,0.0
qwYNKZORbss,HS_27422150000,0.0
RQc18l3wDSO,HS_27430210000,1.0
bxWM44vSK5Y,10001001,0.0
JHJDbG6o4qf,HS_27430190000,0.0
qO8CgZ4vKfP,HS_27430090000,0.0
RQc18l3wDSO,HS_27430190000,28.0
eMADOufSiyY,HS_27430190000,55.0
SWlC9SrLpke,10002067,5.0
qO8CgZ4vKfP,10000452,0.0
eMADOufSiyY,HS_27430210000,10.0
SWlC9SrLpke,HS_27430090000,60.0
bxWM44vSK5Y,HS_27430090000,4.0
SO5FPIMwAc5,10002067,2.0
lRRI95T2oSz,10000922,15.0
JHJDbG6o4qf,HS_27430090000,29.0
JHJDbG6o4qf,HS_27430210000,0.0
SO5FPIMwAc5,HS_27430090000,75.0
qO8CgZ4vKfP,10002067,0.0
pHhXDcv67eW,HS_27430170000,0.0
lRRI95T2oSz,10002002,0.0
SWlC9SrLpke,10001317,1.0
bxWM44vSK5Y,10002002,0.0
JHJDbG6o4qf,10001001,0.0
bxWM44vSK5Y,HS_27430170000,0.0
SO5FPIMwAc5,10000922,142.0
SWlC9SrLpke,HS_27430020000,40.0
RQc18l3wDSO,10000922,13.0
JHJDbG6o4qf,10002025,0.0
qO8CgZ4vKfP,HS_27422150000,10.0
pHhXDcv67eW,10001001,0.0
eMADOufSiyY,HS_27430020000,61.0
SWlC9SrLpke,10002002,7.0
JHJDbG6o4qf,10002002,0.0
qO8CgZ4vKfP,10000922,174.0
JHJDbG6o4qf,10001648,0.0
bxWM44vSK5Y,10001317,5.0
SWlC9SrLpke,10001648,3.0
eMADOufSiyY,10001648,12.0
bxWM44vSK5Y,HS_27430020000,0.0
bxWM44vSK5Y,10002025,0.0
eMADOufSiyY,10001317,24.0
lRRI95T2oSz,HS_27430090000,32.0
lRRI95T2oSz,10002067,2.0
qwYNKZORbss,10000922,0.0
SWlC9SrLpke,10002025,2.0
RQc18l3wDSO,HS_27422150000,12.0
eMADOufSiyY,10002002,19.0
bxWM44vSK5Y,10001648,0.0
JHJDbG6o4qf,10001317,4.0
qwYNKZORbss,10002067,0.0
qO8CgZ4vKfP,HS_27430210000,0.0
pHhXDcv67eW,10000452,0.0
qwYNKZORbss,10001648,12.0
zfH93frNrj6,10001317,25.0
lRRI95T2oSz,10000452,0.0
qO8CgZ4vKfP,HS_27430190000,34.0
SO5FPIMwAc5,HS_27430190000,1.0
pHhXDcv67eW,10001648,0.0
lRRI95T2oSz,10001648,0.0
RQc18l3wDSO,10001317,1.0
qwYNKZORbss,10002025,1.0
SWlC9SrLpke,10000922,76.0
eMADOufSiyY,10002025,6.0
lRRI95T2oSz,10002025,0.0
JHJDbG6o4qf,10000452,0.0
eMADOufSiyY,10001001,72.0
RQc18l3wDSO,10002067,14.0
SO5FPIMwAc5,HS_27430020000,13.0
SO5FPIMwAc5,HS_27422150000,0.0
lRRI95T2oSz,10001001,3.0
lRRI95T2oSz,10001317,5.0
pHhXDcv67eW,10002025,0.0
pHhXDcv67eW,10001317,5.0
SWlC9SrLpke,HS_27430190000,28.0
qwYNKZORbss,HS_27430090000,0.0
JHJDbG6o4qf,HS_27430170000,0.0
SO5FPIMwAc5,HS_27430210000,0.0
qwYNKZORbss,10000452,0.0
SWlC9SrLpke,HS_27430210000,9.0
