Data,Organisation unit,Value
Received KMC and 3rd followed up,Fulbari KG Upazila Health Complex,1.0
Discharged after KMC on request,"Sreemangal Upazila Health Complex,Moulvibazar",26.0
Received KMC and 1st followed up,"Lakhai Upazila Health Complex,Habiganj",1.0
Received KMC and 3rd followed up,"Lakhai Upazila Health Complex,Habiganj",0.0
Discharged after KMC on request,Koyra Upazila Health Complex,0.0
Received KMC and 1st followed up,Raiganj Upazila Health Complex,0.0
Discharged after KMC on request,Palash Upazila Health Complex,1.0
Discharged after KMC as per protocol,Raiganj Upazila Health Complex,0.0
Discharged after KMC as per protocol,Shibpur Upazila Health Complex,0.0
Received KMC and 2nd followed up,Begumganj Upazila Health Complex,0.0
Received KMC and 4th followed up,Raipur Upazila Health Complex,0.0
Discharged after KMC on request,Rajapur Upazila Health Complex,2.0
Discharged after KMC as per protocol,Fulbari KG Upazila Health Complex,5.0
Received KMC and 1st followed up,Fulbari KG Upazila Health Complex,1.0
Babies received KMC,Ramganj Upazila Health Complex,6.0
Discharged after KMC on request,Nageswari Upazila Health Complex,4.0
Received KMC and 4th followed up,Ramganj Upazila Health Complex,0.0
Received KMC and 4th followed up,"Madhabpur Upazila Health Complex,Habiganj",0.0
Babies received KMC,"Madhabpur Upazila Health Complex,Habiganj",12.0
Babies received KMC,Fultala Upazila Health Complex,3.0
Received KMC and 1st followed up,"Baniachong Upazila Health Complex, Habiganj",0.0
Received KMC and 1st followed up,Senbag Upazila Health Complex,0.0
Discharged after KMC on request,Bheramara Upazila Health Complex,2.0
Babies born in facility received KMC,"Bahubal Upazila Health Complex,Habiganj",13.0
Received KMC and 1st followed up,Shibpur Upazila Health Complex,0.0
Received KMC and referred/discontinued,Raipur Upazila Health Complex,0.0
Babies died during KMC,Kamolnagar Upazila Health Complex,0.0
Babies received KMC,Raipur Upazila Health Complex,1.0
Babies received KMC,Ghatail Upazila Health Complex,34.0
Babies received KMC,Melandaha Upazila Health Complex,2.0
Babies received KMC,"Nabiganj Upazila Health Complex,Habiganj",27.0
Discharged after KMC as per protocol,"Lakhai Upazila Health Complex,Habiganj",2.0
Received KMC and referred/discontinued,Ramgati Upazila Health Complex,0.0
Discharged after KMC on request,Madarganj Upazila Health Complex,0.0
Babies received KMC,Ulipur Upazila Health Complex,4.0
Received KMC and 3rd followed up,"Baniachong Upazila Health Complex, Habiganj",0.0
Received KMC and referred/discontinued,Fultala Upazila Health Complex,0.0
Received KMC and referred/discontinued,Subarnachar Upazila Health Complex,0.0
Received KMC and 3rd followed up,Senbag Upazila Health Complex,0.0
Received KMC and 3rd followed up,Raiganj Upazila Health Complex,0.0
Babies born in facility received KMC,"Mirpur Upazila Health Complex, Kushtia",1.0
Babies born in facility received KMC,"Kulaura Upazila Health Complex,Moulvibazar",1.0
Discharged after KMC as per protocol,Bheramara Upazila Health Complex,17.0
Received KMC and 2nd followed up,Mirzaganj Upazila Health Complex,0.0
Babies died during KMC,Sonaimuri Upazila Health Complex,0.0
Discharged after KMC on request,Ullapara Upazila Health Complex,0.0
Babies received KMC,"Kulaura Upazila Health Complex,Moulvibazar",4.0
Received KMC and 1st followed up,Kamolnagar Upazila Health Complex,1.0
Received KMC and 3rd followed up,Madarganj Upazila Health Complex,0.0
Received KMC and referred/discontinued,"Nabiganj Upazila Health Complex,Habiganj",6.0
Babies died during KMC,"Bahubal Upazila Health Complex,Habiganj",0.0
Discharged after KMC as per protocol,"Baniachong Upazila Health Complex, Habiganj",0.0
Discharged after KMC on request,Kalihati Upazila Health Complex,3.0
Discharged after KMC as per protocol,Senbag Upazila Health Complex,0.0
Received KMC and 2nd followed up,Kaptai Upazila Health Complex,0.0
Babies died during KMC,Hatiya Upazila Health Complex,1.0
Received KMC and 1st followed up,Kaptai Upazila Health Complex,0.0
Babies died during KMC,"Baniachong Upazila Health Complex, Habiganj",0.0
Received KMC and 2nd followed up,Hatiya Upazila Health Complex,0.0
Discharged after KMC on request,Ukhyia Upazila Health Complex,0.0
Received KMC and 1st followed up,Bheramara Upazila Health Complex,22.0
Babies died during KMC,Senbag Upazila Health Complex,0.0
Received KMC and 2nd followed up,Dumki Upazila Health Complex,0.0
Babies died during KMC,Kaptai Upazila Health Complex,0.0
Discharged after KMC as per protocol,Kaptai Upazila Health Complex,0.0
Received KMC and 2nd followed up,Senbag Upazila Health Complex,0.0
Received KMC and 2nd followed up,"Baniachong Upazila Health Complex, Habiganj",0.0
Received KMC and 4th followed up,Tarash Upazila Health Complex,0.0
Received KMC and 4th followed up,Subarnachar Upazila Health Complex,0.0
Babies died during KMC,"Rajnagar Upazila Health Complex,Moulvibazar",0.0
Discharged after KMC on request,Shibpur Upazila Health Complex,0.0
Received KMC and 4th followed up,Ulipur Upazila Health Complex,0.0
Discharged after KMC as per protocol,"Rajnagar Upazila Health Complex,Moulvibazar",33.0
Discharged after KMC as per protocol,Ukhyia Upazila Health Complex,0.0
Discharged after KMC as per protocol,Sonaimuri Upazila Health Complex,0.0
Babies born in facility received KMC,Dewanganj Upazila Health Complex,81.0
Received KMC and 2nd followed up,"Bahubal Upazila Health Complex,Habiganj",0.0
Received KMC and 1st followed up,Ukhyia Upazila Health Complex,0.0
Received KMC and 1st followed up,"Rajnagar Upazila Health Complex,Moulvibazar",33.0
Received KMC and 1st followed up,Sonaimuri Upazila Health Complex,0.0
Received KMC and 2nd followed up,Fulbari KG Upazila Health Complex,1.0
Received KMC and 2nd followed up,Raiganj Upazila Health Complex,0.0
Received KMC and 2nd followed up,"Lakhai Upazila Health Complex,Habiganj",0.0
Babies born in facility received KMC,"Nabiganj Upazila Health Complex,Habiganj",28.0
Received KMC and referred/discontinued,"Kulaura Upazila Health Complex,Moulvibazar",0.0
Received KMC and referred/discontinued,Kamarkhanda Upazila Health Complex,0.0
Received KMC and referred/discontinued,Kabirhat Upazila Health Complex,0.0
Received KMC and 3rd followed up,Koyra Upazila Health Complex,0.0
Babies received KMC,"Mirpur Upazila Health Complex, Kushtia",3.0
Received KMC and 4th followed up,"Kulaura Upazila Health Complex,Moulvibazar",0.0
Discharged after KMC on request,"Lakhai Upazila Health Complex,Habiganj",1.0
Received KMC and 3rd followed up,Begumganj Upazila Health Complex,0.0
Received KMC and 3rd followed up,Khoksha Upazila Health Complex,8.0
Babies died during KMC,Teknaf Upazila Health Complex,0.0
Babies died during KMC,Dewanganj Upazila Health Complex,2.0
Discharged after KMC on request,"Baniachong Upazila Health Complex, Habiganj",0.0
Babies received KMC,Hatiya Upazila Health Complex,1.0
Babies received KMC,Dewanganj Upazila Health Complex,82.0
Received KMC and 1st followed up,Khoksha Upazila Health Complex,12.0
Received KMC and 4th followed up,Chowhali Upazila Health Complex,0.0
Discharged after KMC as per protocol,Palash Upazila Health Complex,1.0
Babies died during KMC,Tarash Upazila Health Complex,0.0
Babies born in facility received KMC,Ghatail Upazila Health Complex,28.0
Babies received KMC,Subarnachar Upazila Health Complex,12.0
Received KMC and 4th followed up,Dewanganj Upazila Health Complex,0.0
Received KMC and referred/discontinued,Ghatail Upazila Health Complex,0.0
Discharged after KMC as per protocol,Kamolnagar Upazila Health Complex,6.0
Discharged after KMC as per protocol,Koyra Upazila Health Complex,0.0
Received KMC and 4th followed up,"Azmiriganj Upazila Health Complex,Habiganj",0.0
Babies born in facility received KMC,Ulipur Upazila Health Complex,3.0
Received KMC and 2nd followed up,"Azmiriganj Upazila Health Complex,Habiganj",0.0
Discharged after KMC on request,Raiganj Upazila Health Complex,0.0
Received KMC and 3rd followed up,Rajapur Upazila Health Complex,2.0
Received KMC and referred/discontinued,Belkuchi Upazila Health Complex,2.0
Babies born in facility received KMC,"Madhabpur Upazila Health Complex,Habiganj",8.0
Discharged after KMC as per protocol,Rajapur Upazila Health Complex,3.0
Babies died during KMC,Shibpur Upazila Health Complex,0.0
Babies died during KMC,Melandaha Upazila Health Complex,0.0
Babies died during KMC,"Kumarkhali Upazila Health Complex, Kushtia",0.0
Babies born in facility received KMC,Fultala Upazila Health Complex,3.0
Received KMC and referred/discontinued,Teknaf Upazila Health Complex,0.0
Babies received KMC,"Bahubal Upazila Health Complex,Habiganj",14.0
MBFFI|Number of LBW given KMC,Ulipur Upazila Health Complex,4.0
Babies died during KMC,Dumki Upazila Health Complex,0.0
Received KMC and 2nd followed up,"Rajnagar Upazila Health Complex,Moulvibazar",0.0
Received KMC and referred/discontinued,Tarash Upazila Health Complex,0.0
Received KMC and referred/discontinued,Ulipur Upazila Health Complex,3.0
Received KMC and 1st followed up,"Bahubal Upazila Health Complex,Habiganj",2.0
Received KMC and 1st followed up,Madarganj Upazila Health Complex,4.0
Received KMC and 3rd followed up,Nalchithi Upazila Health Complex,0.0
Received KMC and 2nd followed up,Nalchithi Upazila Health Complex,0.0
Received KMC and 4th followed up,Hatiya Upazila Health Complex,0.0
Received KMC and 2nd followed up,"Mirpur Upazila Health Complex, Kushtia",0.0
Received KMC and 4th followed up,Nagarpur Upazila Health Complex,0.0
Babies died during KMC,Ulipur Upazila Health Complex,0.0
Received KMC and 1st followed up,Kalihati Upazila Health Complex,3.0
Received KMC and 3rd followed up,Bheramara Upazila Health Complex,17.0
Received KMC and 4th followed up,Shahzadpur Upazila Health Complex,0.0
Babies died during KMC,Mirzaganj Upazila Health Complex,0.0
Received KMC and 3rd followed up,Kamolnagar Upazila Health Complex,0.0
Babies received KMC,Bakshiganj Upazila Health Complex,5.0
Babies died during KMC,Madarganj Upazila Health Complex,0.0
Babies received KMC,"Azmiriganj Upazila Health Complex,Habiganj",17.0
Received KMC and referred/discontinued,Ramganj Upazila Health Complex,2.0
Discharged after KMC as per protocol,"Mirpur Upazila Health Complex, Kushtia",0.0
Received KMC and 4th followed up,Chatkhil Upazila Health Complex,0.0
Received KMC and 2nd followed up,Kamolnagar Upazila Health Complex,0.0
Babies received KMC,Chowhali Upazila Health Complex,18.0
Received KMC and referred/discontinued,"Madhabpur Upazila Health Complex,Habiganj",0.0
Received KMC and 4th followed up,Mirzaganj Upazila Health Complex,0.0
Discharged after KMC on request,Galachipa Upazila Health Complex,0.0
Received KMC and 3rd followed up,Kaptai Upazila Health Complex,0.0
Received KMC and 2nd followed up,"Chunarughat Upazila Health Complex,Habiganj",0.0
Received KMC and 1st followed up,Mirzaganj Upazila Health Complex,0.0
Received KMC and referred/discontinued,"Kumarkhali Upazila Health Complex, Kushtia",8.0
Received KMC and 4th followed up,Melandaha Upazila Health Complex,0.0
Discharged after KMC as per protocol,Begumganj Upazila Health Complex,0.0
Received KMC and 4th followed up,Bakshiganj Upazila Health Complex,0.0
Babies died during KMC,"Kulaura Upazila Health Complex,Moulvibazar",0.0
Babies born in facility received KMC,"Kumarkhali Upazila Health Complex, Kushtia",21.0
Received KMC and 1st followed up,Dewanganj Upazila Health Complex,0.0
Babies received KMC,Chatkhil Upazila Health Complex,29.0
Received KMC and 1st followed up,Rowmari Upazila Health Complex,8.0
Received KMC and 4th followed up,Ramgati Upazila Health Complex,0.0
Babies born in facility received KMC,Kalapara Upazila Health Complex,5.0
Received KMC and 3rd followed up,"Chunarughat Upazila Health Complex,Habiganj",0.0
Received KMC and 3rd followed up,"Rajnagar Upazila Health Complex,Moulvibazar",0.0
Received KMC and 4th followed up,Dumki Upazila Health Complex,0.0
Babies died during KMC,"Sreemangal Upazila Health Complex,Moulvibazar",1.0
Received KMC and 3rd followed up,Modhupur Upazila Health Complex,0.0
Babies born in facility received KMC,Ramganj Upazila Health Complex,6.0
Received KMC and 4th followed up,"Bahubal Upazila Health Complex,Habiganj",0.0
Discharged after KMC as per protocol,Galachipa Upazila Health Complex,0.0
Received KMC and referred/discontinued,Kalapara Upazila Health Complex,3.0
Discharged after KMC on request,Fulbari KG Upazila Health Complex,7.0
Received KMC and 2nd followed up,Rajapur Upazila Health Complex,2.0
Babies received KMC,Shahzadpur Upazila Health Complex,2.0
Babies died during KMC,Nageswari Upazila Health Complex,0.0
Received KMC and 2nd followed up,Raipur Upazila Health Complex,0.0
Received KMC and 2nd followed up,Fultala Upazila Health Complex,0.0
Discharged after KMC as per protocol,Teknaf Upazila Health Complex,0.0
Discharged after KMC as per protocol,Kathalia Upazila Health Complex,4.0
Received KMC and 1st followed up,"Kulaura Upazila Health Complex,Moulvibazar",0.0
Received KMC and referred/discontinued,Begumganj Upazila Health Complex,0.0
Received KMC and 2nd followed up,Ramganj Upazila Health Complex,0.0
Babies died during KMC,Ramgati Upazila Health Complex,0.0
Babies received KMC,Kamolnagar Upazila Health Complex,11.0
Received KMC and 3rd followed up,Kathalia Upazila Health Complex,0.0
Received KMC and 4th followed up,Begumganj Upazila Health Complex,0.0
Discharged after KMC as per protocol,"Chunarughat Upazila Health Complex,Habiganj",0.0
Received KMC and 2nd followed up,"Madhabpur Upazila Health Complex,Habiganj",0.0
Received KMC and referred/discontinued,Nalchithi Upazila Health Complex,0.0
Received KMC and 1st followed up,Kamarkhanda Upazila Health Complex,0.0
Discharged after KMC as per protocol,"Kulaura Upazila Health Complex,Moulvibazar",1.0
Received KMC and referred/discontinued,"Kamalganj Upazila Health Complex,Moulvibazar",0.0
Babies born in facility received KMC,Madarganj Upazila Health Complex,2.0
Received KMC and referred/discontinued,Hatiya Upazila Health Complex,0.0
Received KMC and 1st followed up,Teknaf Upazila Health Complex,0.0
Babies born in facility received KMC,Subarnachar Upazila Health Complex,10.0
Received KMC and 1st followed up,Islampur Upazila Health Complex,7.0
Discharged after KMC as per protocol,Dumki Upazila Health Complex,0.0
Discharged after KMC as per protocol,Nalchithi Upazila Health Complex,0.0
Discharged after KMC as per protocol,Kamarkhanda Upazila Health Complex,0.0
Received KMC and 1st followed up,Ulipur Upazila Health Complex,1.0
Babies died during KMC,"Nabiganj Upazila Health Complex,Habiganj",0.0
Received KMC and 3rd followed up,Tarash Upazila Health Complex,0.0
Discharged after KMC as per protocol,Melandaha Upazila Health Complex,0.0
Discharged after KMC on request,Sarishabari Upazila Health Complex,57.0
Received KMC and 3rd followed up,"Bahubal Upazila Health Complex,Habiganj",0.0
Discharged after KMC on request,Kaptai Upazila Health Complex,0.0
Received KMC and 1st followed up,"Kumarkhali Upazila Health Complex, Kushtia",27.0
Received KMC and referred/discontinued,Dumki Upazila Health Complex,0.0
Received KMC and 4th followed up,Nalchithi Upazila Health Complex,0.0
Received KMC and 1st followed up,Companiganj Upazila Health Complex,0.0
Babies died during KMC,Bheramara Upazila Health Complex,3.0
Received KMC and 2nd followed up,Ghatail Upazila Health Complex,4.0
Received KMC and 1st followed up,Ghatail Upazila Health Complex,30.0
Received KMC and 3rd followed up,Galachipa Upazila Health Complex,0.0
Discharged after KMC on request,"Mirpur Upazila Health Complex, Kushtia",0.0
Babies received KMC,Kazipur Upazila Health Complex,47.0
Discharged after KMC as per protocol,"Kumarkhali Upazila Health Complex, Kushtia",15.0
Discharged after KMC as per protocol,Ghatail Upazila Health Complex,26.0
Babies born in facility received KMC,Palash Upazila Health Complex,1.0
Received KMC and 4th followed up,Belkuchi Upazila Health Complex,3.0
Discharged after KMC as per protocol,Hatiya Upazila Health Complex,0.0
Babies died during KMC,Ullapara Upazila Health Complex,0.0
Received KMC and 4th followed up,"Chunarughat Upazila Health Complex,Habiganj",0.0
Received KMC and 2nd followed up,Bheramara Upazila Health Complex,20.0
Babies received KMC,Fulbari KG Upazila Health Complex,14.0
Discharged after KMC as per protocol,Modhupur Upazila Health Complex,4.0
Received KMC and referred/discontinued,"Daulatpur KT Upazila Health Complex, Kushtia",2.0
Received KMC and 4th followed up,Kathalia Upazila Health Complex,0.0
Received KMC and referred/discontinued,Mirzaganj Upazila Health Complex,0.0
Babies born in facility received KMC,Fulbari KG Upazila Health Complex,8.0
Received KMC and 2nd followed up,Kamarkhanda Upazila Health Complex,0.0
Babies received KMC,"Daulatpur KT Upazila Health Complex, Kushtia",4.0
Babies died during KMC,Modhupur Upazila Health Complex,0.0
Discharged after KMC on request,Islampur Upazila Health Complex,5.0
Received KMC and 1st followed up,"Azmiriganj Upazila Health Complex,Habiganj",0.0
Discharged after KMC as per protocol,Companiganj Upazila Health Complex,2.0
Received KMC and 2nd followed up,Palash Upazila Health Complex,0.0
Received KMC and 2nd followed up,Ramgati Upazila Health Complex,0.0
Received KMC and 3rd followed up,Dewanganj Upazila Health Complex,0.0
Discharged after KMC on request,Chowhali Upazila Health Complex,18.0
Received KMC and referred/discontinued,Kazipur Upazila Health Complex,0.0
MBFFI|Number of LBW given KMC,Nageswari Upazila Health Complex,7.0
Discharged after KMC on request,Kamolnagar Upazila Health Complex,6.0
Received KMC and 2nd followed up,Melandaha Upazila Health Complex,0.0
Discharged after KMC on request,Tarash Upazila Health Complex,0.0
Received KMC and 3rd followed up,Nageswari Upazila Health Complex,0.0
Received KMC and referred/discontinued,Melandaha Upazila Health Complex,0.0
Received KMC and 1st followed up,Palash Upazila Health Complex,0.0
Received KMC and referred/discontinued,Bakshiganj Upazila Health Complex,0.0
Discharged after KMC as per protocol,Ramgati Upazila Health Complex,0.0
Received KMC and 4th followed up,Raiganj Upazila Health Complex,0.0
Babies born in facility received KMC,Khoksha Upazila Health Complex,24.0
Discharged after KMC as per protocol,"Daulatpur KT Upazila Health Complex, Kushtia",1.0
