Data,Organisation unit,Value
aCSagugDtr8,10001317,1145.0
DluAR5bBgRS,10001317,30.0
PQiTIVSaMG3,10001317,1199.0
kwH34qQEGNe,10001317,28.0
mCxbDcAGOgu,10001317,1573.0
k3nn0MjnBYN,10001317,3328.0
zfH93frNrj6,10001317,24.0
W9514hLTG6D,10001317,1450.0
mmVezK4CFhA,10001317,1206.0
olXUCkZ7oUM,10001317,688.0
dqWONERQ49X,10001317,3269.0
cIgnSCyTsD4,10001317,73.0
yjuOWGwYmqc,10001317,1040.0
HRsGzjZ50Sy,10001317,55.0
TcLYWe9quMK,10001317,1088.0
eemtMsC2eIM,10001317,2336.0
NZlZ49U6SjN,10001317,498.0
que9GdwI0zB,10001317,59.0
CMdnu5HPkNB,10001317,88.0
oQ6mhgi3zUA,10001317,2841.0
PQJuVOlDIgP,10001317,507.0
XSILZrhb4Ha,10001317,1220.0
fUMh5eXVP4M,10001317,688.0
fkLjLa1i5pa,10001317,144.0
DDfQMknwALS,10001317,16.0
xkdyzgQ2Z0d,10001317,143.0
WSSK1CdD3SW,10001317,10.0
hZ6jBmRWMMG,10001317,83.0
xiBm1dF4cMz,10001317,11.0
MhJ01rtQdCr,10001317,1.0
JVxL7kfHERM,10001317,172.0
SRhGzNOw4HM,10001317,1.0
mXMEeRyNVvu,10001317,255.0
reiXmfEmly3,10001317,16.0
sJ74iV0Q4AA,10001317,37.0
lVwvLd0GAP3,10001317,1220.0
zpWJXw2iwMr,10001317,37.0
wSSzPT37iM4,10001317,1267.0
rRaxpV4NkJw,10001317,821.0
OhSA5dQh6mc,10001317,11.0
ew7rcDGbAJG,10001317,287.0
HmhcJzqjjAy,10001317,11.0
MFiuOXgcblM,10001317,4088.0
R14scGNyutk,10001317,65.0
kpb5RtES4WQ,10001317,688.0
jL0psEd7e4y,10001317,413.0
SZOl5tatteh,10001317,1996.0
GW6NR7b0Jn5,10001317,17.0
LxkL3DDPkWQ,10001317,12.0
ScXHMiqi29p,10001317,61.0
DsKLoeFOo5s,10001317,89.0
fETzFyk0L4v,10001317,79.0
W1PLGTdbLgB,10001317,11.0
zS6CEpgg3al,10001317,11.0
DacIgCB0RAq,10001317,61.0
fHemCItaWHF,10001317,105.0
J9jN4eRuv8d,10001317,340.0
ZOvd4lIV2YS,10001317,97.0
zK4EvnpVDUR,10001317,472.0
Z7Auvk7R12c,10001317,108.0
qrxQLBXC9Ry,10001317,1132.0
ef0DNqKwhSC,10001317,144.0
YwdIxr7PYd3,10001317,307.0
BFTYWO479aO,10001317,2345.0
