Data,Organisation unit,Value
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Rowmari Upazila Health Complex,1758.0
MBFFI|Facility LBWs amongst delivered,Nageswari Upazila Health Complex,9.0
MBFFI|Number of newborns dried immediately after birth,Rowmari Upazila Health Complex,1747.0
MBFFI|# delivered newborns for which weight was measured,Ulipur Upazila Health Complex,1069.0
MBFFI|# newborns received 3rd PNC,Ulipur Upazila Health Complex,731.0
MBFFI|No. of ongoing PDCA,Rowmari Upazila Health Complex,12.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Rowmari Upazila Health Complex,32.0
MBFFI|# premature newborns(inborn )  referred out,Ulipur Upazila Health Complex,8.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Nageswari Upazila Health Complex,2.0
MBFFI|# sick newborns(inborn) referred,Rowmari Upazila Health Complex,45.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Ulipur Upazila Health Complex,14182.0
MBFFI|# postpartum newborns  received 2nd PNC,Nageswari Upazila Health Complex,55.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Rowmari Upazila Health Complex,61.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Fulbari KG Upazila Health Complex,748.0
MBFFI|Number of newborns dried immediately after birth,Ulipur Upazila Health Complex,1123.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Nageswari Upazila Health Complex,475.0
MBFFI|ANC service provided as per EMEN standards,Nageswari Upazila Health Complex,7717.0
MBFFI|# newborns received 3rd PNC,Rowmari Upazila Health Complex,630.0
MBFFI|# postpartum mothers received 2nd PNC,Ulipur Upazila Health Complex,2810.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Nageswari Upazila Health Complex,5.0
MBFFI|# women in labour whose partograph was done,Ulipur Upazila Health Complex,370.0
MBFFI|# newborns received 4th PNC,Ulipur Upazila Health Complex,532.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Fulbari KG Upazila Health Complex,1.0
MBFFI|# premature newborns(inborn )  referred out,Rowmari Upazila Health Complex,19.0
MBFFI|Antibiotics for newborn sepsis (inborn),Rowmari Upazila Health Complex,45.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Ulipur Upazila Health Complex,1.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Rowmari Upazila Health Complex,18.0
MBFFI|No. of  MNH work Improvement committee meeting,Fulbari KG Upazila Health Complex,2.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Rowmari Upazila Health Complex,3.0
MBFFI|No. of  Quality Improvement committee meeting,Rowmari Upazila Health Complex,20.0
MBFFI|ANC service provided as per EMEN standards,Rowmari Upazila Health Complex,3893.0
MBFFI|Facility Deliveries done following  EMEN standards,Nageswari Upazila Health Complex,469.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Rowmari Upazila Health Complex,1762.0
MBFFI|# postpartum newborns received 1st PNC,Nageswari Upazila Health Complex,515.0
MBFFI|# newborns received 4th PNC,Rowmari Upazila Health Complex,462.0
MBFFI|# postpartum mothers received 4th  PNC,Rowmari Upazila Health Complex,477.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Fulbari KG Upazila Health Complex,5.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Rowmari Upazila Health Complex,96.0
MBFFI|Facility LBWs amongst delivered,Ulipur Upazila Health Complex,62.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Rowmari Upazila Health Complex,17.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Nageswari Upazila Health Complex,209.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Nageswari Upazila Health Complex,578.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Ulipur Upazila Health Complex,23.0
MBFFI|# sick newborns(inborn) referred,Ulipur Upazila Health Complex,6.0
MBFFI|# delivered newborns for which weight was measured,Rowmari Upazila Health Complex,1753.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Fulbari KG Upazila Health Complex,1407.0
MBFFI|ANC service provided as per EMEN standards,Ulipur Upazila Health Complex,12480.0
MBFFI|# pregnant women who are poor and received financial support/free services,Nageswari Upazila Health Complex,226.0
MBFFI|Total newborn sepsis cases in facility,Fulbari KG Upazila Health Complex,3.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Ulipur Upazila Health Complex,1078.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Nageswari Upazila Health Complex,1.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Ulipur Upazila Health Complex,1.0
MBFFI|# postpartum mothers received 2nd PNC,Nageswari Upazila Health Complex,57.0
MBFFI|# of WIT meetings took place(total) in a facility,Rowmari Upazila Health Complex,541.0
MBFFI|No. of ongoing PDCA,Ulipur Upazila Health Complex,24.0
MBFFI|# of deaths preterm newborns(inborn),Ulipur Upazila Health Complex,2.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Rowmari Upazila Health Complex,46.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Ulipur Upazila Health Complex,2.0
MBFFI|# women in labour whose partograph was done,Nageswari Upazila Health Complex,171.0
MBFFI|Number of neonatal deaths (inborns),Nageswari Upazila Health Complex,1.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Ulipur Upazila Health Complex,1124.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Nageswari Upazila Health Complex,2770.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Rowmari Upazila Health Complex,1784.0
MBFFI|Facility LBWs amongst delivered,Rowmari Upazila Health Complex,122.0
MBFFI|Number of   delivered newborns in facility given  ENC,Fulbari KG Upazila Health Complex,542.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Ulipur Upazila Health Complex,2.0
MBFFI|# of late(8-28 days) newborns deaths out of preterm babies (inborn),Rowmari Upazila Health Complex,5.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Rowmari Upazila Health Complex,85.0
MBFFI|Facility LBWs amongst delivered,Fulbari KG Upazila Health Complex,60.0
MBFFI|Number of LBW given KMC,Rowmari Upazila Health Complex,21.0
MBFFI|# pregnant women who are poor and received financial support/free services,Rowmari Upazila Health Complex,69.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Fulbari KG Upazila Health Complex,550.0
MBFFI|# postpartum mothers received 3rd PNC,Fulbari KG Upazila Health Complex,134.0
MBFFI|# newborns received 4th PNC,Fulbari KG Upazila Health Complex,53.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Rowmari Upazila Health Complex,1706.0
MBFFI|# pregnant women received TT during ANC,Rowmari Upazila Health Complex,1323.0
MBFFI|Number of facility perinatal deaths audited,Rowmari Upazila Health Complex,34.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Ulipur Upazila Health Complex,89.0
MBFFI|# of deaths preterm newborns(inborn),Rowmari Upazila Health Complex,4.0
MBFFI|Number of  pre term  babies born in facility,Fulbari KG Upazila Health Complex,6.0
MBFFI|Number of facility maternal deaths audited,Rowmari Upazila Health Complex,1.0
MBFFI|# pregnant women received TT during ANC,Ulipur Upazila Health Complex,7273.0
