Data,Organisation unit,Value
yjuOWGwYmqc,554994,1040.0
sJ74iV0Q4AA,554979,45.0
ZOvd4lIV2YS,554952,4.0
aCSagugDtr8,554979,1747.0
MFiuOXgcblM,554952,3237.0
LxkL3DDPkWQ,554952,3.0
mXMEeRyNVvu,554979,61.0
PQiTIVSaMG3,554979,1758.0
WSSK1CdD3SW,554979,12.0
k3nn0MjnBYN,554994,9924.0
fHemCItaWHF,554918,2.0
TcLYWe9quMK,554952,543.0
NZlZ49U6SjN,554918,55.0
fETzFyk0L4v,554918,9.0
TcLYWe9quMK,554979,1753.0
kwH34qQEGNe,554918,1.0
W9514hLTG6D,554918,578.0
fkLjLa1i5pa,554952,134.0
DluAR5bBgRS,554918,226.0
eemtMsC2eIM,554979,1784.0
mmVezK4CFhA,554918,515.0
rRaxpV4NkJw,554918,57.0
ZOvd4lIV2YS,554918,1.0
ZOvd4lIV2YS,554979,9.0
lVwvLd0GAP3,554952,518.0
zK4EvnpVDUR,554918,171.0
ew7rcDGbAJG,554979,477.0
Z7Auvk7R12c,554918,106.0
sJ74iV0Q4AA,554952,21.0
oQ6mhgi3zUA,554952,54.0
mXMEeRyNVvu,554952,45.0
PQiTIVSaMG3,554952,528.0
xkdyzgQ2Z0d,554952,2.0
BFTYWO479aO,554918,2770.0
TcLYWe9quMK,554918,462.0
XSILZrhb4Ha,554918,469.0
WSSK1CdD3SW,554952,2.0
NZlZ49U6SjN,554952,351.0
DacIgCB0RAq,554952,4.0
aCSagugDtr8,554952,544.0
Z7Auvk7R12c,554979,462.0
DsKLoeFOo5s,554918,4.0
MhJ01rtQdCr,554994,1.0
fETzFyk0L4v,554952,60.0
ef0DNqKwhSC,554994,456.0
fUMh5eXVP4M,554979,85.0
eemtMsC2eIM,554918,9563.0
OhSA5dQh6mc,554979,20.0
Z7Auvk7R12c,554952,53.0
eemtMsC2eIM,554952,4614.0
PQiTIVSaMG3,554918,473.0
SRhGzNOw4HM,554979,1.0
mmVezK4CFhA,554994,1128.0
NZlZ49U6SjN,554979,860.0
OhSA5dQh6mc,554952,22.0
zpWJXw2iwMr,554994,2.0
MFiuOXgcblM,554918,7717.0
lVwvLd0GAP3,554918,475.0
DacIgCB0RAq,554979,45.0
xkdyzgQ2Z0d,554979,32.0
WSSK1CdD3SW,554918,7.0
LxkL3DDPkWQ,554979,19.0
oQ6mhgi3zUA,554918,5.0
que9GdwI0zB,554994,37.0
J9jN4eRuv8d,554994,650.0
JVxL7kfHERM,554918,2.0
ew7rcDGbAJG,554952,51.0
sJ74iV0Q4AA,554918,10.0
fkLjLa1i5pa,554979,630.0
mXMEeRyNVvu,554918,14.0
olXUCkZ7oUM,554979,85.0
dqWONERQ49X,554979,1323.0
DsKLoeFOo5s,554952,1.0
mCxbDcAGOgu,554979,2454.0
PQJuVOlDIgP,554952,347.0
kwH34qQEGNe,554979,40.0
CMdnu5HPkNB,554994,63.0
ef0DNqKwhSC,554952,245.0
dqWONERQ49X,554994,7273.0
kwH34qQEGNe,554994,4.0
fUMh5eXVP4M,554952,9.0
yjuOWGwYmqc,554918,421.0
mCxbDcAGOgu,554994,1130.0
HRsGzjZ50Sy,554994,94.0
ef0DNqKwhSC,554918,209.0
aCSagugDtr8,554918,446.0
Z7Auvk7R12c,554994,532.0
DDfQMknwALS,554952,1.0
que9GdwI0zB,554979,226.0
qrxQLBXC9Ry,554994,1125.0
fETzFyk0L4v,554979,122.0
OhSA5dQh6mc,554918,21.0
lVwvLd0GAP3,554994,1078.0
J9jN4eRuv8d,554979,643.0
JVxL7kfHERM,554952,3.0
kpb5RtES4WQ,554979,82.0
NZlZ49U6SjN,554994,2787.0
mmVezK4CFhA,554979,2311.0
HmhcJzqjjAy,554979,18.0
GW6NR7b0Jn5,554994,89.0
xiBm1dF4cMz,554994,61.0
MFiuOXgcblM,554994,12480.0
yjuOWGwYmqc,554952,527.0
fHemCItaWHF,554952,523.0
XSILZrhb4Ha,554994,1124.0
GW6NR7b0Jn5,554979,46.0
HmhcJzqjjAy,554994,23.0
ScXHMiqi29p,554952,4.0
W9514hLTG6D,554952,544.0
qrxQLBXC9Ry,554979,1762.0
xiBm1dF4cMz,554979,37.0
MFiuOXgcblM,554979,3893.0
YwdIxr7PYd3,554994,68.0
R14scGNyutk,554979,3.0
zK4EvnpVDUR,554952,172.0
XSILZrhb4Ha,554979,1756.0
rRaxpV4NkJw,554952,354.0
R14scGNyutk,554994,1.0
HRsGzjZ50Sy,554979,116.0
zfH93frNrj6,554952,26.0
DluAR5bBgRS,554952,373.0
TcLYWe9quMK,554994,1069.0
BFTYWO479aO,554952,98.0
CMdnu5HPkNB,554979,52.0
eemtMsC2eIM,554994,14182.0
fETzFyk0L4v,554994,62.0
lVwvLd0GAP3,554979,1762.0
cIgnSCyTsD4,554979,15.0
k3nn0MjnBYN,554979,1040.0
jL0psEd7e4y,554952,3.0
SZOl5tatteh,554952,778.0
WSSK1CdD3SW,554994,24.0
YwdIxr7PYd3,554952,1407.0
que9GdwI0zB,554918,52.0
qrxQLBXC9Ry,554918,463.0
xiBm1dF4cMz,554952,2.0
zS6CEpgg3al,554918,17.0
PQiTIVSaMG3,554994,1124.0
wSSzPT37iM4,554918,442.0
J9jN4eRuv8d,554918,70.0
mXMEeRyNVvu,554994,2.0
wSSzPT37iM4,554952,542.0
reiXmfEmly3,554994,1.0
sJ74iV0Q4AA,554994,6.0
mCxbDcAGOgu,554918,524.0
dqWONERQ49X,554918,3902.0
olXUCkZ7oUM,554918,26.0
xkdyzgQ2Z0d,554994,49.0
zfH93frNrj6,554918,7.0
OhSA5dQh6mc,554994,23.0
W1PLGTdbLgB,554979,1.0
fkLjLa1i5pa,554994,731.0
aCSagugDtr8,554994,1123.0
LxkL3DDPkWQ,554994,8.0
CMdnu5HPkNB,554952,6.0
W1PLGTdbLgB,554918,18.0
YwdIxr7PYd3,554979,1178.0
MhJ01rtQdCr,554979,1.0
dqWONERQ49X,554952,1879.0
wSSzPT37iM4,554979,1594.0
olXUCkZ7oUM,554952,9.0
hZ6jBmRWMMG,554952,2.0
HRsGzjZ50Sy,554918,184.0
PQJuVOlDIgP,554918,349.0
SZOl5tatteh,554918,706.0
GW6NR7b0Jn5,554918,43.0
zpWJXw2iwMr,554979,9.0
HmhcJzqjjAy,554918,21.0
xiBm1dF4cMz,554918,2.0
W1PLGTdbLgB,554952,2.0
CMdnu5HPkNB,554918,3.0
fHemCItaWHF,554994,1023.0
jL0psEd7e4y,554979,70.0
kpb5RtES4WQ,554952,5.0
ysCpqG6s2Xt,554979,5.0
hZ6jBmRWMMG,554994,2.0
W9514hLTG6D,554979,1706.0
DluAR5bBgRS,554979,69.0
zfH93frNrj6,554979,21.0
W9514hLTG6D,554994,1023.0
HmhcJzqjjAy,554952,15.0
zS6CEpgg3al,554994,8.0
hZ6jBmRWMMG,554979,34.0
DluAR5bBgRS,554994,3.0
zfH93frNrj6,554994,22.0
GW6NR7b0Jn5,554952,11.0
BFTYWO479aO,554994,4447.0
zS6CEpgg3al,554979,1.0
DDfQMknwALS,554994,2.0
ScXHMiqi29p,554979,43.0
zK4EvnpVDUR,554994,370.0
k3nn0MjnBYN,554918,5416.0
fHemCItaWHF,554979,1575.0
HRsGzjZ50Sy,554952,72.0
rRaxpV4NkJw,554994,2810.0
BFTYWO479aO,554979,148.0
XSILZrhb4Ha,554952,518.0
ew7rcDGbAJG,554918,118.0
wSSzPT37iM4,554994,1119.0
PQJuVOlDIgP,554994,644.0
ef0DNqKwhSC,554979,724.0
SZOl5tatteh,554994,1059.0
fkLjLa1i5pa,554918,64.0
oQ6mhgi3zUA,554994,2.0
J9jN4eRuv8d,554952,134.0
DsKLoeFOo5s,554979,33.0
mCxbDcAGOgu,554952,579.0
PQJuVOlDIgP,554979,541.0
que9GdwI0zB,554952,4.0
JVxL7kfHERM,554979,49.0
zK4EvnpVDUR,554979,534.0
JVxL7kfHERM,554994,6.0
rRaxpV4NkJw,554979,928.0
W1PLGTdbLgB,554994,5.0
reiXmfEmly3,554979,17.0
ew7rcDGbAJG,554994,502.0
mmVezK4CFhA,554952,570.0
qrxQLBXC9Ry,554952,550.0
xkdyzgQ2Z0d,554918,30.0
DDfQMknwALS,554979,4.0
oQ6mhgi3zUA,554979,96.0
kwH34qQEGNe,554952,2.0
SZOl5tatteh,554979,1879.0
k3nn0MjnBYN,554952,748.0
yjuOWGwYmqc,554979,1724.0
DsKLoeFOo5s,554994,5.0
