Data,Organisation unit,Value
% of maternal death reported individually with causes of death,Abhaynagar Upazila,0.0
% of maternal death reported individually with causes of death,Alamdanga Upazila,0.0
% of maternal death reported individually with causes of death,Alfadanga Upazila,0.0
% of maternal death reported individually with causes of death,Austagram Upazila,0.0
% of maternal death reported individually with causes of death,Baghai Chhari Upazila,0.0
% of maternal death reported individually with causes of death,Bakshiganj Upazila,0.0
% of maternal death reported individually with causes of death,Baliakandi Upazila,0.0
% of maternal death reported individually with causes of death,Banchharampur Upazila,0.0
% of maternal death reported individually with causes of death,Baniachong Upazila,0.0
% of maternal death reported individually with causes of death,Barhatta Upazila,0.0
% of maternal death reported individually with causes of death,Barlekha Upazila,33.33
% of maternal death reported individually with causes of death,Beani Bazar Upazila,100.0
% of maternal death reported individually with causes of death,Belkuchi Upazila,0.0
% of maternal death reported individually with causes of death,Bera Upazila,0.0
% of maternal death reported individually with causes of death,Bhurungamari Upazila,0.0
% of maternal death reported individually with causes of death,Bishwambarpur Upazila,0.0
% of maternal death reported individually with causes of death,Chandanaish Upazila,0.0
% of maternal death reported individually with causes of death,Char Fassion Upazila,16.67
% of maternal death reported individually with causes of death,Char Rajibpur Upazila,0.0
% of maternal death reported individually with causes of death,Chatkhil Upazila,50.0
% of maternal death reported individually with causes of death,Chaugachha Upazila,0.0
% of maternal death reported individually with causes of death,Chilmari Upazila,30.0
% of maternal death reported individually with causes of death,Chitalmari Upazila,0.0
% of maternal death reported individually with causes of death,Dacope Upazila,100.0
% of maternal death reported individually with causes of death,Damudya Upazila,0.0
% of maternal death reported individually with causes of death,Daulatpur KT Upazila,0.0
% of maternal death reported individually with causes of death,Derai Upazila,100.0
% of maternal death reported individually with causes of death,Dewanganj Upazila,0.0
% of maternal death reported individually with causes of death,Dhamrai Upazila,0.0
% of maternal death reported individually with causes of death,Dhobaura Upazila,0.0
% of maternal death reported individually with causes of death,Dighalia Upazila,0.0
% of maternal death reported individually with causes of death,Dimla Upazila,0.0
% of maternal death reported individually with causes of death,Domar Upazila,0.0
% of maternal death reported individually with causes of death,Durgapur NK Upazila,0.0
% of maternal death reported individually with causes of death,Faridpur Upazila,0.0
% of maternal death reported individually with causes of death,Fenchuganj Upazila,0.0
% of maternal death reported individually with causes of death,Gaffargaon Upazila,500.0
% of maternal death reported individually with causes of death,Goalanda Ghat Upazila,0.0
% of maternal death reported individually with causes of death,Gobindaganj Upazila,33.33
% of maternal death reported individually with causes of death,Godagari Upazila,100.0
% of maternal death reported individually with causes of death,Golachipa Upazila,0.0
% of maternal death reported individually with causes of death,Gomastapur Upazila,0.0
% of maternal death reported individually with causes of death,Gurudashpur Upazila,0.0
% of maternal death reported individually with causes of death,Haim Char Upazila,0.0
% of maternal death reported individually with causes of death,Harinakunda Upazila,0.0
% of maternal death reported individually with causes of death,Hathazari Upazila,0.0
% of maternal death reported individually with causes of death,Hatibandha Upazila,0.0
% of maternal death reported individually with causes of death,Hatiya Upazila,0.0
% of maternal death reported individually with causes of death,Ishwarganj Upazila,0.0
% of maternal death reported individually with causes of death,Jaldhaka Upazila,0.0
% of maternal death reported individually with causes of death,Jamalganj Upazila,0.0
% of maternal death reported individually with causes of death,Kachua BH Upazila,200.0
% of maternal death reported individually with causes of death,Kalapara Upazila,0.0
% of maternal death reported individually with causes of death,Kaliganj LH Upazila,0.0
% of maternal death reported individually with causes of death,Kaliganj SK Upazila,16.67
% of maternal death reported individually with causes of death,Kalmakanda Upazila,3.85
% of maternal death reported individually with causes of death,Kamalganj Upazila,0.0
% of maternal death reported individually with causes of death,Karimganj Upazila,0.0
% of maternal death reported individually with causes of death,Kaunia Upazila,0.0
% of maternal death reported individually with causes of death,Keraniganj Upazila,0.0
% of maternal death reported individually with causes of death,Keshabpur Upazila,0.0
% of maternal death reported individually with causes of death,Khaliajuri Upazila,0.0
% of maternal death reported individually with causes of death,Kumarkhali Upazila,0.0
% of maternal death reported individually with causes of death,Lohagara Upazila,0.0
% of maternal death reported individually with causes of death,Manirampur Upazila,0.0
% of maternal death reported individually with causes of death,Manohardi Upazila,0.0
% of maternal death reported individually with causes of death,Matlab (North) Upazila,0.0
