Data,Organisation unit,Value
sjorO3gQABy,4001,83.33
sjorO3gQABy,2003,0.0
sjorO3gQABy,1004,14.29
sjorO3gQABy,1006,0.0
sjorO3gQABy,1009,54.17
sjorO3gQABy,5010,10.0
sjorO3gQABy,2012,0.0
sjorO3gQABy,2013,11.11
sjorO3gQABy,5070,0.0
sjorO3gQABy,2015,0.0
sjorO3gQABy,4018,0.0
sjorO3gQABy,2022,52.27
sjorO3gQABy,2019,0.0
sjorO3gQABy,3026,0.0
sjorO3gQABy,5527,22.22
sjorO3gQABy,3029,4.17
sjorO3gQABy,2030,0.0
sjorO3gQABy,5532,38.46
sjorO3gQABy,3033,100.0
sjorO3gQABy,3035,23.08
sjorO3gQABy,6036,4.26
sjorO3gQABy,3039,4.55
sjorO3gQABy,4041,11.11
sjorO3gQABy,1042,0.0
sjorO3gQABy,4044,50.0
sjorO3gQABy,5038,0.0
sjorO3gQABy,2046,35.71
sjorO3gQABy,4047,20.0
sjorO3gQABy,3048,13.73
sjorO3gQABy,5549,41.18
sjorO3gQABy,4050,7.69
sjorO3gQABy,2051,16.67
sjorO3gQABy,5552,33.33
sjorO3gQABy,3054,66.67
sjorO3gQABy,4055,15.38
sjorO3gQABy,3056,0.0
sjorO3gQABy,6058,35.0
sjorO3gQABy,3059,0.0
sjorO3gQABy,3061,66.67
sjorO3gQABy,5064,11.11
sjorO3gQABy,4065,0.0
sjorO3gQABy,3067,25.0
sjorO3gQABy,3068,2900.0
sjorO3gQABy,5069,133.33
sjorO3gQABy,3072,7.14
sjorO3gQABy,5573,12.5
sjorO3gQABy,2075,3.51
sjorO3gQABy,5076,10.64
sjorO3gQABy,5577,40.0
sjorO3gQABy,1078,56.25
sjorO3gQABy,1079,20.0
sjorO3gQABy,3082,33.33
sjorO3gQABy,5081,7.69
sjorO3gQABy,2084,0.0
sjorO3gQABy,5585,30.28
sjorO3gQABy,4087,50.0
sjorO3gQABy,3086,0.0
sjorO3gQABy,3089,55.56
sjorO3gQABy,5088,13.89
sjorO3gQABy,6090,42.86
sjorO3gQABy,6091,12.5
sjorO3gQABy,3093,14.29
sjorO3gQABy,5594,60.0
nHvaVDaRcQU,4001,33.1
nHvaVDaRcQU,2003,10.1
nHvaVDaRcQU,1004,47.3
nHvaVDaRcQU,1006,67.4
nHvaVDaRcQU,1009,20.4
nHvaVDaRcQU,5010,51.1
nHvaVDaRcQU,2012,40.7
nHvaVDaRcQU,2013,49.5
nHvaVDaRcQU,5070,25.4
nHvaVDaRcQU,2015,24.6
nHvaVDaRcQU,4018,55.6
nHvaVDaRcQU,2022,33.9
nHvaVDaRcQU,2019,36.7
nHvaVDaRcQU,3026,62.0
nHvaVDaRcQU,5527,43.7
nHvaVDaRcQU,3029,46.8
nHvaVDaRcQU,2030,42.2
nHvaVDaRcQU,5532,26.2
nHvaVDaRcQU,3033,60.1
nHvaVDaRcQU,3035,32.7
nHvaVDaRcQU,6036,14.2
nHvaVDaRcQU,3039,48.2
nHvaVDaRcQU,4041,61.2
nHvaVDaRcQU,1042,53.6
nHvaVDaRcQU,4044,59.5
nHvaVDaRcQU,5038,39.0
nHvaVDaRcQU,2046,12.1
nHvaVDaRcQU,4047,52.1
nHvaVDaRcQU,3048,60.8
nHvaVDaRcQU,5549,28.1
nHvaVDaRcQU,4050,49.9
nHvaVDaRcQU,2051,44.3
nHvaVDaRcQU,5552,48.0
nHvaVDaRcQU,3054,62.4
nHvaVDaRcQU,4055,31.0
nHvaVDaRcQU,3056,59.5
nHvaVDaRcQU,6058,34.7
nHvaVDaRcQU,4057,30.7
nHvaVDaRcQU,3059,37.5
nHvaVDaRcQU,3061,13.3
nHvaVDaRcQU,5064,41.6
nHvaVDaRcQU,4065,54.0
nHvaVDaRcQU,3067,69.5
nHvaVDaRcQU,3068,60.2
nHvaVDaRcQU,5069,43.4
nHvaVDaRcQU,3072,28.8
nHvaVDaRcQU,5573,28.4
nHvaVDaRcQU,2075,30.7
nHvaVDaRcQU,5076,45.5
nHvaVDaRcQU,5577,22.6
nHvaVDaRcQU,1078,47.0
nHvaVDaRcQU,1079,40.8
nHvaVDaRcQU,3082,57.4
nHvaVDaRcQU,5081,36.1
nHvaVDaRcQU,2084,32.8
nHvaVDaRcQU,5585,42.0
nHvaVDaRcQU,4087,53.7
nHvaVDaRcQU,3086,51.5
nHvaVDaRcQU,3089,39.0
nHvaVDaRcQU,5088,19.7
nHvaVDaRcQU,6090,25.1
nHvaVDaRcQU,6091,27.5
nHvaVDaRcQU,3093,71.5
nHvaVDaRcQU,5594,56.4
llFRYYZLkur,4001,66.7
llFRYYZLkur,2003,89.0
llFRYYZLkur,1004,52.2
llFRYYZLkur,1006,32.5
llFRYYZLkur,1009,79.2
llFRYYZLkur,5010,48.8
llFRYYZLkur,2012,59.0
llFRYYZLkur,2013,50.0
llFRYYZLkur,5070,73.0
llFRYYZLkur,2015,74.4
llFRYYZLkur,4018,44.1
llFRYYZLkur,2022,62.9
llFRYYZLkur,2019,62.7
llFRYYZLkur,3026,37.9
llFRYYZLkur,5527,54.3
llFRYYZLkur,3029,49.0
llFRYYZLkur,2030,57.3
llFRYYZLkur,5532,73.5
llFRYYZLkur,3033,38.8
llFRYYZLkur,3035,66.5
llFRYYZLkur,6036,84.8
llFRYYZLkur,3039,51.6
llFRYYZLkur,4041,37.7
llFRYYZLkur,1042,46.1
llFRYYZLkur,4044,40.2
llFRYYZLkur,5038,60.8
llFRYYZLkur,2046,86.2
llFRYYZLkur,4047,47.1
llFRYYZLkur,3048,38.7
llFRYYZLkur,5549,71.6
llFRYYZLkur,4050,49.9
llFRYYZLkur,2051,55.5
llFRYYZLkur,5552,51.6
llFRYYZLkur,3054,37.3
llFRYYZLkur,4055,68.9
llFRYYZLkur,3056,40.5
llFRYYZLkur,6058,62.7
llFRYYZLkur,4057,68.9
llFRYYZLkur,3059,62.4
llFRYYZLkur,3061,85.6
llFRYYZLkur,5064,58.4
llFRYYZLkur,4065,45.6
llFRYYZLkur,3067,30.3
llFRYYZLkur,3068,38.8
llFRYYZLkur,5069,51.4
llFRYYZLkur,3072,70.6
llFRYYZLkur,5573,71.3
llFRYYZLkur,2075,68.3
llFRYYZLkur,5076,53.7
llFRYYZLkur,5577,77.0
llFRYYZLkur,1078,50.1
llFRYYZLkur,1079,59.1
llFRYYZLkur,3082,41.4
llFRYYZLkur,5081,63.9
llFRYYZLkur,2084,65.9
llFRYYZLkur,5585,57.0
llFRYYZLkur,4087,46.2
llFRYYZLkur,3086,48.3
llFRYYZLkur,3089,60.8
llFRYYZLkur,5088,79.2
llFRYYZLkur,6090,74.0
llFRYYZLkur,6091,72.3
llFRYYZLkur,3093,28.1
llFRYYZLkur,5594,43.3
IVpv2Tj5rbj,4001,0.0389
IVpv2Tj5rbj,2003,0.372
IVpv2Tj5rbj,1004,0.084
IVpv2Tj5rbj,1006,0.0042
IVpv2Tj5rbj,1009,0.1114
IVpv2Tj5rbj,5010,0.3473
IVpv2Tj5rbj,2012,0.2743
IVpv2Tj5rbj,2013,0.039
