Data,Organisation unit,Value
sjorO3gQABy,10000652,0.0
sjorO3gQABy,10001363,33.33
sjorO3gQABy,10000223,0.0
sjorO3gQABy,10001527,0.0
sjorO3gQABy,10000188,0.0
sjorO3gQABy,10002077,0.0
sjorO3gQABy,10002096,100.0
sjorO3gQABy,10002172,50.0
sjorO3gQABy,10000230,0.0
sjorO3gQABy,10001189,0.0
sjorO3gQABy,10000095,0.0
sjorO3gQABy,10002006,16.67
sjorO3gQABy,10001031,50.0
sjorO3gQABy,10001313,30.0
sjorO3gQABy,10001033,0.0
sjorO3gQABy,10000544,0.0
sjorO3gQABy,10002136,50.0
sjorO3gQABy,10000191,0.0
sjorO3gQABy,10000355,0.0
sjorO3gQABy,10000973,0.0
sjorO3gQABy,10001442,0.0
sjorO3gQABy,10001450,0.0
sjorO3gQABy,10002304,0.0
sjorO3gQABy,10001265,66.67
sjorO3gQABy,10001539,100.0
sjorO3gQABy,10000786,0.0
sjorO3gQABy,10001037,0.0
sjorO3gQABy,10000887,0.0
sjorO3gQABy,10000383,0.0
sjorO3gQABy,10000234,0.0
sjorO3gQABy,10001759,0.0
sjorO3gQABy,10002206,200.0
sjorO3gQABy,10002042,0.0
sjorO3gQABy,10002207,0.0
sjorO3gQABy,10002212,100.0
sjorO3gQABy,10000472,25.0
sjorO3gQABy,10002027,0.0
sjorO3gQABy,10000074,0.0
sjorO3gQABy,10000173,3.33
sjorO3gQABy,10000656,0.0
sjorO3gQABy,10002058,0.0
sjorO3gQABy,10001882,50.0
sjorO3gQABy,10000489,0.0
sjorO3gQABy,10001763,0.0
sjorO3gQABy,10000387,100.0
sjorO3gQABy,10002094,0.0
sjorO3gQABy,10000634,0.0
sjorO3gQABy,10002232,0.0
sjorO3gQABy,10001824,0.0
sjorO3gQABy,10001272,0.0
sjorO3gQABy,10002231,0.0
sjorO3gQABy,10001330,0.0
sjorO3gQABy,10001333,200.0
sjorO3gQABy,10000430,0.0
sjorO3gQABy,10001826,0.0
sjorO3gQABy,10001279,0.0
sjorO3gQABy,10000727,0.0
sjorO3gQABy,10001415,0.0
sjorO3gQABy,10000694,0.0
sjorO3gQABy,10001928,100.0
sjorO3gQABy,10002125,200.0
sjorO3gQABy,10002152,25.0
sjorO3gQABy,10001930,0.0
sjorO3gQABy,10001571,0.0
sjorO3gQABy,10001662,0.0
sjorO3gQABy,10002204,0.0
nHvaVDaRcQU,10001737,42.7
nHvaVDaRcQU,10001095,34.8
nHvaVDaRcQU,10001339,0.19
nHvaVDaRcQU,10001948,0.0
nHvaVDaRcQU,10000663,0.0
nHvaVDaRcQU,10001289,5.3
nHvaVDaRcQU,10001719,37.1
nHvaVDaRcQU,10000085,0.0
nHvaVDaRcQU,10000652,0.0
nHvaVDaRcQU,10001933,0.0
nHvaVDaRcQU,10000729,0.0
nHvaVDaRcQU,10000415,5.5
nHvaVDaRcQU,10000665,0.0
nHvaVDaRcQU,10001914,23.1
nHvaVDaRcQU,10001472,0.0
nHvaVDaRcQU,10000466,0.0
nHvaVDaRcQU,10001363,25.0
nHvaVDaRcQU,10001500,0.0
nHvaVDaRcQU,10000223,2.1
nHvaVDaRcQU,10002074,4.5
nHvaVDaRcQU,10001955,0.0
nHvaVDaRcQU,10001370,1.2
nHvaVDaRcQU,10001575,0.0
nHvaVDaRcQU,10001417,0.0
nHvaVDaRcQU,10001527,0.0
nHvaVDaRcQU,10001067,0.0
nHvaVDaRcQU,10001741,8.1
nHvaVDaRcQU,10001523,6.2
nHvaVDaRcQU,10002075,0.0
nHvaVDaRcQU,10000227,0.0
nHvaVDaRcQU,10001963,0.0
nHvaVDaRcQU,10000188,0.53
nHvaVDaRcQU,10002164,0.0
nHvaVDaRcQU,10001671,8.7
nHvaVDaRcQU,10000505,1.3
nHvaVDaRcQU,10001937,0.0
nHvaVDaRcQU,10001966,24.1
nHvaVDaRcQU,10000667,27.8
nHvaVDaRcQU,10000420,6.7
nHvaVDaRcQU,10002077,0.0
nHvaVDaRcQU,10000734,0.0
nHvaVDaRcQU,10001421,0.0
nHvaVDaRcQU,10000468,0.0
nHvaVDaRcQU,10001070,0.0
nHvaVDaRcQU,10002096,7.8
nHvaVDaRcQU,10000842,0.0
nHvaVDaRcQU,10000581,0.0
nHvaVDaRcQU,10001792,26.2
nHvaVDaRcQU,10002033,0.57
nHvaVDaRcQU,10002172,5.2
nHvaVDaRcQU,10001028,0.0
nHvaVDaRcQU,10000436,0.0
nHvaVDaRcQU,10001072,0.0
nHvaVDaRcQU,10001624,0.0
nHvaVDaRcQU,10001476,0.0
nHvaVDaRcQU,10001945,34.4
nHvaVDaRcQU,10000230,50.4
nHvaVDaRcQU,10000352,6.6
nHvaVDaRcQU,10002055,0.0
nHvaVDaRcQU,10000089,5.0
nHvaVDaRcQU,10001473,0.34
nHvaVDaRcQU,10000541,0.0
nHvaVDaRcQU,10001830,3.5
nHvaVDaRcQU,10001163,0.0
nHvaVDaRcQU,10000586,0.0
nHvaVDaRcQU,10001308,0.0
nHvaVDaRcQU,10001189,3.6
nHvaVDaRcQU,10001193,0.0
nHvaVDaRcQU,10001200,0.0
nHvaVDaRcQU,10002127,0.0
nHvaVDaRcQU,10002177,0.0
nHvaVDaRcQU,10000740,0.0
nHvaVDaRcQU,10000095,2.7
nHvaVDaRcQU,10001201,0.0
nHvaVDaRcQU,10001502,19.0
nHvaVDaRcQU,10002004,0.0
nHvaVDaRcQU,10000846,0.0
nHvaVDaRcQU,10000847,0.34
nHvaVDaRcQU,10000852,6.4
nHvaVDaRcQU,10000918,5.3
nHvaVDaRcQU,10000748,0.0
nHvaVDaRcQU,10000857,0.0
nHvaVDaRcQU,10000098,0.0
nHvaVDaRcQU,10002006,3.3
nHvaVDaRcQU,10001528,6.5
nHvaVDaRcQU,10001031,10.4
nHvaVDaRcQU,10001479,0.0
nHvaVDaRcQU,10000942,0.0
nHvaVDaRcQU,10002130,0.0
nHvaVDaRcQU,10001313,0.0
nHvaVDaRcQU,10001203,0.0
nHvaVDaRcQU,10001696,19.2
nHvaVDaRcQU,10001744,28.7
nHvaVDaRcQU,10001629,0.0
nHvaVDaRcQU,10002078,9.5
nHvaVDaRcQU,10002209,0.0
nHvaVDaRcQU,10001033,6.9
nHvaVDaRcQU,10001794,50.2
nHvaVDaRcQU,10000946,0.33
nHvaVDaRcQU,10002243,0.0
nHvaVDaRcQU,10000544,0.0
nHvaVDaRcQU,10001731,0.0
nHvaVDaRcQU,10002034,0.0
nHvaVDaRcQU,10000875,15.2
nHvaVDaRcQU,10002008,0.0
nHvaVDaRcQU,10002214,41.9
nHvaVDaRcQU,10000277,0.0
nHvaVDaRcQU,10001917,47.7
nHvaVDaRcQU,10000883,0.43
nHvaVDaRcQU,10001506,4.4
nHvaVDaRcQU,10000591,0.0
nHvaVDaRcQU,10002136,0.0
nHvaVDaRcQU,10000191,2.3
nHvaVDaRcQU,10001374,0.0
nHvaVDaRcQU,10000064,65.9
nHvaVDaRcQU,10002138,0.0
nHvaVDaRcQU,10000355,0.0
nHvaVDaRcQU,10001115,0.0
nHvaVDaRcQU,10001117,6.9
nHvaVDaRcQU,10001797,0.0
nHvaVDaRcQU,10000973,0.0
nHvaVDaRcQU,10001442,0.08
nHvaVDaRcQU,10000069,11.8
nHvaVDaRcQU,10001450,2.1
nHvaVDaRcQU,10002143,0.0
nHvaVDaRcQU,10002035,0.0
nHvaVDaRcQU,10001799,0.0
nHvaVDaRcQU,10002304,5.6
nHvaVDaRcQU,10000470,0.0
nHvaVDaRcQU,10001701,38.8
nHvaVDaRcQU,10000706,0.78
nHvaVDaRcQU,10001481,4.1
nHvaVDaRcQU,10000781,1.3
nHvaVDaRcQU,10002181,0.0
nHvaVDaRcQU,10001220,5.5
nHvaVDaRcQU,10002235,11.5
nHvaVDaRcQU,10000358,0.0
nHvaVDaRcQU,10001244,0.0
nHvaVDaRcQU,HS_27480050000,0.0
nHvaVDaRcQU,10000362,0.0
nHvaVDaRcQU,10001801,13.7
nHvaVDaRcQU,10001122,0.0
nHvaVDaRcQU,10002039,0.0
nHvaVDaRcQU,10001579,16.0
nHvaVDaRcQU,10001891,7.5
nHvaVDaRcQU,10000317,0.0
nHvaVDaRcQU,10000601,4.5
nHvaVDaRcQU,10000281,0.0
nHvaVDaRcQU,10001224,0.0
nHvaVDaRcQU,10000508,0.0
nHvaVDaRcQU,10001265,26.8
nHvaVDaRcQU,10001539,0.0
nHvaVDaRcQU,10000369,0.0
nHvaVDaRcQU,10002182,0.12
nHvaVDaRcQU,10001167,0.0
nHvaVDaRcQU,10000607,0.96
nHvaVDaRcQU,10000546,2.8
nHvaVDaRcQU,10000373,0.0
nHvaVDaRcQU,10001982,0.97
nHvaVDaRcQU,10002186,0.0
nHvaVDaRcQU,10001424,0.0
nHvaVDaRcQU,10000708,0.0
nHvaVDaRcQU,10001226,0.0
nHvaVDaRcQU,10000379,0.0
nHvaVDaRcQU,10001771,31.0
nHvaVDaRcQU,10001673,0.14
nHvaVDaRcQU,10000288,9.7
nHvaVDaRcQU,10000786,0.5
nHvaVDaRcQU,10001342,0.0
nHvaVDaRcQU,10001037,15.2
nHvaVDaRcQU,10000709,3.7
nHvaVDaRcQU,10001984,0.0
nHvaVDaRcQU,10000887,4.8
nHvaVDaRcQU,10000232,0.0
nHvaVDaRcQU,10000196,0.0
nHvaVDaRcQU,10001482,19.7
nHvaVDaRcQU,10000383,0.0
nHvaVDaRcQU,10000234,5.9
nHvaVDaRcQU,10002149,0.0
nHvaVDaRcQU,10002188,0.0
nHvaVDaRcQU,10001455,7.4
nHvaVDaRcQU,10002150,0.0
nHvaVDaRcQU,10000565,0.0
nHvaVDaRcQU,10001759,52.0
nHvaVDaRcQU,10001734,0.85
nHvaVDaRcQU,10001074,0.0
nHvaVDaRcQU,10001041,0.0
nHvaVDaRcQU,10002206,5.8
nHvaVDaRcQU,10000715,0.0
nHvaVDaRcQU,10001128,9.9
nHvaVDaRcQU,10001227,0.0
nHvaVDaRcQU,10001301,18.0
nHvaVDaRcQU,10002042,32.6
nHvaVDaRcQU,10001918,30.3
nHvaVDaRcQU,10001904,31.0
nHvaVDaRcQU,10000141,13.4
nHvaVDaRcQU,10000144,19.9
nHvaVDaRcQU,10002213,3.6
nHvaVDaRcQU,10002207,0.0
nHvaVDaRcQU,10002212,66.4
nHvaVDaRcQU,10000613,10.0
nHvaVDaRcQU,10000258,5.7
nHvaVDaRcQU,10000472,0.0
nHvaVDaRcQU,10002101,0.0
nHvaVDaRcQU,10001630,0.0
nHvaVDaRcQU,10000992,0.81
nHvaVDaRcQU,10002189,0.0
nHvaVDaRcQU,10000146,5.1
nHvaVDaRcQU,10001076,0.0
nHvaVDaRcQU,10000236,0.0
nHvaVDaRcQU,10000678,0.0
nHvaVDaRcQU,10000167,14.7
nHvaVDaRcQU,10002027,0.0
nHvaVDaRcQU,10000241,4.8
nHvaVDaRcQU,10002056,0.0
nHvaVDaRcQU,10001077,0.0
nHvaVDaRcQU,10001633,8.9
nHvaVDaRcQU,10000482,0.0
nHvaVDaRcQU,10000074,48.3
nHvaVDaRcQU,10001760,61.7
nHvaVDaRcQU,10000486,0.0
nHvaVDaRcQU,10001230,2.5
nHvaVDaRcQU,10001303,21.4
nHvaVDaRcQU,10001842,0.0
nHvaVDaRcQU,10001459,0.0
nHvaVDaRcQU,10000173,12.2
nHvaVDaRcQU,10001780,1.9
nHvaVDaRcQU,10001580,0.0
nHvaVDaRcQU,10001817,29.6
nHvaVDaRcQU,10002106,0.0
nHvaVDaRcQU,10000246,0.0
nHvaVDaRcQU,10001848,4.2
nHvaVDaRcQU,10000924,0.0
nHvaVDaRcQU,10002085,0.0
nHvaVDaRcQU,10000892,0.0
nHvaVDaRcQU,10000978,0.0
nHvaVDaRcQU,10002015,2.2
nHvaVDaRcQU,10001426,8.5
nHvaVDaRcQU,10000656,0.0
nHvaVDaRcQU,10001080,0.0
nHvaVDaRcQU,10002211,47.1
nHvaVDaRcQU,10000792,1.9
nHvaVDaRcQU,10000323,4.7
nHvaVDaRcQU,10000488,0.0
nHvaVDaRcQU,10000212,0.0
nHvaVDaRcQU,10002088,0.0
nHvaVDaRcQU,10001382,15.2
nHvaVDaRcQU,10000979,0.0
nHvaVDaRcQU,10002017,0.0
nHvaVDaRcQU,10002058,47.2
nHvaVDaRcQU,10000983,0.0
nHvaVDaRcQU,10000721,56.7
nHvaVDaRcQU,10000725,15.4
