Data,Organisation unit,Value
% of maternal death reported individually with causes of death,Bagerhat District,71.43
% of maternal death reported individually with causes of death,Bandarban District,0.0
% of maternal death reported individually with causes of death,Barguna District,12.5
% of maternal death reported individually with causes of death,Bhola District,61.9
% of maternal death reported individually with causes of death,Bogura District,17.39
% of maternal death reported individually with causes of death,Brahmanbaria District,0.0
% of maternal death reported individually with causes of death,Chandpur District,25.0
% of maternal death reported individually with causes of death,Chapai Nababganj District,0.0
% of maternal death reported individually with causes of death,Chattogram District,0.0
% of maternal death reported individually with causes of death,Chuadanga District,0.0
% of maternal death reported individually with causes of death,Coxs Bazar District,58.97
% of maternal death reported individually with causes of death,Cumilla District,0.0
% of maternal death reported individually with causes of death,Dhaka District,0.0
% of maternal death reported individually with causes of death,Dinajpur District,25.0
% of maternal death reported individually with causes of death,Faridpur District,4.44
% of maternal death reported individually with causes of death,Gaibandha District,33.33
% of maternal death reported individually with causes of death,Gazipur District,33.33
% of maternal death reported individually with causes of death,Gopalganj District,81.82
% of maternal death reported individually with causes of death,Habiganj District,7.41
% of maternal death reported individually with causes of death,Jamalpur District,5.26
% of maternal death reported individually with causes of death,Jashore District,9.3
% of maternal death reported individually with causes of death,Jhenaidaha District,33.33
% of maternal death reported individually with causes of death,Joypurhat District,0.0
% of maternal death reported individually with causes of death,Khagrachhari District,38.46
% of maternal death reported individually with causes of death,Khulna District,100.0
% of maternal death reported individually with causes of death,Kishoreganj District,30.43
% of maternal death reported individually with causes of death,Kurigram District,28.0
% of maternal death reported individually with causes of death,Kustia District,11.11
% of maternal death reported individually with causes of death,Laksmipur District,16.67
% of maternal death reported individually with causes of death,Lalmonirhat District,25.0
% of maternal death reported individually with causes of death,Madaripur District,66.67
% of maternal death reported individually with causes of death,Magura District,18.18
% of maternal death reported individually with causes of death,Maulavi Bazar District,29.17
% of maternal death reported individually with causes of death,Meherpur District,0.0
% of maternal death reported individually with causes of death,Munshiganj District,0.0
% of maternal death reported individually with causes of death,Mymensingh District,60.0
% of maternal death reported individually with causes of death,Naogaon District,14.29
% of maternal death reported individually with causes of death,Narail District,0.0
% of maternal death reported individually with causes of death,Narayanganj District,100.0
% of maternal death reported individually with causes of death,Natore District,80.0
% of maternal death reported individually with causes of death,Netrokona District,16.67
% of maternal death reported individually with causes of death,Nilphamari District,6.25
% of maternal death reported individually with causes of death,Noakhali District,3.45
% of maternal death reported individually with causes of death,Pabna District,12.82
% of maternal death reported individually with causes of death,Panchagarh District,66.67
% of maternal death reported individually with causes of death,Patuakhali District,36.0
% of maternal death reported individually with causes of death,Pirojpur District,100.0
% of maternal death reported individually with causes of death,Rajbari District,100.0
% of maternal death reported individually with causes of death,Rajshahi District,50.0
% of maternal death reported individually with causes of death,Rangamati District,0.0
% of maternal death reported individually with causes of death,Rangpur District,45.74
% of maternal death reported individually with causes of death,Satkhira District,42.86
% of maternal death reported individually with causes of death,Shariatpur District,0.0
% of maternal death reported individually with causes of death,Sherpur District,50.0
% of maternal death reported individually with causes of death,Sirajganj District,27.78
% of maternal death reported individually with causes of death,Sunamganj District,100.0
% of maternal death reported individually with causes of death,Sylhet District,100.0
% of maternal death reported individually with causes of death,Tangail District,18.52
% of maternal death reported individually with causes of death,Thakurgaon District,60.0
Institutional C-section rate,Bagerhat District,27.6
Institutional C-section rate,Bandarban District,14.5
Institutional C-section rate,Barguna District,58.6
Institutional C-section rate,Barishal District,64.8
Institutional C-section rate,Bhola District,22.4
Institutional C-section rate,Bogura District,54.9
Institutional C-section rate,Brahmanbaria District,43.4
Institutional C-section rate,Chandpur District,65.7
Institutional C-section rate,Chapai Nababganj District,23.2
Institutional C-section rate,Chattogram District,25.1
Institutional C-section rate,Chuadanga District,61.9
Institutional C-section rate,Coxs Bazar District,36.0
Institutional C-section rate,Cumilla District,33.7
Institutional C-section rate,Dhaka District,60.5
Institutional C-section rate,Dinajpur District,46.9
Institutional C-section rate,Faridpur District,55.6
Institutional C-section rate,Feni District,40.9
Institutional C-section rate,Gaibandha District,27.6
Institutional C-section rate,Gazipur District,60.0
Institutional C-section rate,Gopalganj District,45.5
Institutional C-section rate,Habiganj District,12.6
Institutional C-section rate,Jamalpur District,48.6
Institutional C-section rate,Jashore District,63.8
Institutional C-section rate,Jhalokati District,64.0
Institutional C-section rate,Jhenaidaha District,61.1
Institutional C-section rate,Joypurhat District,44.3
Institutional C-section rate,Khagrachhari District,14.0
Institutional C-section rate,Khulna District,52.0
Institutional C-section rate,Kishoreganj District,58.5
Institutional C-section rate,Kurigram District,28.5
Institutional C-section rate,Kustia District,52.8
Institutional C-section rate,Laksmipur District,52.9
Institutional C-section rate,Lalmonirhat District,53.9
Institutional C-section rate,Madaripur District,67.7
Institutional C-section rate,Magura District,36.4
Institutional C-section rate,Manikganj District,65.5
Institutional C-section rate,Maulavi Bazar District,37.9
Institutional C-section rate,Meherpur District,31.6
Institutional C-section rate,Munshiganj District,37.8
Institutional C-section rate,Mymensingh District,16.5
Institutional C-section rate,Naogaon District,57.8
Institutional C-section rate,Narail District,58.2
Institutional C-section rate,Narayanganj District,72.9
Institutional C-section rate,Narshingdi District,64.1
Institutional C-section rate,Natore District,50.5
Institutional C-section rate,Netrokona District,33.1
Institutional C-section rate,Nilphamari District,25.2
Institutional C-section rate,Noakhali District,45.3
Institutional C-section rate,Pabna District,48.6
Institutional C-section rate,Panchagarh District,30.4
Institutional C-section rate,Patuakhali District,33.8
Institutional C-section rate,Pirojpur District,44.5
Institutional C-section rate,Rajbari District,52.1
Institutional C-section rate,Rajshahi District,39.6
Institutional C-section rate,Rangamati District,32.3
Institutional C-section rate,Rangpur District,46.2
Institutional C-section rate,Satkhira District,53.3
Institutional C-section rate,Shariatpur District,56.4
Institutional C-section rate,Sherpur District,47.9
Institutional C-section rate,Sirajganj District,30.5
Institutional C-section rate,Sunamganj District,26.0
Institutional C-section rate,Sylhet District,27.6
Institutional C-section rate,Tangail District,73.8
Institutional C-section rate,Thakurgaon District,62.6
Institutional Normal Delivery Rate (Only EmOC Facilities),Bagerhat District,71.5
Institutional Normal Delivery Rate (Only EmOC Facilities),Bandarban District,84.6
Institutional Normal Delivery Rate (Only EmOC Facilities),Barguna District,41.1
Institutional Normal Delivery Rate (Only EmOC Facilities),Barishal District,35.2
Institutional Normal Delivery Rate (Only EmOC Facilities),Bhola District,77.2
Institutional Normal Delivery Rate (Only EmOC Facilities),Bogura District,44.8
Institutional Normal Delivery Rate (Only EmOC Facilities),Brahmanbaria District,56.2
Institutional Normal Delivery Rate (Only EmOC Facilities),Chandpur District,34.1
Institutional Normal Delivery Rate (Only EmOC Facilities),Chapai Nababganj District,76.2
Institutional Normal Delivery Rate (Only EmOC Facilities),Chattogram District,73.8
Institutional Normal Delivery Rate (Only EmOC Facilities),Chuadanga District,37.7
Institutional Normal Delivery Rate (Only EmOC Facilities),Coxs Bazar District,60.5
Institutional Normal Delivery Rate (Only EmOC Facilities),Cumilla District,65.7
Institutional Normal Delivery Rate (Only EmOC Facilities),Dhaka District,39.4
Institutional Normal Delivery Rate (Only EmOC Facilities),Dinajpur District,51.2
Institutional Normal Delivery Rate (Only EmOC Facilities),Faridpur District,40.3
Institutional Normal Delivery Rate (Only EmOC Facilities),Feni District,58.7
Institutional Normal Delivery Rate (Only EmOC Facilities),Gaibandha District,71.9
Institutional Normal Delivery Rate (Only EmOC Facilities),Gazipur District,39.0
Institutional Normal Delivery Rate (Only EmOC Facilities),Gopalganj District,53.6
Institutional Normal Delivery Rate (Only EmOC Facilities),Habiganj District,86.5
Institutional Normal Delivery Rate (Only EmOC Facilities),Jamalpur District,51.2
Institutional Normal Delivery Rate (Only EmOC Facilities),Jashore District,34.8
Institutional Normal Delivery Rate (Only EmOC Facilities),Jhalokati District,36.0
Institutional Normal Delivery Rate (Only EmOC Facilities),Jhenaidaha District,38.8
Institutional Normal Delivery Rate (Only EmOC Facilities),Joypurhat District,55.6
Institutional Normal Delivery Rate (Only EmOC Facilities),Khagrachhari District,84.3
Institutional Normal Delivery Rate (Only EmOC Facilities),Khulna District,47.5
Institutional Normal Delivery Rate (Only EmOC Facilities),Kishoreganj District,41.2
Institutional Normal Delivery Rate (Only EmOC Facilities),Kurigram District,71.3
Institutional Normal Delivery Rate (Only EmOC Facilities),Kustia District,47.1
Institutional Normal Delivery Rate (Only EmOC Facilities),Laksmipur District,46.5
Institutional Normal Delivery Rate (Only EmOC Facilities),Lalmonirhat District,45.8
Institutional Normal Delivery Rate (Only EmOC Facilities),Madaripur District,32.1
Institutional Normal Delivery Rate (Only EmOC Facilities),Magura District,63.6
Institutional Normal Delivery Rate (Only EmOC Facilities),Manikganj District,34.4
Institutional Normal Delivery Rate (Only EmOC Facilities),Maulavi Bazar District,60.6
Institutional Normal Delivery Rate (Only EmOC Facilities),Meherpur District,68.1
Institutional Normal Delivery Rate (Only EmOC Facilities),Munshiganj District,62.2
Institutional Normal Delivery Rate (Only EmOC Facilities),Mymensingh District,82.3
