Data,Organisation unit,Value
% of maternal death reported individually with causes of death,"Barlekha Upazila Health Complex,Moulvibazar",50.0
% of maternal death reported individually with causes of death,"Beani Bazar Upazila Health Complex,Sylhet",100.0
% of maternal death reported individually with causes of death,Boalmari Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Charfession Upazila Health Complex,33.33
% of maternal death reported individually with causes of death,Chatkhil Upazila Health Complex,33.33
% of maternal death reported individually with causes of death,Chilmari Upazila Health Complex,30.0
% of maternal death reported individually with causes of death,Companiganj Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Damudya Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Dashmina Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,"Derai Upazila Health Complex, Sunamganj",100.0
% of maternal death reported individually with causes of death,"Dharmapasha Upazila Health Complex,Sunamganj",0.0
% of maternal death reported individually with causes of death,Dhubaura Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Domar Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Durgapur Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Gobindaganj Upazila Health Complex,66.67
% of maternal death reported individually with causes of death,Godagari Upazila Health Complex,100.0
% of maternal death reported individually with causes of death,Haluaghat Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Haripur Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Hathazari Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Hatiya Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Iswarganj Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Jaldhaka Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Kachua BH Upazila Health Complex,200.0
% of maternal death reported individually with causes of death,Kalapara Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Kaliganj LH Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,"Kaliganj SK Upazila Health Complex, Satkhira",100.0
% of maternal death reported individually with causes of death,Kalmakanda Upazila Health Complex,50.0
% of maternal death reported individually with causes of death,Kapasia Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Keraniganj Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Keshabpur Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Mathbaria Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Monirampur Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Muktagacha Upazila Health Complex,100.0
% of maternal death reported individually with causes of death,Palashbari Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Parsuram Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Patnitala Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Purbadhala Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Raipur Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Rajibpur Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Rowmari Upazila Health Complex,200.0
% of maternal death reported individually with causes of death,Sadullapur Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Saharasthi Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Sapahar Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,Sarail Upazila Health Complex,0.0
% of maternal death reported individually with causes of death,"Shyamnagar Upazila Health Complex, Satkhira",50.0
% of maternal death reported individually with causes of death,"Sreemangal Upazila Health Complex,Moulvibazar",133.33
% of maternal death reported individually with causes of death,"Sulla Upazila Health Complex,Sunamganj",200.0
Institutional C-section rate,Abhoynagar Upazila Health Complex,42.9
Institutional C-section rate,Adamdighi Upazila Health Complex,40.1
Institutional C-section rate,Aditmari Upazila Health Complex,0.0
Institutional C-section rate,"Agailjhara Upazila Health Complex, Barisal",0.0
Institutional C-section rate,Akhaura Upazila Health Complex,0.0
Institutional C-section rate,Akkelpur Upazila Health Complex,0.0
Institutional C-section rate,Alamdanga Upazila Health Complex,13.1
Institutional C-section rate,Alfadanga Upazila Health Complex,0.24
Institutional C-section rate,Alikadam Upazila Health Complex,0.0
Institutional C-section rate,Amtali Upazila Health Complex,0.0
Institutional C-section rate,Anwara Upazila Health Complex,0.0
Institutional C-section rate,Araihazar Upazila Health Complex,9.6
Institutional C-section rate,Ashugonj Upazila Health Complex,0.0
Institutional C-section rate,"Assasuni Upazila Health Complex, Satkhira",0.0
Institutional C-section rate,Atghoria Upazila Health Complex,0.0
Institutional C-section rate,Atpara Upazila Health Complex,0.0
Institutional C-section rate,Atrai Upazila Health Complex,1.3
Institutional C-section rate,Atwari Upazila Health Complex,0.0
Institutional C-section rate,Austagram Upazila Health Complex,0.0
Institutional C-section rate,"Azmiriganj Upazila Health Complex,Habiganj",0.79
Institutional C-section rate,"Babuganj Upazila Health Complex, Barisal",0.0
Institutional C-section rate,Badalgachi Upazila Health Complex,1.4
Institutional C-section rate,Badarganj Upazila Health Complex,0.0
Institutional C-section rate,Bagatipara Upazila Health Complex,0.0
Institutional C-section rate,Bagha Upazila Health Complex,0.0
Institutional C-section rate,Baghaichari Upazila Health Complex,0.0
Institutional C-section rate,Bagherpara Upazila Health Complex,16.1
Institutional C-section rate,Bagmara Upazila Health Complex,13.1
Institutional C-section rate,"Bahubal Upazila Health Complex,Habiganj",0.0
Institutional C-section rate,Bajitpur Upazila Health Complex,0.0
Institutional C-section rate,"Bakerganj Upazila Health Complex, Barisal",0.0
Institutional C-section rate,Bakshiganj Upazila Health Complex,0.0
Institutional C-section rate,"Balaganj Upazila Health Complex,Sylhet",0.0
Institutional C-section rate,Baliadangi Upazila Health Complex,8.8
Institutional C-section rate,Baliakandi Upazila Health Complex,2.6
Institutional C-section rate,Bamna Upazila Health Complex,0.0
Institutional C-section rate,Banaripara Upazila Health Complex,15.2
Institutional C-section rate,Bancharampur Upazila Health Complex,37.8
Institutional C-section rate,Bandar Upazila Health Complex,16.7
Institutional C-section rate,"Baniachong Upazila Health Complex, Habiganj",0.34
Institutional C-section rate,Banshkhali Upazila Health Complex,0.0
Institutional C-section rate,Baraigram Upazila Health Complex,0.0
Institutional C-section rate,Barhatta Upazila Health Complex,0.0
Institutional C-section rate,Barkol Upazila Health Complex,0.0
Institutional C-section rate,"Barlekha Upazila Health Complex,Moulvibazar",9.6
Institutional C-section rate,Barura Upazila Health Complex,0.0
Institutional C-section rate,Basail Upazila Health Complex,0.0
Institutional C-section rate,Batiaghata Upazila Health Complex,0.0
Institutional C-section rate,Bauphal Upazila Health Complex,0.0
Institutional C-section rate,"Beani Bazar Upazila Health Complex,Sylhet",5.3
Institutional C-section rate,Begumganj Upazila Health Complex,0.0
Institutional C-section rate,Belabo Upazila Health Complex,0.0
Institutional C-section rate,Belaichari Upazila Health Complex,0.0
Institutional C-section rate,Belkuchi Upazila Health Complex,0.0
Institutional C-section rate,Bera Upazila Health Complex,0.0
Institutional C-section rate,Betagi Upazila Health Complex,0.0
Institutional C-section rate,Bhairab Upazila Health Complex,49.2
Institutional C-section rate,Bhaluka Upazila Health Complex,8.0
Institutional C-section rate,Bhandaria Upazila Health Complex,0.0
Institutional C-section rate,Bhanga Upazila Health Complex,2.8
Institutional C-section rate,Bhangura Upazila Health Complex,0.16
Institutional C-section rate,Bhedarganj Upazila Health Complex,0.0
Institutional C-section rate,Bheramara Upazila Health Complex,6.4
Institutional C-section rate,Bholahat Upazila Health Complex,0.0
Institutional C-section rate,Bhuapur Upazila Health Complex,0.0
Institutional C-section rate,Bhurungamari Upazila Health Complex,0.0
Institutional C-section rate,Birampur Upazila Health Complex,0.0
Institutional C-section rate,Birganj Upazila Health Complex,0.0
Institutional C-section rate,Birol Upazila Health Complex,0.0
Institutional C-section rate,"Biswambarpur Upazila Health Complex,Sunamganj",0.0
