Data,Organisation unit,Value
sjorO3gQABy,100610,0.0
sjorO3gQABy,605814,50.0
sjorO3gQABy,107838,0.0
sjorO3gQABy,609117,100.0
sjorO3gQABy,100447,0.0
sjorO3gQABy,302918,0.0
sjorO3gQABy,100925,33.33
sjorO3gQABy,554908,0.0
sjorO3gQABy,207510,33.33
sjorO3gQABy,554909,30.0
sjorO3gQABy,207521,0.0
sjorO3gQABy,308625,0.0
sjorO3gQABy,107852,0.0
sjorO3gQABy,100929,0.0
sjorO3gQABy,609027,100.0
sjorO3gQABy,609029,0.0
sjorO3gQABy,306116,0.0
sjorO3gQABy,557315,0.0
sjorO3gQABy,30-72-18,0.0
sjorO3gQABy,553230,66.67
sjorO3gQABy,508134,100.0
sjorO3gQABy,107857,0.0
sjorO3gQABy,306124,0.0
sjorO3gQABy,559451,0.0
sjorO3gQABy,201537,0.0
sjorO3gQABy,207536,0.0
sjorO3gQABy,306131,0.0
sjorO3gQABy,557336,0.0
sjorO3gQABy,400138,200.0
sjorO3gQABy,107866,0.0
sjorO3gQABy,555239,0.0
sjorO3gQABy,408747,100.0
sjorO3gQABy,307240,50.0
sjorO3gQABy,303336,0.0
sjorO3gQABy,302638,0.0
sjorO3gQABy,404138,0.0
sjorO3gQABy,205143,0.0
sjorO3gQABy,200351,0.0
sjorO3gQABy,404161,0.0
sjorO3gQABy,107958,0.0
sjorO3gQABy,100662,0.0
sjorO3gQABy,201553,0.0
sjorO3gQABy,309366,16.67
sjorO3gQABy,306165,100.0
sjorO3gQABy,553267,0.0
sjorO3gQABy,552777,0.0
sjorO3gQABy,203051,0.0
sjorO3gQABy,100485,0.0
sjorO3gQABy,506475,0.0
sjorO3gQABy,307283,0.0
sjorO3gQABy,205158,0.0
sjorO3gQABy,554979,200.0
sjorO3gQABy,553282,0.0
sjorO3gQABy,506486,0.0
sjorO3gQABy,201294,0.0
sjorO3gQABy,303985,0.0
sjorO3gQABy,201395,0.0
sjorO3gQABy,408786,50.0
sjorO3gQABy,605883,133.33
sjorO3gQABy,609086,200.0
nHvaVDaRcQU,404104,42.9
nHvaVDaRcQU,501006,40.1
nHvaVDaRcQU,555202,0.0
nHvaVDaRcQU,100602,0.0
nHvaVDaRcQU,603602,0.79
nHvaVDaRcQU,201202,0.0
nHvaVDaRcQU,503813,0.0
nHvaVDaRcQU,401807,13.1
nHvaVDaRcQU,302903,0.24
nHvaVDaRcQU,200304,0.0
nHvaVDaRcQU,100409,0.0
nHvaVDaRcQU,201504,0.0
nHvaVDaRcQU,306702,9.6
nHvaVDaRcQU,201233,0.0
nHvaVDaRcQU,408704,0.0
nHvaVDaRcQU,507605,0.0
nHvaVDaRcQU,307204,0.0
nHvaVDaRcQU,506403,1.3
nHvaVDaRcQU,557704,0.0
nHvaVDaRcQU,304802,0.0
nHvaVDaRcQU,100603,0.0
nHvaVDaRcQU,506406,1.4
nHvaVDaRcQU,558503,0.0
nHvaVDaRcQU,506909,0.0
nHvaVDaRcQU,508110,0.0
nHvaVDaRcQU,208407,0.0
nHvaVDaRcQU,404109,16.0
nHvaVDaRcQU,508112,13.1
nHvaVDaRcQU,603605,0.0
nHvaVDaRcQU,304806,0.0
nHvaVDaRcQU,100607,15.4
nHvaVDaRcQU,303907,0.0
nHvaVDaRcQU,609108,0.0
nHvaVDaRcQU,559408,8.8
nHvaVDaRcQU,308207,2.6
nHvaVDaRcQU,100419,0.0
nHvaVDaRcQU,100610,15.2
nHvaVDaRcQU,201204,37.8
nHvaVDaRcQU,306706,16.7
nHvaVDaRcQU,603611,0.34
nHvaVDaRcQU,201508,0.0
nHvaVDaRcQU,506915,0.0
nHvaVDaRcQU,307209,0.0
nHvaVDaRcQU,208421,0.0
nHvaVDaRcQU,605814,9.6
nHvaVDaRcQU,201909,0.0
nHvaVDaRcQU,309309,0.0
nHvaVDaRcQU,404712,0.0
nHvaVDaRcQU,107838,0.0
nHvaVDaRcQU,609117,5.3
nHvaVDaRcQU,207507,0.0
nHvaVDaRcQU,306807,0.0
nHvaVDaRcQU,208429,0.0
nHvaVDaRcQU,508811,0.0
nHvaVDaRcQU,507616,0.0
nHvaVDaRcQU,100447,1.1
nHvaVDaRcQU,306113,8.0
nHvaVDaRcQU,107914,0.52
nHvaVDaRcQU,302910,2.8
nHvaVDaRcQU,507619,0.16
nHvaVDaRcQU,304811,49.2
nHvaVDaRcQU,308614,0.0
nHvaVDaRcQU,405015,6.4
nHvaVDaRcQU,507018,0.0
nHvaVDaRcQU,309319,0.0
nHvaVDaRcQU,554906,0.0
nHvaVDaRcQU,552717,0.0
nHvaVDaRcQU,552710,0.0
nHvaVDaRcQU,552712,0.0
nHvaVDaRcQU,609018,0.0
nHvaVDaRcQU,609120,0.0
nHvaVDaRcQU,201512,0.0
nHvaVDaRcQU,302918,0.0
nHvaVDaRcQU,552721,0.0
nHvaVDaRcQU,557725,0.8
nHvaVDaRcQU,201915,0.0
