Data,Organisation unit,Value
% of breast feeding initiated within 1 hour by CSBA,Abhaynagar Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Adamdighi Upazila,95.0
% of breast feeding initiated within 1 hour by CSBA,Aditmari Upazila,99.5
% of breast feeding initiated within 1 hour by CSBA,Agailjhara Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Ajmiriganj Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Akhaura Upazila,100.4
% of breast feeding initiated within 1 hour by CSBA,Akkelpur Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Alamdanga Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Alfadanga Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Alikadam Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Amtali Upazila,98.9
% of breast feeding initiated within 1 hour by CSBA,Araihazar Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Ashuganj Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Assasuni Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Atgharia Upazila,98.7
% of breast feeding initiated within 1 hour by CSBA,Atpara Upazila,106.2
% of breast feeding initiated within 1 hour by CSBA,Atrai Upazila,0.0
% of breast feeding initiated within 1 hour by CSBA,Atwari Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Austagram Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Babuganj Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Badalgachhi Upazila,96.4
% of breast feeding initiated within 1 hour by CSBA,Badarganj Upazila,93.5
% of breast feeding initiated within 1 hour by CSBA,Bagatipara Upazila,101.1
% of breast feeding initiated within 1 hour by CSBA,Bagerhat Sadar Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Bagha Upazila,83.0
% of breast feeding initiated within 1 hour by CSBA,Baghai Chhari Upazila,73.5
% of breast feeding initiated within 1 hour by CSBA,Bagherpara Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Baghmara Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Bahubal Upazila,102.4
% of breast feeding initiated within 1 hour by CSBA,Bajitpur Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Bakerganj Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Bakshiganj Upazila,95.0
% of breast feeding initiated within 1 hour by CSBA,Balaganj Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Baliadangi Upazila,100.0
% of breast feeding initiated within 1 hour by CSBA,Baliakandi Upazila,87.7
