Data,Organisation unit,Value
% of breast feeding initiated within 1 hour by CSBA,Bagerhat District,95.3
% of breast feeding initiated within 1 hour by CSBA,Bandarban District,87.2
% of breast feeding initiated within 1 hour by CSBA,Barguna District,98.8
% of breast feeding initiated within 1 hour by CSBA,Barishal District,96.4
% of breast feeding initiated within 1 hour by CSBA,Bhola District,96.0
% of breast feeding initiated within 1 hour by CSBA,Bogura District,100.0
% of breast feeding initiated within 1 hour by CSBA,Brahmanbaria District,98.8
% of breast feeding initiated within 1 hour by CSBA,Chandpur District,95.4
% of breast feeding initiated within 1 hour by CSBA,Chapai Nababganj District,98.5
% of breast feeding initiated within 1 hour by CSBA,Chattogram District,92.2
% of breast feeding initiated within 1 hour by CSBA,Chuadanga District,98.9
% of breast feeding initiated within 1 hour by CSBA,Coxs Bazar District,96.1
% of breast feeding initiated within 1 hour by CSBA,Cumilla District,92.2
% of breast feeding initiated within 1 hour by CSBA,Dhaka District,97.0
% of breast feeding initiated within 1 hour by CSBA,Dinajpur District,92.5
% of breast feeding initiated within 1 hour by CSBA,Faridpur District,99.3
% of breast feeding initiated within 1 hour by CSBA,Feni District,100.0
% of breast feeding initiated within 1 hour by CSBA,Gaibandha District,90.9
% of breast feeding initiated within 1 hour by CSBA,Gazipur District,96.5
% of breast feeding initiated within 1 hour by CSBA,Gopalganj District,89.0
% of breast feeding initiated within 1 hour by CSBA,Habiganj District,99.7
% of breast feeding initiated within 1 hour by CSBA,Jamalpur District,98.0
% of breast feeding initiated within 1 hour by CSBA,Jashore District,96.6
% of breast feeding initiated within 1 hour by CSBA,Jhalokati District,97.4
% of breast feeding initiated within 1 hour by CSBA,Jhenaidaha District,98.8
% of breast feeding initiated within 1 hour by CSBA,Joypurhat District,99.2
% of breast feeding initiated within 1 hour by CSBA,Khagrachhari District,90.7
% of breast feeding initiated within 1 hour by CSBA,Khulna District,97.2
% of breast feeding initiated within 1 hour by CSBA,Kishoreganj District,99.1
% of breast feeding initiated within 1 hour by CSBA,Kurigram District,88.3
% of breast feeding initiated within 1 hour by CSBA,Kustia District,96.7
% of breast feeding initiated within 1 hour by CSBA,Laksmipur District,98.5
% of breast feeding initiated within 1 hour by CSBA,Lalmonirhat District,98.0
% of breast feeding initiated within 1 hour by CSBA,Madaripur District,98.3
% of breast feeding initiated within 1 hour by CSBA,Magura District,100.0
% of breast feeding initiated within 1 hour by CSBA,Manikganj District,93.2
% of breast feeding initiated within 1 hour by CSBA,Maulavi Bazar District,101.3
% of breast feeding initiated within 1 hour by CSBA,Meherpur District,0.0
% of breast feeding initiated within 1 hour by CSBA,Munshiganj District,96.3
% of breast feeding initiated within 1 hour by CSBA,Mymensingh District,97.1
% of breast feeding initiated within 1 hour by CSBA,Naogaon District,93.2
% of breast feeding initiated within 1 hour by CSBA,Narail District,88.9
% of breast feeding initiated within 1 hour by CSBA,Narayanganj District,101.9
% of breast feeding initiated within 1 hour by CSBA,Narshingdi District,84.8
% of breast feeding initiated within 1 hour by CSBA,Natore District,83.0
% of breast feeding initiated within 1 hour by CSBA,Netrokona District,100.3
% of breast feeding initiated within 1 hour by CSBA,Nilphamari District,85.1
% of breast feeding initiated within 1 hour by CSBA,Noakhali District,97.1
% of breast feeding initiated within 1 hour by CSBA,Pabna District,96.5
% of breast feeding initiated within 1 hour by CSBA,Panchagarh District,94.8
% of breast feeding initiated within 1 hour by CSBA,Patuakhali District,94.6
% of breast feeding initiated within 1 hour by CSBA,Pirojpur District,96.4
% of breast feeding initiated within 1 hour by CSBA,Rajbari District,92.2
% of breast feeding initiated within 1 hour by CSBA,Rajshahi District,90.0
% of breast feeding initiated within 1 hour by CSBA,Rangamati District,96.9
% of breast feeding initiated within 1 hour by CSBA,Rangpur District,98.4
% of breast feeding initiated within 1 hour by CSBA,Satkhira District,95.6
% of breast feeding initiated within 1 hour by CSBA,Shariatpur District,92.0
% of breast feeding initiated within 1 hour by CSBA,Sherpur District,92.3
% of breast feeding initiated within 1 hour by CSBA,Sirajganj District,94.4
% of breast feeding initiated within 1 hour by CSBA,Sunamganj District,97.4
% of breast feeding initiated within 1 hour by CSBA,Sylhet District,95.9
% of breast feeding initiated within 1 hour by CSBA,Tangail District,97.5
% of breast feeding initiated within 1 hour by CSBA,Thakurgaon District,87.9
% of neonatal death reported individually,Bagerhat District,1640.0
% of neonatal death reported individually,Bandarban District,1150.0
% of neonatal death reported individually,Barguna District,432.6
% of neonatal death reported individually,Barishal District,75.9
% of neonatal death reported individually,Bhola District,8977.8
% of neonatal death reported individually,Bogura District,507.5
% of neonatal death reported individually,Brahmanbaria District,420.6
% of neonatal death reported individually,Chandpur District,297.2
% of neonatal death reported individually,Chapai Nababganj District,529.4
% of neonatal death reported individually,Chattogram District,494.1
% of neonatal death reported individually,Chuadanga District,281.3
% of neonatal death reported individually,Coxs Bazar District,1406.5
% of neonatal death reported individually,Cumilla District,38.0
% of neonatal death reported individually,Dhaka District,1366.7
% of neonatal death reported individually,Dinajpur District,141.8
% of neonatal death reported individually,Faridpur District,359.6
% of neonatal death reported individually,Gaibandha District,254.0
% of neonatal death reported individually,Gazipur District,2140.0
% of neonatal death reported individually,Gopalganj District,13040.0
% of neonatal death reported individually,Habiganj District,170.3
% of neonatal death reported individually,Jamalpur District,156.7
% of neonatal death reported individually,Jashore District,5987.5
% of neonatal death reported individually,Jhalokati District,1775.0
% of neonatal death reported individually,Jhenaidaha District,5410.0
% of neonatal death reported individually,Joypurhat District,888.9
% of neonatal death reported individually,Khagrachhari District,2276.5
% of neonatal death reported individually,Khulna District,1100.0
% of neonatal death reported individually,Kishoreganj District,360.4
% of neonatal death reported individually,Kurigram District,475.8
% of neonatal death reported individually,Kustia District,3466.7
% of neonatal death reported individually,Laksmipur District,1252.6
% of neonatal death reported individually,Lalmonirhat District,586.4
% of neonatal death reported individually,Madaripur District,945.8
% of neonatal death reported individually,Magura District,1310.3
% of neonatal death reported individually,Manikganj District,94.3
% of neonatal death reported individually,Maulavi Bazar District,290.4
% of neonatal death reported individually,Meherpur District,674.0
% of neonatal death reported individually,Munshiganj District,2760.0
% of neonatal death reported individually,Mymensingh District,76.7
% of neonatal death reported individually,Naogaon District,589.0
% of neonatal death reported individually,Narail District,181.5
% of neonatal death reported individually,Narayanganj District,3450.0
% of neonatal death reported individually,Narshingdi District,1237.5
% of neonatal death reported individually,Natore District,1418.2
% of neonatal death reported individually,Netrokona District,479.2
% of neonatal death reported individually,Nilphamari District,240.5
% of neonatal death reported individually,Noakhali District,1669.2
% of neonatal death reported individually,Pabna District,70.2
% of neonatal death reported individually,Panchagarh District,1047.8
% of neonatal death reported individually,Patuakhali District,1979.3
% of neonatal death reported individually,Pirojpur District,965.5
% of neonatal death reported individually,Rajbari District,3366.7
% of neonatal death reported individually,Rajshahi District,677.8
% of neonatal death reported individually,Rangamati District,375.7
% of neonatal death reported individually,Rangpur District,485.8
% of neonatal death reported individually,Satkhira District,2039.6
% of neonatal death reported individually,Shariatpur District,238.8
% of neonatal death reported individually,Sherpur District,5316.7
% of neonatal death reported individually,Sirajganj District,216.6
% of neonatal death reported individually,Sunamganj District,775.0
% of neonatal death reported individually,Sylhet District,312.5
% of neonatal death reported individually,Tangail District,2514.7
% of neonatal death reported individually,Thakurgaon District,614.1
IMCI Stunting (%),Bagerhat District,1.8
IMCI Stunting (%),Bandarban District,1.1
IMCI Stunting (%),Barguna District,1.5
IMCI Stunting (%),Barishal District,6.9
IMCI Stunting (%),Bhola District,13.3
IMCI Stunting (%),Bogura District,0.31
IMCI Stunting (%),Brahmanbaria District,1.7
IMCI Stunting (%),Chandpur District,0.42
IMCI Stunting (%),Chapai Nababganj District,1.7
IMCI Stunting (%),Chattogram District,0.73
IMCI Stunting (%),Chuadanga District,2.7
IMCI Stunting (%),Coxs Bazar District,3.8
IMCI Stunting (%),Cumilla District,1.3
IMCI Stunting (%),Dhaka District,0.22
IMCI Stunting (%),Dinajpur District,0.34
IMCI Stunting (%),Faridpur District,6.2
IMCI Stunting (%),Feni District,0.06
IMCI Stunting (%),Gaibandha District,0.32
IMCI Stunting (%),Gazipur District,0.35
IMCI Stunting (%),Gopalganj District,0.11
IMCI Stunting (%),Habiganj District,0.52
IMCI Stunting (%),Jamalpur District,1.7
IMCI Stunting (%),Jashore District,3.1
IMCI Stunting (%),Jhalokati District,1.2
IMCI Stunting (%),Jhenaidaha District,1.1
IMCI Stunting (%),Joypurhat District,1.7
IMCI Stunting (%),Khagrachhari District,0.05
IMCI Stunting (%),Khulna District,0.61
IMCI Stunting (%),Kishoreganj District,2.6
IMCI Stunting (%),Kurigram District,2.9
IMCI Stunting (%),Kustia District,0.1
IMCI Stunting (%),Laksmipur District,0.93
IMCI Stunting (%),Lalmonirhat District,1.3
IMCI Stunting (%),Madaripur District,0.39
IMCI Stunting (%),Magura District,0.43
IMCI Stunting (%),Manikganj District,0.59
IMCI Stunting (%),Maulavi Bazar District,0.91
IMCI Stunting (%),Meherpur District,1.6
IMCI Stunting (%),Munshiganj District,0.4
IMCI Stunting (%),Mymensingh District,0.16
IMCI Stunting (%),Naogaon District,0.34
IMCI Stunting (%),Narail District,0.23
IMCI Stunting (%),Narayanganj District,0.18
IMCI Stunting (%),Narshingdi District,0.05
IMCI Stunting (%),Natore District,0.01
IMCI Stunting (%),Netrokona District,3.2
IMCI Stunting (%),Nilphamari District,5.7
IMCI Stunting (%),Noakhali District,1.8
IMCI Stunting (%),Pabna District,5.7
IMCI Stunting (%),Panchagarh District,5.1
IMCI Stunting (%),Patuakhali District,0.25
IMCI Stunting (%),Pirojpur District,2.8
IMCI Stunting (%),Rajbari District,0.25
IMCI Stunting (%),Rajshahi District,0.21
IMCI Stunting (%),Rangamati District,0.11
IMCI Stunting (%),Rangpur District,2.1
IMCI Stunting (%),Satkhira District,0.16
IMCI Stunting (%),Shariatpur District,2.7
IMCI Stunting (%),Sherpur District,2.4
IMCI Stunting (%),Sirajganj District,2.4
IMCI Stunting (%),Sunamganj District,1.8
IMCI Stunting (%),Sylhet District,0.26
IMCI Stunting (%),Tangail District,2.1
IMCI Stunting (%),Thakurgaon District,0.02
IMCI Total Child,Bagerhat District,115714.0
IMCI Total Child,Bandarban District,32902.0
IMCI Total Child,Barguna District,67445.0
IMCI Total Child,Barishal District,118369.0
IMCI Total Child,Bhola District,104187.0
IMCI Total Child,Bogura District,193169.0
IMCI Total Child,Brahmanbaria District,79468.0
IMCI Total Child,Chandpur District,58895.0
IMCI Total Child,Chapai Nababganj District,64338.0
IMCI Total Child,Chattogram District,220957.0
IMCI Total Child,Chuadanga District,41842.0
IMCI Total Child,Coxs Bazar District,123058.0
IMCI Total Child,Cumilla District,257640.0
IMCI Total Child,Dhaka District,163260.0
IMCI Total Child,Dinajpur District,132012.0
IMCI Total Child,Faridpur District,114102.0
IMCI Total Child,Feni District,66518.0
IMCI Total Child,Gaibandha District,78875.0
IMCI Total Child,Gazipur District,203364.0
IMCI Total Child,Gopalganj District,129256.0
IMCI Total Child,Habiganj District,109415.0
IMCI Total Child,Jamalpur District,93200.0
IMCI Total Child,Jashore District,135283.0
IMCI Total Child,Jhalokati District,59236.0
IMCI Total Child,Jhenaidaha District,86667.0
IMCI Total Child,Joypurhat District,57825.0
IMCI Total Child,Khagrachhari District,68468.0
IMCI Total Child,Khulna District,107628.0
IMCI Total Child,Kishoreganj District,193564.0
IMCI Total Child,Kurigram District,58055.0
IMCI Total Child,Kustia District,108100.0
IMCI Total Child,Laksmipur District,94359.0
IMCI Total Child,Lalmonirhat District,50956.0
IMCI Total Child,Madaripur District,42819.0
IMCI Total Child,Magura District,61969.0
IMCI Total Child,Manikganj District,74784.0
IMCI Total Child,Maulavi Bazar District,102718.0
IMCI Total Child,Meherpur District,38621.0
IMCI Total Child,Munshiganj District,139099.0
IMCI Total Child,Mymensingh District,256609.0
IMCI Total Child,Naogaon District,153377.0
IMCI Total Child,Narail District,55605.0
IMCI Total Child,Narayanganj District,112863.0
IMCI Total Child,Narshingdi District,169253.0
IMCI Total Child,Natore District,142746.0
IMCI Total Child,Netrokona District,118268.0
IMCI Total Child,Nilphamari District,75768.0
IMCI Total Child,Noakhali District,113370.0
IMCI Total Child,Pabna District,137984.0
IMCI Total Child,Panchagarh District,33410.0
IMCI Total Child,Patuakhali District,94097.0
IMCI Total Child,Pirojpur District,66816.0
IMCI Total Child,Rajbari District,54243.0
IMCI Total Child,Rajshahi District,99578.0
IMCI Total Child,Rangamati District,34055.0
IMCI Total Child,Rangpur District,115372.0
IMCI Total Child,Satkhira District,107107.0
IMCI Total Child,Shariatpur District,38219.0
IMCI Total Child,Sherpur District,86583.0
IMCI Total Child,Sirajganj District,107367.0
IMCI Total Child,Sunamganj District,94987.0
IMCI Total Child,Sylhet District,181019.0
IMCI Total Child,Tangail District,303553.0
IMCI Total Child,Thakurgaon District,34517.0
IMCI Underweight (%),Bagerhat District,3.2
IMCI Underweight (%),Bandarban District,1.4
IMCI Underweight (%),Barguna District,3.5
IMCI Underweight (%),Barishal District,4.4
IMCI Underweight (%),Bhola District,10.8
IMCI Underweight (%),Bogura District,0.83
IMCI Underweight (%),Brahmanbaria District,5.1
IMCI Underweight (%),Chandpur District,1.3
IMCI Underweight (%),Chapai Nababganj District,1.3
IMCI Underweight (%),Chattogram District,2.0
IMCI Underweight (%),Chuadanga District,3.1
IMCI Underweight (%),Coxs Bazar District,4.5
IMCI Underweight (%),Cumilla District,2.3
IMCI Underweight (%),Dhaka District,1.2
IMCI Underweight (%),Dinajpur District,1.3
IMCI Underweight (%),Faridpur District,6.7
IMCI Underweight (%),Feni District,0.6
IMCI Underweight (%),Gaibandha District,0.58
IMCI Underweight (%),Gazipur District,1.8
IMCI Underweight (%),Gopalganj District,2.4
IMCI Underweight (%),Habiganj District,1.6
IMCI Underweight (%),Jamalpur District,3.6
IMCI Underweight (%),Jashore District,4.6
IMCI Underweight (%),Jhalokati District,3.0
IMCI Underweight (%),Jhenaidaha District,2.7
IMCI Underweight (%),Joypurhat District,0.65
IMCI Underweight (%),Khagrachhari District,0.27
IMCI Underweight (%),Khulna District,4.9
IMCI Underweight (%),Kishoreganj District,3.5
IMCI Underweight (%),Kurigram District,11.2
IMCI Underweight (%),Kustia District,0.55
IMCI Underweight (%),Laksmipur District,1.4
IMCI Underweight (%),Lalmonirhat District,4.0
IMCI Underweight (%),Madaripur District,16.7
IMCI Underweight (%),Magura District,2.9
IMCI Underweight (%),Manikganj District,2.1
IMCI Underweight (%),Maulavi Bazar District,2.2
IMCI Underweight (%),Meherpur District,2.9
IMCI Underweight (%),Munshiganj District,1.0
IMCI Underweight (%),Mymensingh District,1.1
IMCI Underweight (%),Naogaon District,0.63
IMCI Underweight (%),Narail District,0.61
IMCI Underweight (%),Narayanganj District,0.33
IMCI Underweight (%),Narshingdi District,0.29
IMCI Underweight (%),Natore District,0.56
IMCI Underweight (%),Netrokona District,4.0
IMCI Underweight (%),Nilphamari District,4.8
IMCI Underweight (%),Noakhali District,4.1
IMCI Underweight (%),Pabna District,6.9
IMCI Underweight (%),Panchagarh District,7.1
IMCI Underweight (%),Patuakhali District,2.1
IMCI Underweight (%),Pirojpur District,4.9
IMCI Underweight (%),Rajbari District,0.93
IMCI Underweight (%),Rajshahi District,0.39
IMCI Underweight (%),Rangamati District,0.65
