Data,Organisation unit,Value
a2UI5138tBe,10001737,124.2
a2UI5138tBe,10001095,98.7
a2UI5138tBe,10001339,97.5
a2UI5138tBe,10001948,99.8
a2UI5138tBe,10000663,99.0
a2UI5138tBe,10001289,97.4
a2UI5138tBe,10001719,97.6
a2UI5138tBe,10000085,49.2
a2UI5138tBe,10000652,73.9
a2UI5138tBe,10001933,98.3
a2UI5138tBe,10000729,99.1
a2UI5138tBe,10000415,105.8
a2UI5138tBe,10000665,98.7
a2UI5138tBe,10001914,105.2
a2UI5138tBe,10001472,104.6
a2UI5138tBe,10000466,123.0
a2UI5138tBe,10001363,99.2
a2UI5138tBe,10001500,71.0
a2UI5138tBe,10000223,93.5
a2UI5138tBe,10002074,104.8
a2UI5138tBe,10001955,27.1
a2UI5138tBe,10001370,99.7
a2UI5138tBe,10001575,99.0
a2UI5138tBe,10001417,98.8
a2UI5138tBe,10001527,104.7
a2UI5138tBe,10001067,98.1
a2UI5138tBe,10001741,72.7
a2UI5138tBe,10001523,97.9
a2UI5138tBe,10002075,99.6
a2UI5138tBe,10000227,94.8
a2UI5138tBe,10001963,134.2
a2UI5138tBe,10000188,101.0
a2UI5138tBe,10002164,64.8
a2UI5138tBe,10001671,115.7
a2UI5138tBe,10000505,93.5
a2UI5138tBe,10001937,95.2
a2UI5138tBe,10001966,100.3
a2UI5138tBe,10000667,102.6
a2UI5138tBe,10000420,107.3
a2UI5138tBe,10002077,128.5
a2UI5138tBe,10000734,14.5
a2UI5138tBe,10001421,97.9
a2UI5138tBe,10000468,108.0
a2UI5138tBe,10001070,98.6
a2UI5138tBe,10002096,106.3
a2UI5138tBe,10000842,100.2
a2UI5138tBe,10000581,68.9
a2UI5138tBe,10001792,100.5
a2UI5138tBe,10002033,25.9
a2UI5138tBe,10002172,34.2
a2UI5138tBe,10001028,97.5
a2UI5138tBe,10000436,99.3
a2UI5138tBe,10001072,98.2
a2UI5138tBe,10001624,23.5
a2UI5138tBe,10001476,106.9
a2UI5138tBe,10001945,97.6
a2UI5138tBe,10000230,68.9
a2UI5138tBe,10000352,111.9
a2UI5138tBe,10002055,116.9
a2UI5138tBe,10000089,16.6
a2UI5138tBe,10001473,98.6
a2UI5138tBe,10000541,99.3
a2UI5138tBe,10001830,98.9
a2UI5138tBe,10001163,103.5
a2UI5138tBe,10000586,52.4
a2UI5138tBe,10001308,98.8
a2UI5138tBe,10013108,98.2
a2UI5138tBe,10001189,103.6
a2UI5138tBe,10001193,98.3
a2UI5138tBe,10001200,119.5
a2UI5138tBe,10002127,100.6
a2UI5138tBe,10002177,99.3
a2UI5138tBe,10000740,97.9
a2UI5138tBe,10000095,95.7
a2UI5138tBe,10001201,113.2
a2UI5138tBe,10001502,74.4
a2UI5138tBe,10002004,100.5
a2UI5138tBe,10000846,98.7
a2UI5138tBe,10000847,101.3
a2UI5138tBe,10000852,98.1
a2UI5138tBe,10000918,93.6
a2UI5138tBe,10000748,50.8
a2UI5138tBe,10000857,141.5
a2UI5138tBe,10000098,109.1
a2UI5138tBe,10002006,94.3
a2UI5138tBe,10001528,1116.4
a2UI5138tBe,10001031,97.7
a2UI5138tBe,10001479,55.4
a2UI5138tBe,10000942,66.6
a2UI5138tBe,10002130,17.6
a2UI5138tBe,10001313,126.4
a2UI5138tBe,10001203,107.6
a2UI5138tBe,10001696,101.3
a2UI5138tBe,10001744,213.5
a2UI5138tBe,10001629,100.7
a2UI5138tBe,10002078,111.6
a2UI5138tBe,10000862,99.7
a2UI5138tBe,10002209,111.4
a2UI5138tBe,10001033,73.7
a2UI5138tBe,10001794,104.9
a2UI5138tBe,10000946,103.2
a2UI5138tBe,10002243,98.7
a2UI5138tBe,10002134,99.2
a2UI5138tBe,10000544,126.0
a2UI5138tBe,10001731,99.4
a2UI5138tBe,10002034,98.9
a2UI5138tBe,10000875,35.3
