Data,Organisation unit,Value
a2UI5138tBe,404104,124.2
a2UI5138tBe,501006,98.7
a2UI5138tBe,555202,97.5
a2UI5138tBe,100602,99.8
a2UI5138tBe,603602,104.8
a2UI5138tBe,201202,99.0
a2UI5138tBe,503813,97.4
a2UI5138tBe,401807,97.6
a2UI5138tBe,302903,49.2
a2UI5138tBe,200304,73.9
a2UI5138tBe,100409,98.3
a2UI5138tBe,201504,99.1
a2UI5138tBe,306702,105.8
a2UI5138tBe,201233,98.7
a2UI5138tBe,408704,105.2
a2UI5138tBe,507605,104.6
a2UI5138tBe,307204,123.0
a2UI5138tBe,506403,99.2
a2UI5138tBe,557704,71.0
a2UI5138tBe,304802,93.5
a2UI5138tBe,100603,27.1
a2UI5138tBe,506406,99.7
a2UI5138tBe,558503,99.0
a2UI5138tBe,506909,98.8
a2UI5138tBe,400108,93.3
a2UI5138tBe,508110,104.7
a2UI5138tBe,208407,98.1
a2UI5138tBe,404109,72.7
a2UI5138tBe,508112,97.9
a2UI5138tBe,603605,99.6
a2UI5138tBe,304806,94.8
a2UI5138tBe,100607,134.2
a2UI5138tBe,303907,101.0
a2UI5138tBe,609108,64.8
a2UI5138tBe,559408,115.7
a2UI5138tBe,308207,93.5
a2UI5138tBe,100419,95.2
a2UI5138tBe,100610,100.3
a2UI5138tBe,201204,102.6
a2UI5138tBe,306706,107.3
a2UI5138tBe,200314,95.4
a2UI5138tBe,603611,128.5
a2UI5138tBe,201508,14.5
a2UI5138tBe,506915,97.9
a2UI5138tBe,100428,78.1
a2UI5138tBe,307209,108.0
a2UI5138tBe,100651,99.8
a2UI5138tBe,208421,98.6
a2UI5138tBe,605814,106.3
a2UI5138tBe,201909,100.2
a2UI5138tBe,309309,68.9
a2UI5138tBe,404712,100.5
a2UI5138tBe,107838,25.9
a2UI5138tBe,609117,34.2
a2UI5138tBe,207507,97.4
a2UI5138tBe,306807,99.3
a2UI5138tBe,208429,98.2
a2UI5138tBe,508811,23.5
a2UI5138tBe,507616,106.9
a2UI5138tBe,100447,97.6
a2UI5138tBe,306113,111.9
a2UI5138tBe,107914,116.9
a2UI5138tBe,302910,16.6
a2UI5138tBe,507619,98.6
a2UI5138tBe,304811,68.9
a2UI5138tBe,308614,99.3
a2UI5138tBe,405015,98.9
a2UI5138tBe,100918,124.1
a2UI5138tBe,507018,103.5
a2UI5138tBe,309319,52.4
a2UI5138tBe,554906,98.8
a2UI5138tBe,552717,119.5
