Data,Organisation unit,Value
BCG Crude Coverage %,Bagerhat District,66.8
BCG Crude Coverage %,Bandarban District,96.8
BCG Crude Coverage %,Barguna District,99.6
BCG Crude Coverage %,Barishal District,102.7
BCG Crude Coverage %,Bhola District,95.8
BCG Crude Coverage %,Bogura District,73.1
BCG Crude Coverage %,Brahmanbaria District,75.9
BCG Crude Coverage %,Chandpur District,71.2
BCG Crude Coverage %,Chapai Nababganj District,84.2
BCG Crude Coverage %,Chattogram District,62.3
BCG Crude Coverage %,Chuadanga District,98.0
BCG Crude Coverage %,Coxs Bazar District,102.9
BCG Crude Coverage %,Cumilla District,104.7
BCG Crude Coverage %,Dhaka District,109.8
BCG Crude Coverage %,Dinajpur District,96.6
BCG Crude Coverage %,Faridpur District,66.8
BCG Crude Coverage %,Feni District,83.0
BCG Crude Coverage %,Gaibandha District,97.7
BCG Crude Coverage %,Gazipur District,103.9
BCG Crude Coverage %,Gopalganj District,201.3
BCG Crude Coverage %,Habiganj District,97.3
BCG Crude Coverage %,Jamalpur District,102.0
BCG Crude Coverage %,Jashore District,51.5
BCG Crude Coverage %,Jhalokati District,124.3
BCG Crude Coverage %,Jhenaidaha District,103.0
BCG Crude Coverage %,Joypurhat District,46.4
BCG Crude Coverage %,Khagrachhari District,101.9
BCG Crude Coverage %,Khulna District,78.8
BCG Crude Coverage %,Kishoreganj District,103.7
BCG Crude Coverage %,Kurigram District,98.9
BCG Crude Coverage %,Kustia District,37.3
BCG Crude Coverage %,Laksmipur District,105.9
BCG Crude Coverage %,Lalmonirhat District,92.1
BCG Crude Coverage %,Madaripur District,84.1
BCG Crude Coverage %,Magura District,93.3
BCG Crude Coverage %,Manikganj District,116.5
BCG Crude Coverage %,Maulavi Bazar District,91.1
BCG Crude Coverage %,Meherpur District,100.3
BCG Crude Coverage %,Munshiganj District,86.9
BCG Crude Coverage %,Mymensingh District,101.7
BCG Crude Coverage %,Naogaon District,104.0
BCG Crude Coverage %,Narail District,60.6
BCG Crude Coverage %,Narayanganj District,67.7
BCG Crude Coverage %,Narshingdi District,102.0
BCG Crude Coverage %,Natore District,98.0
BCG Crude Coverage %,Netrokona District,107.8
BCG Crude Coverage %,Nilphamari District,99.5
BCG Crude Coverage %,Noakhali District,105.1
BCG Crude Coverage %,Pabna District,104.1
BCG Crude Coverage %,Panchagarh District,102.1
BCG Crude Coverage %,Patuakhali District,64.9
BCG Crude Coverage %,Pirojpur District,101.6
BCG Crude Coverage %,Rajbari District,52.7
BCG Crude Coverage %,Rajshahi District,85.3
BCG Crude Coverage %,Rangamati District,98.1
BCG Crude Coverage %,Rangpur District,100.7
BCG Crude Coverage %,Satkhira District,102.3
BCG Crude Coverage %,Shariatpur District,107.4
BCG Crude Coverage %,Sherpur District,91.6
BCG Crude Coverage %,Sirajganj District,107.1
BCG Crude Coverage %,Sunamganj District,72.2
BCG Crude Coverage %,Sylhet District,101.1
BCG Crude Coverage %,Tangail District,96.8
BCG Crude Coverage %,Thakurgaon District,97.2
BCG left out Rate,Bagerhat District,33.2
BCG left out Rate,Bandarban District,3.2
BCG left out Rate,Barguna District,0.39
BCG left out Rate,Barishal District,-2.7
BCG left out Rate,Bhola District,4.2
BCG left out Rate,Bogura District,26.9
BCG left out Rate,Brahmanbaria District,24.1
BCG left out Rate,Chandpur District,28.8
BCG left out Rate,Chapai Nababganj District,15.8
BCG left out Rate,Chattogram District,37.7
BCG left out Rate,Chuadanga District,2.0
BCG left out Rate,Coxs Bazar District,-2.9
BCG left out Rate,Cumilla District,-4.7
BCG left out Rate,Dhaka District,-9.8
BCG left out Rate,Dinajpur District,3.4
BCG left out Rate,Faridpur District,33.2
BCG left out Rate,Feni District,17.0
BCG left out Rate,Gaibandha District,2.3
BCG left out Rate,Gazipur District,-3.9
BCG left out Rate,Gopalganj District,-101.3
BCG left out Rate,Habiganj District,2.7
BCG left out Rate,Jamalpur District,-2.0
BCG left out Rate,Jashore District,48.5
BCG left out Rate,Jhalokati District,-24.3
BCG left out Rate,Jhenaidaha District,-3.0
BCG left out Rate,Joypurhat District,53.6
BCG left out Rate,Khagrachhari District,-1.9
BCG left out Rate,Khulna District,21.2
BCG left out Rate,Kishoreganj District,-3.7
BCG left out Rate,Kurigram District,1.1
BCG left out Rate,Kustia District,62.7
BCG left out Rate,Laksmipur District,-5.9
BCG left out Rate,Lalmonirhat District,7.9
BCG left out Rate,Madaripur District,15.9
BCG left out Rate,Magura District,6.7
BCG left out Rate,Manikganj District,-16.5
BCG left out Rate,Maulavi Bazar District,8.9
BCG left out Rate,Meherpur District,-0.27
BCG left out Rate,Munshiganj District,13.1
BCG left out Rate,Mymensingh District,-1.7
BCG left out Rate,Naogaon District,-4.0
BCG left out Rate,Narail District,39.4
BCG left out Rate,Narayanganj District,32.3
BCG left out Rate,Narshingdi District,-2.0
BCG left out Rate,Natore District,2.0
BCG left out Rate,Netrokona District,-7.8
BCG left out Rate,Nilphamari District,0.49
BCG left out Rate,Noakhali District,-5.1
BCG left out Rate,Pabna District,-4.1
BCG left out Rate,Panchagarh District,-2.1
BCG left out Rate,Patuakhali District,35.1
BCG left out Rate,Pirojpur District,-1.6
BCG left out Rate,Rajbari District,47.3
BCG left out Rate,Rajshahi District,14.7
BCG left out Rate,Rangamati District,1.9
BCG left out Rate,Rangpur District,-0.73
BCG left out Rate,Satkhira District,-2.3
BCG left out Rate,Shariatpur District,-7.4
BCG left out Rate,Sherpur District,8.4
BCG left out Rate,Sirajganj District,-7.1
BCG left out Rate,Sunamganj District,27.8
BCG left out Rate,Sylhet District,-1.1
BCG left out Rate,Tangail District,3.2
BCG left out Rate,Thakurgaon District,2.8
BCG to MR 1 Drop out Rate,Bagerhat District,42.5
