Data,Organisation unit,Value
BCG Crude Coverage %,Abhoynagar Upazila Health Complex,71.9
BCG Crude Coverage %,Adamdighi Upazila Health Complex,94.0
BCG Crude Coverage %,Aditmari Upazila Health Complex,95.0
BCG Crude Coverage %,"Agailjhara Upazila Health Complex, Barisal",99.4
BCG Crude Coverage %,Akhaura Upazila Health Complex,102.7
BCG Crude Coverage %,Akkelpur Upazila Health Complex,98.0
BCG Crude Coverage %,Alamdanga Upazila Health Complex,97.9
BCG Crude Coverage %,Alfadanga Upazila Health Complex,103.0
BCG Crude Coverage %,Alikadam Upazila Health Complex,90.6
BCG Crude Coverage %,Amtali Upazila Health Complex,102.2
BCG Crude Coverage %,Anwara Upazila Health Complex,98.2
BCG Crude Coverage %,Araihazar Upazila Health Complex,110.4
BCG Crude Coverage %,Ashugonj Upazila Health Complex,99.4
BCG Crude Coverage %,"Assasuni Upazila Health Complex, Satkhira",134.7
BCG Crude Coverage %,Atghoria Upazila Health Complex,98.8
BCG Crude Coverage %,Atpara Upazila Health Complex,98.7
BCG Crude Coverage %,Atrai Upazila Health Complex,107.5
BCG Crude Coverage %,Atwari Upazila Health Complex,100.0
BCG Crude Coverage %,Austagram Upazila Health Complex,146.5
BCG Crude Coverage %,"Azmiriganj Upazila Health Complex,Habiganj",98.2
BCG Crude Coverage %,"Babuganj Upazila Health Complex, Barisal",99.8
BCG Crude Coverage %,Badalgachi Upazila Health Complex,99.8
BCG Crude Coverage %,Badarganj Upazila Health Complex,100.5
BCG Crude Coverage %,Bagatipara Upazila Health Complex,96.8
BCG Crude Coverage %,Bagha Upazila Health Complex,97.5
BCG Crude Coverage %,Baghaichari Upazila Health Complex,99.3
BCG Crude Coverage %,Bagherpara Upazila Health Complex,71.9
BCG Crude Coverage %,Bagmara Upazila Health Complex,99.3
BCG Crude Coverage %,"Bahubal Upazila Health Complex,Habiganj",97.0
BCG Crude Coverage %,Bajitpur Upazila Health Complex,107.8
BCG Crude Coverage %,"Bakerganj Upazila Health Complex, Barisal",100.2
BCG Crude Coverage %,Bakshiganj Upazila Health Complex,101.0
BCG Crude Coverage %,"Balaganj Upazila Health Complex,Sylhet",100.5
BCG Crude Coverage %,Baliadangi Upazila Health Complex,87.3
BCG Crude Coverage %,Baliakandi Upazila Health Complex,102.0
BCG Crude Coverage %,Bamna Upazila Health Complex,91.5
BCG Crude Coverage %,Banaripara Upazila Health Complex,109.1
BCG Crude Coverage %,Bancharampur Upazila Health Complex,94.2
BCG Crude Coverage %,Bandar Upazila Health Complex,109.1
BCG Crude Coverage %,"Baniachong Upazila Health Complex, Habiganj",98.5
BCG Crude Coverage %,Banshkhali Upazila Health Complex,14.9
BCG Crude Coverage %,Baraigram Upazila Health Complex,94.2
BCG Crude Coverage %,Barhatta Upazila Health Complex,98.7
BCG Crude Coverage %,Barkol Upazila Health Complex,98.3
BCG Crude Coverage %,"Barlekha Upazila Health Complex,Moulvibazar",106.7
BCG Crude Coverage %,Barura Upazila Health Complex,105.1
BCG Crude Coverage %,Basail Upazila Health Complex,97.0
BCG Crude Coverage %,Batiaghata Upazila Health Complex,90.1
BCG Crude Coverage %,Bauphal Upazila Health Complex,35.7
BCG Crude Coverage %,"Beani Bazar Upazila Health Complex,Sylhet",114.0
BCG Crude Coverage %,Begumganj Upazila Health Complex,102.0
BCG Crude Coverage %,Belabo Upazila Health Complex,103.5
BCG Crude Coverage %,Belaichari Upazila Health Complex,101.0
BCG Crude Coverage %,Belkuchi Upazila Health Complex,96.2
BCG Crude Coverage %,Bera Upazila Health Complex,97.6
BCG Crude Coverage %,Betagi Upazila Health Complex,86.6
BCG Crude Coverage %,Bhairab Upazila Health Complex,68.6
BCG Crude Coverage %,Bhaluka Upazila Health Complex,106.9
BCG Crude Coverage %,Bhandaria Upazila Health Complex,102.6
BCG Crude Coverage %,Bhanga Upazila Health Complex,21.0
BCG Crude Coverage %,Bhangura Upazila Health Complex,105.3
BCG Crude Coverage %,Bhedarganj Upazila Health Complex,101.0
BCG Crude Coverage %,Bheramara Upazila Health Complex,103.8
BCG Crude Coverage %,Bholahat Upazila Health Complex,102.1
BCG Crude Coverage %,Bhuapur Upazila Health Complex,43.1
BCG Crude Coverage %,Bhurungamari Upazila Health Complex,99.9
BCG Crude Coverage %,Bijoynagar Upazila Health Complex,98.2
BCG Crude Coverage %,Birampur Upazila Health Complex,89.0
BCG Crude Coverage %,Birganj Upazila Health Complex,98.3
BCG Crude Coverage %,Birol Upazila Health Complex,97.3
BCG Crude Coverage %,"Biswambarpur Upazila Health Complex,Sunamganj",115.3
BCG Crude Coverage %,"Biswanath Upazila Health Complex,Sylhet",98.9
BCG Crude Coverage %,Boalkhali Upazila Health Complex,93.7
BCG Crude Coverage %,Boalmari Upazila Health Complex,100.6
BCG Crude Coverage %,Bochaganj Upazila Health Complex,99.0
BCG Crude Coverage %,Boda Upazila Health Complex,93.4
BCG Crude Coverage %,Borhanuddin Upazila Health Complex,70.8
BCG Crude Coverage %,Brahmmanpara Upazila Health Complex,107.0
BCG Crude Coverage %,Burichong Upazila Health Complex,105.5
BCG Crude Coverage %,Chaddagram Upazila Health Complex,102.5
BCG Crude Coverage %,"Chakaria Upazila Health Complex, Cox's Bazar",99.3
BCG Crude Coverage %,Chandanaish Upazila Health Complex,111.5
BCG Crude Coverage %,Chandina Upazila Health Complex,112.5
BCG Crude Coverage %,Charbhadrason Upazila Health Complex,104.3
BCG Crude Coverage %,Charfession Upazila Health Complex,98.6
BCG Crude Coverage %,Charghat Upazila Health Complex,99.6
BCG Crude Coverage %,Chatkhil Upazila Health Complex,102.4
BCG Crude Coverage %,Chatmohar Upazila Health Complex,98.3
BCG Crude Coverage %,Chhagalnaya Upazila Health Complex,97.0
BCG Crude Coverage %,"Chhatak Upazila Health Complex,Sunamganj",34.7
BCG Crude Coverage %,Chilmari Upazila Health Complex,102.9
BCG Crude Coverage %,Chirirbandar Upazila Health Complex,93.7
BCG Crude Coverage %,Chitalmari Upazila Health Complex,107.2
BCG Crude Coverage %,Chowgacha Upazila Health Complex,213.3
BCG Crude Coverage %,Chowhali Upazila Health Complex,103.0
BCG Crude Coverage %,"Chunarughat Upazila Health Complex,Habiganj",92.8
BCG Crude Coverage %,Comilla Sadar Daxin Upazila Health Complex,103.2
BCG Crude Coverage %,"Companiganj SH Upazila Health Complex,Sylhet",114.1
BCG Crude Coverage %,Companiganj Upazila Health Complex,114.6
BCG Crude Coverage %,Dacope Upazila Health Complex,103.0
BCG Crude Coverage %,Daganbhuiya Upazila Health Complex,53.6
BCG Crude Coverage %,"Dakhin Surma Upazila Health Complex,Sylhet",103.6
BCG Crude Coverage %,"Dakshin Sunamganj Upazila Health Complex,Sunamganj",52.0
BCG Crude Coverage %,Damudya Upazila Health Complex,99.5
BCG Crude Coverage %,Damurhuda Upazila Health Complex,101.0
BCG Crude Coverage %,Dashmina Upazila Health Complex,103.6
BCG Crude Coverage %,Daudkandi Upazila Health Complex,105.3
BCG Crude Coverage %,Daulatkhan Upazila Health Complex,106.0
BCG Crude Coverage %,"Daulatpur KT Upazila Health Complex, Kushtia",16.0
BCG Crude Coverage %,Daulatpur Upazila Health Complex,139.9
BCG Crude Coverage %,Debhata Upazila Health Complex,96.1
BCG Crude Coverage %,Debidwar Upazila Health Complex,108.9
BCG Crude Coverage %,Debiganj Upazila Health Complex,102.6
BCG Crude Coverage %,Delduar Upazila Health Complex,104.1
BCG Crude Coverage %,"Derai Upazila Health Complex, Sunamganj",101.4
BCG Crude Coverage %,Dewanganj Upazila Health Complex,100.2
BCG Crude Coverage %,Dhamairhat Upazila Health Complex,99.1
BCG Crude Coverage %,Dhamrai Upazila Health Complex,106.1
BCG Crude Coverage %,Dhanbari Upazila Health Complex,159.0
BCG Crude Coverage %,"Dharmapasha Upazila Health Complex,Sunamganj",94.3
BCG Crude Coverage %,Dhubaura Upazila Health Complex,105.5
BCG Crude Coverage %,Dhunat Upazila Health Complex,74.3
BCG Crude Coverage %,Dhupchachia Upazila Health Complex,116.6
BCG Crude Coverage %,Dighalia Upazila Health Complex,101.4
BCG Crude Coverage %,Dighinala Upazila Health Complex,100.8
BCG Crude Coverage %,Dimla Upazila Health Complex,108.1
BCG Crude Coverage %,Dohar Upazila Health Complex,107.5
BCG Crude Coverage %,Domar Upazila Health Complex,100.8
BCG Crude Coverage %,"Dowarabazar Upazila Health Complex,Sunamganj",99.7
BCG Crude Coverage %,Dumki Upazila Health Complex,105.1
BCG Crude Coverage %,Dumuria Upazila Health Complex,138.5
BCG Crude Coverage %,Durgapur Upazila Health Complex,101.0
BCG Crude Coverage %,Durgapur Upazila Health Complex,94.8
BCG Crude Coverage %,Fakirhat Upazila Health Complex,108.4
BCG Crude Coverage %,Faridganj Upazila Health Complex,35.3
BCG Crude Coverage %,Faridpur Upazila Health Complex,117.7
BCG Crude Coverage %,Fatikchari Upazila Health Complex,99.5
BCG Crude Coverage %,"Fenchuganj Upazila Health Complex,Sylhet",99.2
BCG Crude Coverage %,Fulbari DP Upazila Health Complex,106.2
BCG Crude Coverage %,Fulbari KG Upazila Health Complex,100.7
BCG Crude Coverage %,Fulbaria Upazila Health Complex,105.2
BCG Crude Coverage %,Fulchari Upazila Health Complex,100.6
BCG Crude Coverage %,"Fulgazi Health Complex, Feni",101.1
BCG Crude Coverage %,Fulpur Upazila Health Complex,96.3
BCG Crude Coverage %,Fultala Upazila Health Complex,109.7
BCG Crude Coverage %,Gabtali Upazila Health Complex,22.8
BCG Crude Coverage %,Galachipa Upazila Health Complex,52.8
BCG Crude Coverage %,Gangachara Upazila Health Complex,102.2
BCG Crude Coverage %,"Gangni Upazila Health Complex, Meherpur",100.4
BCG Crude Coverage %,Gazaria Upazila Health Complex,36.5
BCG Crude Coverage %,Ghatail Upazila Health Complex,105.3
BCG Crude Coverage %,Ghior Upazila Health Complex,109.3
BCG Crude Coverage %,Ghoraghat Upazila Health Complex,97.3
BCG Crude Coverage %,Goalanda Upazila Health Complex,98.8
BCG Crude Coverage %,Gobindaganj Upazila Health Complex,94.4
BCG Crude Coverage %,Godagari Upazila Health Complex,97.8
BCG Crude Coverage %,Gofargaon Upazila Health Complex,98.7
BCG Crude Coverage %,"Golabganj Upazila Health Complex,UHC",93.4
BCG Crude Coverage %,Gomastapur Upazila Health Complex,104.9
BCG Crude Coverage %,Gopalpur Upazila Health Complex,97.7
BCG Crude Coverage %,Goshairhat Upazila Health Complex,103.6
BCG Crude Coverage %,Gouripur Upazila Health Complex,105.0
BCG Crude Coverage %,Gournadi Upazila Health Complex,105.3
BCG Crude Coverage %,"Gowainghat Upazila Health Complex,Sylhet",153.9
BCG Crude Coverage %,Gurudashpur Upazila Health Complex,97.6
BCG Crude Coverage %,Haimchar Upazila Health Complex,96.2
BCG Crude Coverage %,Hakimpur Upazila Health Complex,97.8
BCG Crude Coverage %,Haluaghat Upazila Health Complex,99.3
BCG Crude Coverage %,"Harinakunda Upazila Health Complex, Jhenaidah",104.1
BCG Crude Coverage %,Haripur Upazila Health Complex,99.4
BCG Crude Coverage %,Harirampur Upazila Health Complex,122.5
BCG Crude Coverage %,Hathazari Upazila Health Complex,99.9
BCG Crude Coverage %,Hatibandha Upazila Health Complex,100.1
BCG Crude Coverage %,Hatiya Upazila Health Complex,103.8
BCG Crude Coverage %,Haziganj Upazila Health Complex,167.4
BCG Crude Coverage %,Hijla Upazila Health Complex,76.2
BCG Crude Coverage %,Homna Upazila Health Complex,106.3
BCG Crude Coverage %,Hossainpur Upazila Health Complex,97.9
BCG Crude Coverage %,Islampur Upazila Health Complex,100.5
BCG Crude Coverage %,Iswardi Upazila Health Complex,104.9
BCG Crude Coverage %,Iswarganj Upazila Health Complex,93.3
BCG Crude Coverage %,Itna Upazila Health Complex,106.9
BCG Crude Coverage %,"Jagannathpur Upazila Health Complex, Sunamganj",103.5
BCG Crude Coverage %,"Jaintiapur Upazila Health Complex,Sylhet",42.2
BCG Crude Coverage %,Jaldhaka Upazila Health Complex,100.7
BCG Crude Coverage %,"Jamalganj Upazila Health Complex,Sunamganj",99.4
BCG Crude Coverage %,Jhenaigati Upazila Health Complex,95.8
BCG Crude Coverage %,Jhikargacha Upazila Health Complex,23.4
BCG Crude Coverage %,Jibannagar Upazila Health Complex,99.6
BCG Crude Coverage %,Juraichari Upazila Health Complex,100.4
BCG Crude Coverage %,"Juri Upazila Health Complex,Moulvibazar",94.1
BCG Crude Coverage %,Kabirhat Upazila Health Complex,99.8
BCG Crude Coverage %,Kachua BH Upazila Health Complex,100.0
BCG Crude Coverage %,Kachua Upazila Health Complex,51.7
BCG Crude Coverage %,Kahaloo Upazila Health Complex,94.8
BCG Crude Coverage %,Kaharol Upazila Health Complex,98.7
BCG Crude Coverage %,Kalai Upazila Health Complex,99.7
BCG Crude Coverage %,Kalapara Upazila Health Complex,102.5
BCG Crude Coverage %,"Kalaroa Upazila Health Complex, Satkhira",99.7
BCG Crude Coverage %,Kalia Upazila Health Complex,99.8
BCG Crude Coverage %,Kaliakair Upazila Health Complex,69.0
BCG Crude Coverage %,Kaliganj GZ Upazila Health Complex,102.6
BCG Crude Coverage %,Kaliganj JD Upazila Health Complex,112.7
BCG Crude Coverage %,Kaliganj LH Upazila Health Complex,99.4
BCG Crude Coverage %,"Kaliganj SK Upazila Health Complex, Satkhira",97.5
BCG Crude Coverage %,Kalihati Upazila Health Complex,101.4
BCG Crude Coverage %,Kalkini Upazila Health Complex,106.5
BCG Crude Coverage %,Kalmakanda Upazila Health Complex,100.6
BCG Crude Coverage %,Kalukhali Upazila Health Complex,103.8
BCG Crude Coverage %,"Kamalganj Upazila Health Complex,Moulvibazar",101.9
BCG Crude Coverage %,Kamarkhanda Upazila Health Complex,102.7
BCG Crude Coverage %,Kamolnagar Upazila Health Complex,105.0
BCG Crude Coverage %,"Kanaighat Upazila Health Complex,Sylhet",105.1
BCG Crude Coverage %,Kapasia Upazila Health Complex,168.0
BCG Crude Coverage %,Kaptai Upazila Health Complex,98.2
BCG Crude Coverage %,Karimganj Upazila Health Complex,106.4
BCG Crude Coverage %,Kashba Upazila Health Complex,103.8
BCG Crude Coverage %,Kashiani Upazila Health Complex,110.7
BCG Crude Coverage %,Kathalia Upazila Health Complex,120.9
BCG Crude Coverage %,Katiadi Upazila Health Complex,104.1
BCG Crude Coverage %,Kawkhali Upazila Health Complex,103.4
BCG Crude Coverage %,Kawkhali Upazila Health Complex,97.2
