Data,Organisation unit,Value
a2UI5138tBe,4001,97.5
a2UI5138tBe,2003,98.3
a2UI5138tBe,1004,99.4
a2UI5138tBe,1006,101.9
a2UI5138tBe,1009,97.4
a2UI5138tBe,5010,99.5
a2UI5138tBe,2012,91.3
a2UI5138tBe,2013,97.4
a2UI5138tBe,5070,102.3
a2UI5138tBe,2015,100.2
a2UI5138tBe,4018,100.5
a2UI5138tBe,2022,99.3
a2UI5138tBe,2019,100.0
a2UI5138tBe,3026,106.1
a2UI5138tBe,5527,102.3
a2UI5138tBe,3029,99.5
a2UI5138tBe,2030,99.0
a2UI5138tBe,5532,100.7
a2UI5138tBe,3033,104.1
a2UI5138tBe,3035,102.3
a2UI5138tBe,6036,98.7
a2UI5138tBe,3039,101.6
a2UI5138tBe,4041,100.4
a2UI5138tBe,1042,96.8
a2UI5138tBe,4044,103.2
a2UI5138tBe,5038,97.4
a2UI5138tBe,2046,100.7
a2UI5138tBe,4047,105.4
a2UI5138tBe,3048,100.9
a2UI5138tBe,5549,101.4
a2UI5138tBe,4050,99.1
a2UI5138tBe,2051,99.0
a2UI5138tBe,5552,100.5
a2UI5138tBe,3054,100.8
a2UI5138tBe,4055,102.6
a2UI5138tBe,3056,100.8
a2UI5138tBe,6058,93.5
a2UI5138tBe,4057,101.6
a2UI5138tBe,3059,93.4
a2UI5138tBe,3061,103.4
a2UI5138tBe,5064,100.3
a2UI5138tBe,4065,99.9
a2UI5138tBe,3067,103.8
a2UI5138tBe,3068,101.2
a2UI5138tBe,5069,96.5
a2UI5138tBe,3072,101.7
a2UI5138tBe,5573,101.1
a2UI5138tBe,2075,98.5
a2UI5138tBe,5076,100.4
a2UI5138tBe,5577,105.8
a2UI5138tBe,1078,101.9
a2UI5138tBe,1079,101.3
a2UI5138tBe,3082,98.0
a2UI5138tBe,5081,109.7
a2UI5138tBe,2084,97.0
a2UI5138tBe,5585,99.6
a2UI5138tBe,4087,99.8
a2UI5138tBe,3086,99.9
a2UI5138tBe,3089,100.2
a2UI5138tBe,5088,99.4
a2UI5138tBe,6090,99.8
a2UI5138tBe,6091,100.5
a2UI5138tBe,3093,99.5
a2UI5138tBe,5594,101.0
w0rSItvQO65,4001,2.5
w0rSItvQO65,2003,1.7
w0rSItvQO65,1004,0.62
w0rSItvQO65,1006,-1.9
w0rSItvQO65,1009,2.6
w0rSItvQO65,5010,0.52
w0rSItvQO65,2012,8.7
w0rSItvQO65,2013,2.6
w0rSItvQO65,5070,-2.3
w0rSItvQO65,2015,-0.2
w0rSItvQO65,4018,-0.51
w0rSItvQO65,2022,0.66
w0rSItvQO65,2019,-0.02
w0rSItvQO65,3026,-6.1
w0rSItvQO65,5527,-2.3
w0rSItvQO65,3029,0.54
w0rSItvQO65,2030,1.0
w0rSItvQO65,5532,-0.72
w0rSItvQO65,3033,-4.1
w0rSItvQO65,3035,-2.3
w0rSItvQO65,6036,1.3
w0rSItvQO65,3039,-1.6
w0rSItvQO65,4041,-0.37
w0rSItvQO65,1042,3.2
w0rSItvQO65,4044,-3.2
w0rSItvQO65,5038,2.6
w0rSItvQO65,2046,-0.7
w0rSItvQO65,4047,-5.4
w0rSItvQO65,3048,-0.88
w0rSItvQO65,5549,-1.4
w0rSItvQO65,4050,0.85
w0rSItvQO65,2051,1.0
w0rSItvQO65,5552,-0.46
w0rSItvQO65,3054,-0.83
w0rSItvQO65,4055,-2.6
w0rSItvQO65,3056,-0.81
w0rSItvQO65,6058,6.5
w0rSItvQO65,4057,-1.6
w0rSItvQO65,3059,6.6
w0rSItvQO65,3061,-3.4
w0rSItvQO65,5064,-0.27
w0rSItvQO65,4065,0.14
w0rSItvQO65,3067,-3.8
w0rSItvQO65,3068,-1.2
w0rSItvQO65,5069,3.5
w0rSItvQO65,3072,-1.7
w0rSItvQO65,5573,-1.1
w0rSItvQO65,2075,1.5
w0rSItvQO65,5076,-0.37
w0rSItvQO65,5577,-5.8
w0rSItvQO65,1078,-1.9
w0rSItvQO65,1079,-1.3
w0rSItvQO65,3082,2.0
w0rSItvQO65,5081,-9.7
w0rSItvQO65,2084,3.0
w0rSItvQO65,5585,0.43
w0rSItvQO65,4087,0.19
w0rSItvQO65,3086,0.14
w0rSItvQO65,3089,-0.25
w0rSItvQO65,5088,0.6
w0rSItvQO65,6090,0.21
w0rSItvQO65,6091,-0.51
w0rSItvQO65,3093,0.53
w0rSItvQO65,5594,-0.98
vHWCFOMxUbX,4001,2.8
vHWCFOMxUbX,2003,6.6
vHWCFOMxUbX,1004,5.1
vHWCFOMxUbX,1006,2.7
vHWCFOMxUbX,1009,2.9
vHWCFOMxUbX,5010,2.7
vHWCFOMxUbX,2012,-0.44
vHWCFOMxUbX,2013,3.6
vHWCFOMxUbX,5070,3.3
vHWCFOMxUbX,2015,3.9
vHWCFOMxUbX,4018,2.2
vHWCFOMxUbX,2022,3.4
vHWCFOMxUbX,2019,1.5
vHWCFOMxUbX,3026,4.2
vHWCFOMxUbX,5527,3.6
vHWCFOMxUbX,3029,2.6
vHWCFOMxUbX,2030,2.1
vHWCFOMxUbX,5532,3.3
vHWCFOMxUbX,3033,0.66
vHWCFOMxUbX,3035,4.4
vHWCFOMxUbX,6036,0.98
vHWCFOMxUbX,3039,2.5
vHWCFOMxUbX,4041,4.0
vHWCFOMxUbX,1042,5.7
vHWCFOMxUbX,4044,3.5
vHWCFOMxUbX,5038,-2.3
vHWCFOMxUbX,2046,3.4
vHWCFOMxUbX,4047,6.9
vHWCFOMxUbX,3048,1.4
vHWCFOMxUbX,5549,3.2
vHWCFOMxUbX,4050,1.4
vHWCFOMxUbX,2051,1.2
vHWCFOMxUbX,5552,3.4
vHWCFOMxUbX,3054,0.7
vHWCFOMxUbX,4055,1.8
vHWCFOMxUbX,3056,0.77
vHWCFOMxUbX,6058,1.6
vHWCFOMxUbX,4057,0.56
vHWCFOMxUbX,3059,0.99
vHWCFOMxUbX,3061,5.5
vHWCFOMxUbX,5064,10.3
vHWCFOMxUbX,4065,0.51
vHWCFOMxUbX,3067,1.6
vHWCFOMxUbX,3068,3.4
vHWCFOMxUbX,5069,2.9
vHWCFOMxUbX,3072,8.0
vHWCFOMxUbX,5573,4.1
vHWCFOMxUbX,2075,3.2
vHWCFOMxUbX,5076,1.0
vHWCFOMxUbX,5577,3.3
vHWCFOMxUbX,1078,4.1
vHWCFOMxUbX,1079,1.4
vHWCFOMxUbX,3082,1.4
vHWCFOMxUbX,5081,11.4
vHWCFOMxUbX,2084,2.8
vHWCFOMxUbX,5585,4.2
vHWCFOMxUbX,4087,2.3
