Data,Organisation unit,Value
BCG Crude Coverage %,Abhaynagar Upazila,101.9
BCG Crude Coverage %,Adamdighi Upazila,99.9
BCG Crude Coverage %,Aditmari Upazila,100.5
BCG Crude Coverage %,Agailjhara Upazila,100.3
BCG Crude Coverage %,Ajmiriganj Upazila,97.5
BCG Crude Coverage %,Akhaura Upazila,103.7
BCG Crude Coverage %,Akkelpur Upazila,95.1
BCG Crude Coverage %,Alamdanga Upazila,99.5
BCG Crude Coverage %,Alfadanga Upazila,101.6
BCG Crude Coverage %,Alikadam Upazila,96.3
BCG Crude Coverage %,Amtali Upazila,98.1
BCG Crude Coverage %,Anowara Upazila,99.0
BCG Crude Coverage %,Araihazar Upazila,109.4
BCG Crude Coverage %,Ashuganj Upazila,98.6
BCG Crude Coverage %,Assasuni Upazila,99.8
BCG Crude Coverage %,Atgharia Upazila,99.9
BCG Crude Coverage %,Atpara Upazila,100.3
BCG Crude Coverage %,Atrai Upazila,99.7
BCG Crude Coverage %,Atwari Upazila,101.5
BCG Crude Coverage %,Austagram Upazila,100.8
BCG Crude Coverage %,Babuganj Upazila,100.4
BCG Crude Coverage %,Badalgachhi Upazila,98.2
BCG Crude Coverage %,Badarganj Upazila,100.6
BCG Crude Coverage %,Bagatipara Upazila,98.7
BCG Crude Coverage %,Bagerhat Sadar Upazila,93.5
BCG Crude Coverage %,Bagha Upazila,98.7
BCG Crude Coverage %,Baghai Chhari Upazila,101.5
BCG Crude Coverage %,Bagherpara Upazila,97.8
BCG Crude Coverage %,Baghmara Upazila,98.5
BCG Crude Coverage %,Bahubal Upazila,100.0
BCG Crude Coverage %,Bajitpur Upazila,99.2
BCG Crude Coverage %,Bakerganj Upazila,99.9
BCG Crude Coverage %,Bakshiganj Upazila,100.5
BCG Crude Coverage %,Balaganj Upazila,97.0
BCG Crude Coverage %,Baliadangi Upazila,100.6
BCG Crude Coverage %,Baliakandi Upazila,98.0
BCG Crude Coverage %,Bamna Upazila,94.3
BCG Crude Coverage %,Banaripara Upazila,100.2
BCG Crude Coverage %,Banchharampur Upazila,100.3
BCG Crude Coverage %,Bandar Upazila,107.6
BCG Crude Coverage %,Bandarban Sadar Upazila,94.6
BCG Crude Coverage %,Baniachong Upazila,97.2
BCG Crude Coverage %,Banshkhali Upazila,101.0
BCG Crude Coverage %,Baraigram Upazila,91.6
BCG Crude Coverage %,Barguna Sadar Upazila,100.8
BCG Crude Coverage %,Barhatta Upazila,99.3
BCG Crude Coverage %,Barisal Sadar Upazila,100.4
BCG Crude Coverage %,Barkal Upazila,100.6
BCG Crude Coverage %,Barlekha Upazila,94.6
BCG Crude Coverage %,Barura Upazila,100.3
BCG Crude Coverage %,Basail Upazila,97.2
BCG Crude Coverage %,Batiaghata Upazila,103.8
BCG Crude Coverage %,Bauphal Upazila,101.8
BCG Crude Coverage %,Beani Bazar Upazila,97.5
BCG Crude Coverage %,Begumganj Upazila,96.3
BCG Crude Coverage %,Belabo Upazila,100.3
BCG Crude Coverage %,Belai Chhari Upazila,93.5
BCG Crude Coverage %,Belkuchi Upazila,100.0
BCG Crude Coverage %,Bera Upazila,97.3
BCG Crude Coverage %,Betagi Upazila,100.4
BCG Crude Coverage %,Bhaluka Upazila,113.3
BCG Crude Coverage %,Bhandaria Upazila,99.9
BCG Crude Coverage %,Bhanga Upazila,95.0
BCG Crude Coverage %,Bhangura Upazila,102.8
BCG Crude Coverage %,Bhariab Upazila,100.3
BCG Crude Coverage %,Bhedarganj Upazila,101.1
BCG Crude Coverage %,Bheramara Upazila,101.4
BCG Crude Coverage %,Bhola Sadar Upazila,98.1
BCG Crude Coverage %,Bholahat Upazila,105.2
BCG Crude Coverage %,Bhuapur Upazila,100.5
BCG Crude Coverage %,Bhurungamari Upazila,98.6
BCG Crude Coverage %,Biral Upazila,98.1
BCG Crude Coverage %,Birampur Upazila,96.7
BCG Crude Coverage %,Birganj Upazila,98.1
BCG Crude Coverage %,Bishwambarpur Upazila,106.3
BCG Crude Coverage %,Biswanath Upazila,98.7
BCG Crude Coverage %,Boalkhali Upazila,106.1
BCG Crude Coverage %,Boalmari Upazila,101.2
BCG Crude Coverage %,Bochaganj Upazila,108.1
BCG Crude Coverage %,Boda Upazila,104.4
BCG Crude Coverage %,Bogra Sadar Upazila,101.8
BCG Crude Coverage %,Brahman Para Upazila,100.7
BCG Crude Coverage %,Brahmanbaria Sadar Upazila,100.6
BCG Crude Coverage %,Burhanuddin Upazila,100.9
BCG Crude Coverage %,Burichang Upazila,101.3
BCG Crude Coverage %,Chakaria Upazila,94.8
BCG Crude Coverage %,Chandanaish Upazila,99.7
BCG Crude Coverage %,Chandina Upazila,98.9
BCG Crude Coverage %,Chandpur Sadar Upazila,95.2
BCG Crude Coverage %,Chapai Nababganj (Sadar) Upazila,103.7
BCG Crude Coverage %,Char Bhadrasan Upazila,101.3
BCG Crude Coverage %,Char Fassion Upazila,92.3
BCG Crude Coverage %,Char Rajibpur Upazila,98.3
BCG Crude Coverage %,Charghat Upazila,97.7
BCG Crude Coverage %,Chatkhil Upazila,97.4
BCG Crude Coverage %,Chatmohor Upazila,98.6
BCG Crude Coverage %,Chauddagram Upazila,99.6
BCG Crude Coverage %,Chaugachha Upazila,104.4
BCG Crude Coverage %,Chauhali Upazila,101.9
BCG Crude Coverage %,Chhagalnaiya Upazila,96.9
BCG Crude Coverage %,Chhatak Upazila,100.0
BCG Crude Coverage %,Chilmari Upazila,99.6
BCG Crude Coverage %,Chirir Bandar Upazila,100.5
BCG Crude Coverage %,Chitalmari Upazila,98.6
BCG Crude Coverage %,Chuadanga Sadar Upazila,100.4
BCG Crude Coverage %,Chunarughat Upazila,100.9
BCG Crude Coverage %,Comilla Sadar South Upazila,98.2
BCG Crude Coverage %,Comilla Sadar Upazila,98.7
BCG Crude Coverage %,Companiganj NK Upazila,99.9
BCG Crude Coverage %,Companiganj SH Upazila,101.9
BCG Crude Coverage %,Coxs Bazar Sadar Upazila,103.7
