Data,Organisation unit,Value
% of Nurse training on ETAT at SCANU,Bhola District,379.3
% of Nurse training on ETAT at SCANU,Coxs Bazar District,113.2
% of Nurse training on ETAT at SCANU,Faridpur District,100.0
% of Nurse training on ETAT at SCANU,Kishoreganj District,45.1
% of Nurse training on ETAT at SCANU,Kurigram District,177.3
% of Nurse training on ETAT at SCANU,Kustia District,19.5
% of Nurse training on ETAT at SCANU,Laksmipur District,117.4
% of Nurse training on ETAT at SCANU,Lalmonirhat District,100.0
% of Nurse training on ETAT at SCANU,Madaripur District,181.0
% of Nurse training on ETAT at SCANU,Magura District,61.3
% of Nurse training on ETAT at SCANU,Maulavi Bazar District,328.6
% of Nurse training on ETAT at SCANU,Naogaon District,0.0
% of Nurse training on ETAT at SCANU,Narshingdi District,82.9
% of Nurse training on ETAT at SCANU,Netrokona District,186.8
% of Nurse training on ETAT at SCANU,Nilphamari District,103.0
% of Nurse training on ETAT at SCANU,Panchagarh District,97.0
% of Nurse training on ETAT at SCANU,Patuakhali District,100.0
% of Nurse training on ETAT at SCANU,Pirojpur District,616.4
% of Nurse training on ETAT at SCANU,Rangpur District,0.0
% of Nurse training on ETAT at SCANU,Satkhira District,588.2
% of Nurse training on ETAT at SCANU,Sirajganj District,0.0
% of Nurse training on ETAT at SCANU,Sunamganj District,37.0
% of Nurse training on ETAT at SCANU,Tangail District,37.4
% of Nurse training on ETAT at SCANU,Thakurgaon District,78.1
% of female baby admitted in SCANU reported individually,Bagerhat District,41.5
% of female baby admitted in SCANU reported individually,Bandarban District,48.3
% of female baby admitted in SCANU reported individually,Barguna District,0.0
% of female baby admitted in SCANU reported individually,Barishal District,100.0
% of female baby admitted in SCANU reported individually,Bhola District,37.0
% of female baby admitted in SCANU reported individually,Bogura District,100.0
% of female baby admitted in SCANU reported individually,Chandpur District,52.9
% of female baby admitted in SCANU reported individually,Chapai Nababganj District,0.0
% of female baby admitted in SCANU reported individually,Chattogram District,100.0
% of female baby admitted in SCANU reported individually,Chuadanga District,37.2
% of female baby admitted in SCANU reported individually,Coxs Bazar District,38.3
% of female baby admitted in SCANU reported individually,Cumilla District,100.0
% of female baby admitted in SCANU reported individually,Dhaka District,75.0
% of female baby admitted in SCANU reported individually,Dinajpur District,46.3
% of female baby admitted in SCANU reported individually,Faridpur District,44.9
