Data,Organisation unit,Value
f46jAdwYWDD,4001,245.0
f46jAdwYWDD,1009,379.3
f46jAdwYWDD,2022,116.7
f46jAdwYWDD,3029,102.6
f46jAdwYWDD,3048,48.5
f46jAdwYWDD,5549,186.3
f46jAdwYWDD,4050,19.5
f46jAdwYWDD,2051,152.2
f46jAdwYWDD,5552,190.9
f46jAdwYWDD,3054,143.1
f46jAdwYWDD,4055,282.9
f46jAdwYWDD,6058,287.0
f46jAdwYWDD,5064,0.0
f46jAdwYWDD,4065,285.7
f46jAdwYWDD,3068,116.4
f46jAdwYWDD,3072,204.1
f46jAdwYWDD,5573,133.3
f46jAdwYWDD,5577,86.5
f46jAdwYWDD,1078,79.6
f46jAdwYWDD,1079,721.8
f46jAdwYWDD,5585,42.7
f46jAdwYWDD,4087,588.2
f46jAdwYWDD,5088,0.0
f46jAdwYWDD,6090,85.7
f46jAdwYWDD,3093,53.7
f46jAdwYWDD,5594,109.4
FzTEiMtiSQN,4001,41.5
FzTEiMtiSQN,2003,48.3
FzTEiMtiSQN,1004,0.0
FzTEiMtiSQN,1006,100.0
FzTEiMtiSQN,1009,37.0
FzTEiMtiSQN,5010,100.0
FzTEiMtiSQN,2013,52.9
FzTEiMtiSQN,5070,0.0
FzTEiMtiSQN,2015,100.0
FzTEiMtiSQN,4018,37.2
FzTEiMtiSQN,2022,38.3
FzTEiMtiSQN,2019,100.0
FzTEiMtiSQN,3026,75.0
FzTEiMtiSQN,5527,46.3
FzTEiMtiSQN,3029,44.9
FzTEiMtiSQN,2030,80.0
FzTEiMtiSQN,5532,48.8
FzTEiMtiSQN,3033,42.5
FzTEiMtiSQN,3035,33.5
FzTEiMtiSQN,6036,34.9
FzTEiMtiSQN,3039,37.8
FzTEiMtiSQN,4041,20.0
FzTEiMtiSQN,4044,48.7
FzTEiMtiSQN,5038,41.1
FzTEiMtiSQN,2046,42.2
FzTEiMtiSQN,4047,32.6
FzTEiMtiSQN,3048,38.2
FzTEiMtiSQN,5549,35.9
FzTEiMtiSQN,4050,41.3
FzTEiMtiSQN,2051,51.8
FzTEiMtiSQN,5552,38.8
FzTEiMtiSQN,3054,41.7
FzTEiMtiSQN,4055,37.8
FzTEiMtiSQN,3056,55.6
FzTEiMtiSQN,6058,38.1
FzTEiMtiSQN,4057,50.0
FzTEiMtiSQN,3061,47.0
FzTEiMtiSQN,5064,40.9
FzTEiMtiSQN,4065,40.6
FzTEiMtiSQN,3067,45.5
FzTEiMtiSQN,3068,55.3
FzTEiMtiSQN,5069,41.6
FzTEiMtiSQN,3072,35.2
FzTEiMtiSQN,5573,36.9
FzTEiMtiSQN,2075,37.5
FzTEiMtiSQN,5076,75.0
FzTEiMtiSQN,5577,39.0
FzTEiMtiSQN,1078,39.5
FzTEiMtiSQN,1079,41.4
FzTEiMtiSQN,5081,100.0
FzTEiMtiSQN,5585,37.5
FzTEiMtiSQN,4087,35.1
FzTEiMtiSQN,3086,0.0
FzTEiMtiSQN,3089,80.0
FzTEiMtiSQN,5088,43.3
FzTEiMtiSQN,6090,44.6
FzTEiMtiSQN,6091,66.7
FzTEiMtiSQN,3093,43.4
FzTEiMtiSQN,5594,32.9
n8sW5SK2yvK,4001,39.4
n8sW5SK2yvK,2003,42.9
n8sW5SK2yvK,1009,36.4
n8sW5SK2yvK,2022,37.7
n8sW5SK2yvK,3029,40.1
n8sW5SK2yvK,3035,35.7
n8sW5SK2yvK,6036,34.3
n8sW5SK2yvK,3039,46.0
n8sW5SK2yvK,5038,36.3
n8sW5SK2yvK,2046,35.8
n8sW5SK2yvK,3048,36.5
n8sW5SK2yvK,5549,41.8
n8sW5SK2yvK,4050,37.9
n8sW5SK2yvK,2051,40.8
n8sW5SK2yvK,5552,41.2
n8sW5SK2yvK,3054,40.7
n8sW5SK2yvK,4055,43.9
n8sW5SK2yvK,6058,37.4
n8sW5SK2yvK,5064,43.4
n8sW5SK2yvK,4065,40.3
n8sW5SK2yvK,3068,38.9
n8sW5SK2yvK,5069,42.5
n8sW5SK2yvK,3072,36.3
n8sW5SK2yvK,5573,46.7
n8sW5SK2yvK,2075,41.1
n8sW5SK2yvK,5577,38.7
n8sW5SK2yvK,1078,42.7
n8sW5SK2yvK,1079,42.3
n8sW5SK2yvK,5585,38.7
n8sW5SK2yvK,4087,39.4
n8sW5SK2yvK,5088,40.1
n8sW5SK2yvK,6090,39.1
n8sW5SK2yvK,3093,40.0
n8sW5SK2yvK,5594,38.0
"",4001,42.6
"",2003,0.0
"",1009,23.1
"",2022,12.8
"",3035,26.6
"",6036,0.0
"",3039,18.5
"",5038,15.7
"",2046,6.5
"",3048,40.0
"",5549,48.6
"",5552,23.9
"",3054,8.7
"",6058,2.2
"",5064,38.1
"",4065,0.0
"",3068,0.0
"",5069,17.9
"",3072,16.1
"",5573,0.0
"",5577,52.1
"",1078,0.0
"",1079,0.0
"",5585,26.8
"",4087,0.0
"",5088,48.0
"",6090,100.0
"",3093,4.0
"",5594,100.0
ItzZiE04Nk2,4001,58.5
ItzZiE04Nk2,2003,51.7
ItzZiE04Nk2,1004,100.0
ItzZiE04Nk2,1006,0.0
ItzZiE04Nk2,1009,63.0
ItzZiE04Nk2,5010,0.0
ItzZiE04Nk2,2013,47.1
ItzZiE04Nk2,5070,100.0
ItzZiE04Nk2,2015,0.0
ItzZiE04Nk2,4018,62.8
ItzZiE04Nk2,2022,61.7
ItzZiE04Nk2,2019,0.0
ItzZiE04Nk2,3026,25.0
ItzZiE04Nk2,5527,53.7
ItzZiE04Nk2,3029,55.1
ItzZiE04Nk2,2030,20.0
ItzZiE04Nk2,5532,51.2
ItzZiE04Nk2,3033,57.5
ItzZiE04Nk2,3035,66.5
ItzZiE04Nk2,6036,65.1
ItzZiE04Nk2,3039,62.2
ItzZiE04Nk2,4041,80.0
ItzZiE04Nk2,4044,51.3
ItzZiE04Nk2,5038,58.9
ItzZiE04Nk2,2046,57.8
ItzZiE04Nk2,4047,67.4
ItzZiE04Nk2,3048,61.8
ItzZiE04Nk2,5549,64.1
ItzZiE04Nk2,4050,58.7
ItzZiE04Nk2,2051,48.2
ItzZiE04Nk2,5552,61.2
ItzZiE04Nk2,3054,58.3
ItzZiE04Nk2,4055,62.2
ItzZiE04Nk2,3056,44.4
ItzZiE04Nk2,6058,61.9
ItzZiE04Nk2,4057,50.0
ItzZiE04Nk2,3061,53.0
ItzZiE04Nk2,5064,59.1
ItzZiE04Nk2,4065,59.4
ItzZiE04Nk2,3067,54.5
ItzZiE04Nk2,3068,44.7
ItzZiE04Nk2,5069,58.4
ItzZiE04Nk2,3072,64.8
ItzZiE04Nk2,5573,63.1
ItzZiE04Nk2,2075,62.5
ItzZiE04Nk2,5076,25.0
ItzZiE04Nk2,5577,61.0
ItzZiE04Nk2,1078,60.5
ItzZiE04Nk2,1079,58.6
ItzZiE04Nk2,5081,0.0
ItzZiE04Nk2,5585,62.5
ItzZiE04Nk2,4087,64.9
ItzZiE04Nk2,3086,100.0
ItzZiE04Nk2,3089,20.0
ItzZiE04Nk2,5088,56.7
ItzZiE04Nk2,6090,55.4
ItzZiE04Nk2,6091,33.3
ItzZiE04Nk2,3093,56.6
ItzZiE04Nk2,5594,67.1
NmT7iD44mVf,4001,60.6
NmT7iD44mVf,2003,57.1
NmT7iD44mVf,1009,63.6
NmT7iD44mVf,2022,62.3
NmT7iD44mVf,3029,59.9
NmT7iD44mVf,3035,64.3
NmT7iD44mVf,6036,65.7
NmT7iD44mVf,3039,54.0
NmT7iD44mVf,5038,63.7
NmT7iD44mVf,2046,64.2
NmT7iD44mVf,3048,63.5
NmT7iD44mVf,5549,58.2
NmT7iD44mVf,4050,62.1
NmT7iD44mVf,2051,59.2
NmT7iD44mVf,5552,58.8
NmT7iD44mVf,3054,59.3
NmT7iD44mVf,4055,56.1
NmT7iD44mVf,6058,62.6
NmT7iD44mVf,5064,56.6
NmT7iD44mVf,4065,59.7
NmT7iD44mVf,3068,61.1
NmT7iD44mVf,5069,57.5
NmT7iD44mVf,3072,63.7
NmT7iD44mVf,5573,53.3
NmT7iD44mVf,2075,58.9
NmT7iD44mVf,5577,61.3
NmT7iD44mVf,1078,57.3
NmT7iD44mVf,1079,57.7
NmT7iD44mVf,5585,61.3
NmT7iD44mVf,4087,60.6
NmT7iD44mVf,5088,59.9
NmT7iD44mVf,6090,60.9
NmT7iD44mVf,3093,60.0
NmT7iD44mVf,5594,62.0
T1GhBEZqlEc,4001,49.3
T1GhBEZqlEc,2003,0.0
T1GhBEZqlEc,1009,12.6
T1GhBEZqlEc,2022,25.9
T1GhBEZqlEc,3029,9.7
T1GhBEZqlEc,3035,12.4
T1GhBEZqlEc,6036,0.0
T1GhBEZqlEc,3039,9.0
T1GhBEZqlEc,5038,0.0
T1GhBEZqlEc,2046,0.0
T1GhBEZqlEc,3048,44.1
T1GhBEZqlEc,5549,0.0
T1GhBEZqlEc,4050,0.0
T1GhBEZqlEc,2051,6.4
T1GhBEZqlEc,5552,22.8
T1GhBEZqlEc,3054,18.5
T1GhBEZqlEc,4055,0.0
T1GhBEZqlEc,6058,0.4
T1GhBEZqlEc,5064,0.0
T1GhBEZqlEc,4065,30.1
T1GhBEZqlEc,3068,0.0
T1GhBEZqlEc,5069,36.7
T1GhBEZqlEc,3072,18.1
T1GhBEZqlEc,5573,6.2
T1GhBEZqlEc,2075,0.0
T1GhBEZqlEc,5577,21.3
T1GhBEZqlEc,1078,17.8
T1GhBEZqlEc,1079,0.0
T1GhBEZqlEc,5585,15.2
T1GhBEZqlEc,4087,0.0
T1GhBEZqlEc,5088,49.4
T1GhBEZqlEc,6090,48.0
T1GhBEZqlEc,3093,0.0
T1GhBEZqlEc,5594,70.5
f7MoDDVXEqK,4001,35.3
f7MoDDVXEqK,2003,0.0
f7MoDDVXEqK,1009,0.0
f7MoDDVXEqK,2022,22.9
f7MoDDVXEqK,3029,44.1
f7MoDDVXEqK,3035,10.8
f7MoDDVXEqK,3039,25.7
f7MoDDVXEqK,2046,17.0
f7MoDDVXEqK,3048,56.6
f7MoDDVXEqK,5549,23.4
f7MoDDVXEqK,4050,16.4
f7MoDDVXEqK,2051,12.8
f7MoDDVXEqK,5552,44.2
f7MoDDVXEqK,3054,42.9
f7MoDDVXEqK,4055,76.3
f7MoDDVXEqK,6058,6.7
f7MoDDVXEqK,5064,36.3
f7MoDDVXEqK,4065,66.7
f7MoDDVXEqK,3068,0.0
f7MoDDVXEqK,5069,0.0
f7MoDDVXEqK,3072,33.3
f7MoDDVXEqK,5573,2.6
f7MoDDVXEqK,2075,16.8
f7MoDDVXEqK,5577,16.5
f7MoDDVXEqK,1078,45.5
f7MoDDVXEqK,1079,0.0
f7MoDDVXEqK,5585,8.8
f7MoDDVXEqK,4087,100.0
f7MoDDVXEqK,5088,23.0
f7MoDDVXEqK,6090,64.4
f7MoDDVXEqK,3093,15.8
f7MoDDVXEqK,5594,100.0
iSvpIw0SxzK,4001,38.1
iSvpIw0SxzK,2003,0.0
iSvpIw0SxzK,1009,13.7
iSvpIw0SxzK,2022,11.1
iSvpIw0SxzK,3029,90.6
iSvpIw0SxzK,3035,0.0
iSvpIw0SxzK,6036,0.0
iSvpIw0SxzK,3039,0.0
iSvpIw0SxzK,5038,0.0
iSvpIw0SxzK,2046,0.0
iSvpIw0SxzK,3048,100.0
iSvpIw0SxzK,5549,24.0
iSvpIw0SxzK,4050,5.9
iSvpIw0SxzK,2051,85.2
iSvpIw0SxzK,5552,6.9
iSvpIw0SxzK,3054,9.7
iSvpIw0SxzK,4055,29.9
iSvpIw0SxzK,6058,14.1
