Data,Organisation unit,Value
Percentage of functional ambulance,Bagerhat District,74.17
Percentage of functional ambulance,Bandarban District,71.53
Percentage of functional ambulance,Barguna District,81.82
Percentage of functional ambulance,Barishal District,87.58
Percentage of functional ambulance,Bhola District,100.0
Percentage of functional ambulance,Bogura District,80.37
Percentage of functional ambulance,Brahmanbaria District,62.41
Percentage of functional ambulance,Chandpur District,81.65
Percentage of functional ambulance,Chapai Nababganj District,47.79
Percentage of functional ambulance,Chattogram District,89.87
Percentage of functional ambulance,Chuadanga District,82.81
Percentage of functional ambulance,Coxs Bazar District,85.12
Percentage of functional ambulance,Cumilla District,70.17
Percentage of functional ambulance,Dhaka District,89.0
Percentage of functional ambulance,Dinajpur District,76.92
Percentage of functional ambulance,Faridpur District,66.27
Percentage of functional ambulance,Feni District,81.58
Percentage of functional ambulance,Gaibandha District,73.21
Percentage of functional ambulance,Gazipur District,76.64
Percentage of functional ambulance,Gopalganj District,70.59
Percentage of functional ambulance,Habiganj District,61.11
Percentage of functional ambulance,Jamalpur District,69.13
Percentage of functional ambulance,Jashore District,100.0
Percentage of functional ambulance,Jhalokati District,97.33
Percentage of functional ambulance,Jhenaidaha District,98.08
Percentage of functional ambulance,Joypurhat District,100.0
Percentage of functional ambulance,Khagrachhari District,68.69
Percentage of functional ambulance,Khulna District,80.13
Percentage of functional ambulance,Kishoreganj District,93.85
Percentage of functional ambulance,Kurigram District,62.73
Percentage of functional ambulance,Kustia District,91.59
Percentage of functional ambulance,Laksmipur District,98.44
Percentage of functional ambulance,Lalmonirhat District,81.19
Percentage of functional ambulance,Madaripur District,51.79
Percentage of functional ambulance,Magura District,73.97
Percentage of functional ambulance,Manikganj District,64.23
Percentage of functional ambulance,Maulavi Bazar District,90.32
Percentage of functional ambulance,Meherpur District,98.18
Percentage of functional ambulance,Munshiganj District,51.09
Percentage of functional ambulance,Mymensingh District,62.64
Percentage of functional ambulance,Naogaon District,64.07
Percentage of functional ambulance,Narail District,53.13
Percentage of functional ambulance,Narayanganj District,85.19
Percentage of functional ambulance,Narshingdi District,72.34
Percentage of functional ambulance,Natore District,66.15
Percentage of functional ambulance,Netrokona District,63.01
Percentage of functional ambulance,Nilphamari District,100.0
Percentage of functional ambulance,Noakhali District,65.69
Percentage of functional ambulance,Pabna District,63.84
Percentage of functional ambulance,Panchagarh District,97.1
Percentage of functional ambulance,Patuakhali District,57.69
Percentage of functional ambulance,Pirojpur District,62.22
Percentage of functional ambulance,Rajbari District,64.94
Percentage of functional ambulance,Rajshahi District,61.82
Percentage of functional ambulance,Rangamati District,76.47
Percentage of functional ambulance,Rangpur District,71.43
Percentage of functional ambulance,Satkhira District,72.27
Percentage of functional ambulance,Shariatpur District,56.7
