Data,Organisation unit,Value
Percentage of functional ambulance,Abhaynagar Upazila,68.97
Percentage of functional ambulance,Adamdighi Upazila,84.21
Percentage of functional ambulance,Aditmari Upazila,100.0
Percentage of functional ambulance,Agailjhara Upazila,52.63
Percentage of functional ambulance,Ajmiriganj Upazila,100.0
Percentage of functional ambulance,Akhaura Upazila,95.0
Percentage of functional ambulance,Akkelpur Upazila,100.0
Percentage of functional ambulance,Alamdanga Upazila,46.0
Percentage of functional ambulance,Alfadanga Upazila,68.97
Percentage of functional ambulance,Alikadam Upazila,64.29
Percentage of functional ambulance,Amtali Upazila,61.29
Percentage of functional ambulance,Anowara Upazila,52.11
Percentage of functional ambulance,Araihazar Upazila,100.0
Percentage of functional ambulance,Assasuni Upazila,65.52
Percentage of functional ambulance,Atgharia Upazila,53.13
Percentage of functional ambulance,Atpara Upazila,38.33
Percentage of functional ambulance,Atrai Upazila,65.52
Percentage of functional ambulance,Atwari Upazila,82.14
Percentage of functional ambulance,Austagram Upazila,100.0
Percentage of functional ambulance,Babuganj Upazila,89.66
Percentage of functional ambulance,Badalgachhi Upazila,94.74
Percentage of functional ambulance,Badarganj Upazila,73.68
Percentage of functional ambulance,Bagatipara Upazila,51.35
Percentage of functional ambulance,Bagha Upazila,69.7
Percentage of functional ambulance,Baghai Chhari Upazila,184.78
Percentage of functional ambulance,Bagherpara Upazila,100.0
Percentage of functional ambulance,Baghmara Upazila,100.0
Percentage of functional ambulance,Bahubal Upazila,71.43
Percentage of functional ambulance,Bajitpur Upazila,94.59
Percentage of functional ambulance,Bakerganj Upazila,47.37
Percentage of functional ambulance,Bakshiganj Upazila,86.84
Percentage of functional ambulance,Balaganj Upazila,65.52
Percentage of functional ambulance,Baliadangi Upazila,89.47
Percentage of functional ambulance,Baliakandi Upazila,38.71
Percentage of functional ambulance,Bamna Upazila,83.87
Percentage of functional ambulance,Banaripara Upazila,73.68
Percentage of functional ambulance,Banchharampur Upazila,54.55
Percentage of functional ambulance,Bandar Upazila,100.0
Percentage of functional ambulance,Baniachong Upazila,52.78
Percentage of functional ambulance,Banshkhali Upazila,65.52
Percentage of functional ambulance,Baraigram Upazila,100.0
Percentage of functional ambulance,Barhatta Upazila,79.17
Percentage of functional ambulance,Barlekha Upazila,100.0
Percentage of functional ambulance,Barura Upazila,48.72
Percentage of functional ambulance,Basail Upazila,94.74
Percentage of functional ambulance,Batiaghata Upazila,70.37
Percentage of functional ambulance,Bauphal Upazila,44.44
Percentage of functional ambulance,Beani Bazar Upazila,65.79
Percentage of functional ambulance,Begumganj Upazila,100.0
Percentage of functional ambulance,Belabo Upazila,100.0
Percentage of functional ambulance,Belkuchi Upazila,58.33
Percentage of functional ambulance,Bera Upazila,52.94
Percentage of functional ambulance,Betagi Upazila,100.0
Percentage of functional ambulance,Bhaluka Upazila,100.0
Percentage of functional ambulance,Bhandaria Upazila,65.52
Percentage of functional ambulance,Bhanga Upazila,59.18
Percentage of functional ambulance,Bhangura Upazila,100.0
Percentage of functional ambulance,Bhariab Upazila,70.97
Percentage of functional ambulance,Bhedarganj Upazila,50.0
Percentage of functional ambulance,Bheramara Upazila,77.08
Percentage of functional ambulance,Bholahat Upazila,38.71
Percentage of functional ambulance,Bhuapur Upazila,41.38
Percentage of functional ambulance,Bhurungamari Upazila,50.0
Percentage of functional ambulance,Biral Upazila,63.16
Percentage of functional ambulance,Birampur Upazila,100.0
Percentage of functional ambulance,Birganj Upazila,94.74
Percentage of functional ambulance,Bishwambarpur Upazila,94.74
Percentage of functional ambulance,Biswanath Upazila,51.28
Percentage of functional ambulance,Boalkhali Upazila,100.0
Percentage of functional ambulance,Boalmari Upazila,50.0
Percentage of functional ambulance,Bochaganj Upazila,57.14
Percentage of functional ambulance,Boda Upazila,100.0
Percentage of functional ambulance,Brahman Para Upazila,65.52
Percentage of functional ambulance,Burhanuddin Upazila,90.24
Percentage of functional ambulance,Burichang Upazila,51.85
Percentage of functional ambulance,Chakaria Upazila,81.48
Percentage of functional ambulance,Chandanaish Upazila,86.36
Percentage of functional ambulance,Chandina Upazila,64.29
Percentage of functional ambulance,Char Bhadrasan Upazila,50.0
Percentage of functional ambulance,Char Fassion Upazila,65.52
Percentage of functional ambulance,Char Rajibpur Upazila,72.0
Percentage of functional ambulance,Charghat Upazila,33.82
Percentage of functional ambulance,Chatkhil Upazila,65.52
Percentage of functional ambulance,Chatmohor Upazila,78.72
Percentage of functional ambulance,Chauddagram Upazila,68.42
Percentage of functional ambulance,Chaugachha Upazila,79.49
Percentage of functional ambulance,Chauhali Upazila,51.28
Percentage of functional ambulance,Chhagalnaiya Upazila,100.0
Percentage of functional ambulance,Chhatak Upazila,35.19
Percentage of functional ambulance,Chilmari Upazila,94.74
Percentage of functional ambulance,Chirir Bandar Upazila,100.0
Percentage of functional ambulance,Chitalmari Upazila,91.89
Percentage of functional ambulance,Chunarughat Upazila,50.0
Percentage of functional ambulance,Companiganj NK Upazila,94.74
Percentage of functional ambulance,Companiganj SH Upazila,48.42
Percentage of functional ambulance,Dacope Upazila,87.88
Percentage of functional ambulance,Daganbhuiyan Upazila,7.81
Percentage of functional ambulance,Dakshin Surma Upazila,76.92
Percentage of functional ambulance,Damudya Upazila,65.52
Percentage of functional ambulance,Damurhuda Upazila,0.0
Percentage of functional ambulance,Dashmina Upazila,50.0
Percentage of functional ambulance,Daudkandi Upazila,100.0
Percentage of functional ambulance,Daulat Khan Upazila,100.0
Percentage of functional ambulance,Daulatpur KT Upazila,50.0
Percentage of functional ambulance,Daulatpur MG Upazila,50.0
Percentage of functional ambulance,Debhata Upazila,96.67
Percentage of functional ambulance,Debidwar Upazila,34.21
Percentage of functional ambulance,Debiganj Upazila,92.31
Percentage of functional ambulance,Delduar Upazila,147.37
Percentage of functional ambulance,Derai Upazila,28.57
Percentage of functional ambulance,Dewanganj Upazila,50.0
Percentage of functional ambulance,Dhamairhat Upazila,94.44
Percentage of functional ambulance,Dhamrai Upazila,78.95
Percentage of functional ambulance,Dhanbari Upzila,1150.0
Percentage of functional ambulance,Dharampasa Upazila,100.0
Percentage of functional ambulance,Dhobaura Upazila,48.57
Percentage of functional ambulance,Dhunat Upazila,65.52
Percentage of functional ambulance,Dighalia Upazila,100.0
Percentage of functional ambulance,Dighinala Upazila,100.0
Percentage of functional ambulance,Dimla Upazila,65.52
Percentage of functional ambulance,Dohar Upazila,100.0
Percentage of functional ambulance,Domar Upazila,41.38
Percentage of functional ambulance,Dowara Bazar Upazila,100.0
Percentage of functional ambulance,Dumki Upazila,52.63
Percentage of functional ambulance,Dumuria Upazila,96.43
Percentage of functional ambulance,Dupchanchia Upazila,70.37
Percentage of functional ambulance,Durgapur NK Upazila,13.89
Percentage of functional ambulance,Durgapur Upazila,42.86
Percentage of functional ambulance,Fakirhat Upazila,73.68
Percentage of functional ambulance,Faridganj Upazila,84.85
Percentage of functional ambulance,Faridpur Upazila,160.0
Percentage of functional ambulance,Fatikchhari Upazila,100.0
Percentage of functional ambulance,Fenchuganj Upazila,65.52
Percentage of functional ambulance,Fulbari DP Upazila,89.47
Percentage of functional ambulance,Fulbari KG Upazila,50.0
Percentage of functional ambulance,Fulbaria Upazila,100.0
Percentage of functional ambulance,Fulchhari Upazila,100.0
Percentage of functional ambulance,Fulgazi Upazila,92.86
Percentage of functional ambulance,Fultala Upazila,51.22
Percentage of functional ambulance,Gabtali Upazila,66.67
Percentage of functional ambulance,Gaffargaon Upazila,48.72
Percentage of functional ambulance,Gangachara Upazila,63.33
Percentage of functional ambulance,Gangni Upazila,78.38
Percentage of functional ambulance,Gauripur Upazila,25.0
Percentage of functional ambulance,Gazaria Upazila,100.0
Percentage of functional ambulance,Ghatail Upazila,65.52
Percentage of functional ambulance,Ghior Upazila,60.71
Percentage of functional ambulance,Ghoraghat Upazila,77.78
Percentage of functional ambulance,Goalanda Ghat Upazila,57.58
Percentage of functional ambulance,Gobindaganj Upazila,47.5
Percentage of functional ambulance,Godagari Upazila,108.82
Percentage of functional ambulance,Golabganj Upazila,94.74
Percentage of functional ambulance,Golachipa Upazila,63.89
Percentage of functional ambulance,Gomastapur Upazila,13.73
Percentage of functional ambulance,Gopalpur Upazila,65.52
Percentage of functional ambulance,Gosairhat Upazila,38.71
Percentage of functional ambulance,Gournadi Upazila,86.36
Percentage of functional ambulance,Gowainghat Upazila,64.29
Percentage of functional ambulance,Gurudashpur Upazila,50.0
Percentage of functional ambulance,Haim Char Upazila,41.67
Percentage of functional ambulance,Hajiganj Upazila,100.0
Percentage of functional ambulance,Hakimpur Upazila,38.67
Percentage of functional ambulance,Haluaghat Upazila,50.0
Percentage of functional ambulance,Harinakunda Upazila,65.52
Percentage of functional ambulance,Haripur Upazila,31.9
Percentage of functional ambulance,Harirampur Upazila,50.0
Percentage of functional ambulance,Hathazari Upazila,93.33
Percentage of functional ambulance,Hatibandha Upazila,76.74
Percentage of functional ambulance,Hatiya Upazila,48.65
Percentage of functional ambulance,Hijla Upazila,100.0
Percentage of functional ambulance,Homna Upazila,37.84
Percentage of functional ambulance,Hossainpur Upazila,63.33
Percentage of functional ambulance,Ishwarganj Upazila,40.48
Percentage of functional ambulance,Islampur Upazila,50.0
Percentage of functional ambulance,Iswardi Upazila,90.48
Percentage of functional ambulance,Jagannathpur Upazila,31.71
Percentage of functional ambulance,Jaintiapur Upazila,45.83
Percentage of functional ambulance,Jaldhaka Upazila,73.68
Percentage of functional ambulance,Jamalganj Upazila,100.0
Percentage of functional ambulance,Jhenaigati Upazila,50.0
Percentage of functional ambulance,Jhikargachha Upazila,100.0
Percentage of functional ambulance,Jiban Nagar Upazila,94.74
Percentage of functional ambulance,Juri Upazila,100.0
Percentage of functional ambulance,Kabirhat Upazila,100.0
Percentage of functional ambulance,Kachua BH Upazila,33.96
Percentage of functional ambulance,Kachua CP Upazila,50.0
Percentage of functional ambulance,Kahaloo Upazila,27.78
Percentage of functional ambulance,Kaharole Upazila,0.0
Percentage of functional ambulance,Kalai Upazila,82.61
Percentage of functional ambulance,Kalapara Upazila,50.0
Percentage of functional ambulance,Kalaroa Upazila,57.14
Percentage of functional ambulance,Kalia Upazila,75.0
Percentage of functional ambulance,Kaliakair Upazila,73.68
Percentage of functional ambulance,Kaliganj GZ Upazila,93.55
Percentage of functional ambulance,Kaliganj JD Upazila,100.0
Percentage of functional ambulance,Kaliganj LH Upazila,65.52
Percentage of functional ambulance,Kaliganj SK Upazila,44.74
Percentage of functional ambulance,Kalihati Upazila,81.82
Percentage of functional ambulance,Kalkini Upazila,39.58
Percentage of functional ambulance,Kalmakanda Upazila,0.0
Percentage of functional ambulance,Kalukhali Upazila,100.0
Percentage of functional ambulance,Kamalganj Upazila,100.0
Percentage of functional ambulance,Kamarkhanda Upazila,100.0
Percentage of functional ambulance,Kanaighat Upazila,69.23
Percentage of functional ambulance,Kapasia Upazila,95.65
Percentage of functional ambulance,Kaptai Upazila,100.0
Percentage of functional ambulance,Karimganj Upazila,78.26
Percentage of functional ambulance,Kasba Upazila,70.73
