Data,Organisation unit,Value
t3oOvEIdZuw,404104,86.36
t3oOvEIdZuw,501006,84.21
t3oOvEIdZuw,555202,100.0
t3oOvEIdZuw,100602,52.63
t3oOvEIdZuw,603602,100.0
t3oOvEIdZuw,201202,97.44
t3oOvEIdZuw,503813,94.74
t3oOvEIdZuw,401807,50.0
t3oOvEIdZuw,302903,86.36
t3oOvEIdZuw,200304,81.48
t3oOvEIdZuw,100409,79.17
t3oOvEIdZuw,201504,84.21
t3oOvEIdZuw,306702,100.0
t3oOvEIdZuw,408704,100.0
t3oOvEIdZuw,507605,62.96
t3oOvEIdZuw,307204,38.33
t3oOvEIdZuw,506403,65.52
t3oOvEIdZuw,557704,94.74
t3oOvEIdZuw,304802,100.0
t3oOvEIdZuw,100603,107.14
t3oOvEIdZuw,506406,100.0
t3oOvEIdZuw,558503,85.71
t3oOvEIdZuw,506909,50.0
t3oOvEIdZuw,508110,57.89
t3oOvEIdZuw,208407,105.56
t3oOvEIdZuw,404109,100.0
t3oOvEIdZuw,508112,97.3
t3oOvEIdZuw,603605,77.55
t3oOvEIdZuw,304806,94.29
t3oOvEIdZuw,100607,48.65
t3oOvEIdZuw,303907,100.0
t3oOvEIdZuw,609108,70.37
t3oOvEIdZuw,559408,40.0
t3oOvEIdZuw,308207,54.29
t3oOvEIdZuw,100419,100.0
t3oOvEIdZuw,100610,94.59
t3oOvEIdZuw,201204,55.26
t3oOvEIdZuw,306706,100.0
t3oOvEIdZuw,603611,52.78
t3oOvEIdZuw,201508,82.61
t3oOvEIdZuw,506915,100.0
t3oOvEIdZuw,307209,100.0
t3oOvEIdZuw,605814,100.0
t3oOvEIdZuw,201909,50.0
t3oOvEIdZuw,309309,94.74
t3oOvEIdZuw,404712,100.0
t3oOvEIdZuw,107838,58.33
t3oOvEIdZuw,609117,72.97
t3oOvEIdZuw,207507,100.0
t3oOvEIdZuw,306807,100.0
t3oOvEIdZuw,508811,69.05
t3oOvEIdZuw,507616,56.25
t3oOvEIdZuw,100447,92.11
t3oOvEIdZuw,306113,100.0
t3oOvEIdZuw,107914,73.53
t3oOvEIdZuw,302910,64.29
t3oOvEIdZuw,507619,100.0
t3oOvEIdZuw,304811,104.76
t3oOvEIdZuw,308614,50.0
t3oOvEIdZuw,405015,85.71
t3oOvEIdZuw,507018,50.0
t3oOvEIdZuw,309319,57.14
t3oOvEIdZuw,554906,50.0
t3oOvEIdZuw,552717,64.86
t3oOvEIdZuw,552710,94.74
t3oOvEIdZuw,552712,100.0
t3oOvEIdZuw,609018,94.74
t3oOvEIdZuw,609120,52.78
t3oOvEIdZuw,201512,100.0
t3oOvEIdZuw,302918,50.0
t3oOvEIdZuw,552721,52.63
t3oOvEIdZuw,557725,95.0
t3oOvEIdZuw,201915,70.37
t3oOvEIdZuw,100921,100.0
t3oOvEIdZuw,201918,43.08
