Data,Organisation unit,Value
t3oOvEIdZuw,4001,75.0
t3oOvEIdZuw,2003,71.79
t3oOvEIdZuw,1004,82.2
t3oOvEIdZuw,1006,86.23
t3oOvEIdZuw,1009,99.06
t3oOvEIdZuw,5010,80.34
t3oOvEIdZuw,2012,61.64
t3oOvEIdZuw,2013,81.36
t3oOvEIdZuw,5070,48.3
t3oOvEIdZuw,2015,89.52
t3oOvEIdZuw,4018,82.86
t3oOvEIdZuw,2022,84.85
t3oOvEIdZuw,2019,69.73
t3oOvEIdZuw,3026,89.81
t3oOvEIdZuw,5527,76.53
t3oOvEIdZuw,3029,66.48
t3oOvEIdZuw,2030,80.72
t3oOvEIdZuw,5532,73.77
t3oOvEIdZuw,3033,76.97
t3oOvEIdZuw,3035,68.92
t3oOvEIdZuw,6036,61.02
t3oOvEIdZuw,3039,69.57
t3oOvEIdZuw,4041,100.0
t3oOvEIdZuw,1042,97.56
t3oOvEIdZuw,4044,97.32
t3oOvEIdZuw,5038,100.0
t3oOvEIdZuw,2046,67.59
t3oOvEIdZuw,4047,81.07
t3oOvEIdZuw,3048,93.15
t3oOvEIdZuw,5549,63.01
t3oOvEIdZuw,4050,91.53
t3oOvEIdZuw,2051,98.57
t3oOvEIdZuw,5552,81.82
t3oOvEIdZuw,3054,51.84
t3oOvEIdZuw,4055,73.75
t3oOvEIdZuw,3056,63.76
t3oOvEIdZuw,6058,90.2
t3oOvEIdZuw,4057,98.33
t3oOvEIdZuw,3059,52.0
t3oOvEIdZuw,3061,62.3
t3oOvEIdZuw,5064,63.93
t3oOvEIdZuw,4065,53.62
t3oOvEIdZuw,3067,85.23
t3oOvEIdZuw,3068,72.82
t3oOvEIdZuw,5069,65.03
t3oOvEIdZuw,3072,62.11
t3oOvEIdZuw,5573,100.0
t3oOvEIdZuw,2075,66.67
t3oOvEIdZuw,5076,64.46
t3oOvEIdZuw,5577,97.33
t3oOvEIdZuw,1078,57.75
t3oOvEIdZuw,1079,62.16
t3oOvEIdZuw,3082,64.29
t3oOvEIdZuw,5081,61.88
t3oOvEIdZuw,2084,78.38
t3oOvEIdZuw,5585,70.66
t3oOvEIdZuw,4087,71.76
t3oOvEIdZuw,3086,58.65
t3oOvEIdZuw,3089,68.87
t3oOvEIdZuw,5088,58.59
t3oOvEIdZuw,6090,59.09
t3oOvEIdZuw,6091,85.29
t3oOvEIdZuw,3093,102.88
t3oOvEIdZuw,5594,79.75
gCIHrhpVM3p,4001,36.898
gCIHrhpVM3p,2003,72.5
gCIHrhpVM3p,1004,50.515
gCIHrhpVM3p,1006,73.288
gCIHrhpVM3p,1009,82.883
gCIHrhpVM3p,5010,45.645
gCIHrhpVM3p,2012,68.919
gCIHrhpVM3p,2013,54.198
gCIHrhpVM3p,5070,53.077
gCIHrhpVM3p,2015,44.541
gCIHrhpVM3p,4018,43.75
gCIHrhpVM3p,2022,73.333
gCIHrhpVM3p,2019,42.618
gCIHrhpVM3p,3026,100.0
gCIHrhpVM3p,5527,65.704
gCIHrhpVM3p,3029,47.917
gCIHrhpVM3p,2030,56.18
gCIHrhpVM3p,5532,52.448
gCIHrhpVM3p,3033,95.333
gCIHrhpVM3p,3035,84.444
gCIHrhpVM3p,6036,32.867
gCIHrhpVM3p,3039,71.2
gCIHrhpVM3p,4041,97.143
gCIHrhpVM3p,1042,100.0
gCIHrhpVM3p,4044,100.0
gCIHrhpVM3p,5038,88.824
gCIHrhpVM3p,2046,19.048
gCIHrhpVM3p,4047,68.116
gCIHrhpVM3p,3048,78.313
gCIHrhpVM3p,5549,44.776
gCIHrhpVM3p,4050,83.333
gCIHrhpVM3p,2051,94.068
gCIHrhpVM3p,5552,50.0
gCIHrhpVM3p,3054,41.071
gCIHrhpVM3p,4055,26.364
gCIHrhpVM3p,3056,38.849
gCIHrhpVM3p,6058,80.189
gCIHrhpVM3p,4057,80.0
gCIHrhpVM3p,3059,65.625
gCIHrhpVM3p,3061,56.522
gCIHrhpVM3p,5064,61.979
gCIHrhpVM3p,4065,70.0
gCIHrhpVM3p,3067,42.056
gCIHrhpVM3p,3068,92.105
gCIHrhpVM3p,5069,57.516
gCIHrhpVM3p,3072,33.333
gCIHrhpVM3p,5573,85.542
gCIHrhpVM3p,2075,50.0
gCIHrhpVM3p,5076,47.907
gCIHrhpVM3p,5577,88.136
gCIHrhpVM3p,1078,33.333
gCIHrhpVM3p,1079,52.778
gCIHrhpVM3p,3082,64.583
gCIHrhpVM3p,5081,73.438
gCIHrhpVM3p,2084,35.106
gCIHrhpVM3p,5585,36.508
gCIHrhpVM3p,4087,27.692
gCIHrhpVM3p,3086,59.551
gCIHrhpVM3p,3089,83.908
gCIHrhpVM3p,5088,56.213
gCIHrhpVM3p,6090,23.741
gCIHrhpVM3p,6091,57.459
gCIHrhpVM3p,3093,83.019
gCIHrhpVM3p,5594,52.041
