Data,Organisation unit,Value
t3oOvEIdZuw,10001737,100.0
t3oOvEIdZuw,10001095,67.0
t3oOvEIdZuw,10001339,100.0
t3oOvEIdZuw,10001948,50.0
t3oOvEIdZuw,10000663,100.0
t3oOvEIdZuw,10001289,100.0
t3oOvEIdZuw,10001719,90.91
t3oOvEIdZuw,10000085,100.0
t3oOvEIdZuw,10000652,90.0
t3oOvEIdZuw,10001933,83.33
t3oOvEIdZuw,10000729,100.0
t3oOvEIdZuw,10000415,100.0
t3oOvEIdZuw,10001914,100.0
t3oOvEIdZuw,10001472,58.46
t3oOvEIdZuw,10000466,62.5
t3oOvEIdZuw,10001363,100.0
t3oOvEIdZuw,10001500,100.0
t3oOvEIdZuw,10000223,100.0
t3oOvEIdZuw,10002074,100.0
t3oOvEIdZuw,10001955,170.0
t3oOvEIdZuw,10001370,100.0
t3oOvEIdZuw,10001575,100.0
t3oOvEIdZuw,10001417,50.0
t3oOvEIdZuw,10001527,55.0
t3oOvEIdZuw,10001067,100.0
t3oOvEIdZuw,10001741,100.0
t3oOvEIdZuw,10001523,94.74
t3oOvEIdZuw,10002075,90.91
t3oOvEIdZuw,10000227,94.44
t3oOvEIdZuw,10001963,48.42
t3oOvEIdZuw,10000188,100.0
t3oOvEIdZuw,10002164,100.0
t3oOvEIdZuw,10001671,67.0
t3oOvEIdZuw,10000505,50.0
t3oOvEIdZuw,10001937,100.0
t3oOvEIdZuw,10001966,105.26
t3oOvEIdZuw,10000667,60.0
t3oOvEIdZuw,10000420,100.0
t3oOvEIdZuw,10002077,58.82
t3oOvEIdZuw,10000734,100.0
t3oOvEIdZuw,10001421,100.0
t3oOvEIdZuw,10000468,100.0
t3oOvEIdZuw,10002096,100.0
t3oOvEIdZuw,10000842,50.0
t3oOvEIdZuw,10000581,92.0
t3oOvEIdZuw,10001792,100.0
t3oOvEIdZuw,10002033,90.91
t3oOvEIdZuw,10002172,90.0
t3oOvEIdZuw,10001028,100.0
t3oOvEIdZuw,10000436,100.0
t3oOvEIdZuw,10001624,100.0
t3oOvEIdZuw,10001476,51.11
t3oOvEIdZuw,10001945,100.0
t3oOvEIdZuw,10000230,116.67
t3oOvEIdZuw,10000352,100.0
t3oOvEIdZuw,10002055,100.0
t3oOvEIdZuw,10000089,62.5
t3oOvEIdZuw,10001473,100.0
t3oOvEIdZuw,10000541,50.0
t3oOvEIdZuw,10001830,100.0
t3oOvEIdZuw,10001163,50.0
t3oOvEIdZuw,10000586,25.0
t3oOvEIdZuw,10001308,50.0
t3oOvEIdZuw,10001189,100.0
t3oOvEIdZuw,10001193,100.0
t3oOvEIdZuw,10001200,75.0
t3oOvEIdZuw,10002127,100.0
t3oOvEIdZuw,10002177,100.0
t3oOvEIdZuw,10000740,100.0
t3oOvEIdZuw,10000095,50.0
t3oOvEIdZuw,10001201,55.0
t3oOvEIdZuw,10001502,100.0
t3oOvEIdZuw,10002004,100.0
t3oOvEIdZuw,10000846,100.0
t3oOvEIdZuw,10000847,50.0
t3oOvEIdZuw,10000852,100.0
t3oOvEIdZuw,10000918,100.0
t3oOvEIdZuw,10000748,76.92
t3oOvEIdZuw,10000857,90.91
t3oOvEIdZuw,10000098,50.0
t3oOvEIdZuw,10002006,100.0
t3oOvEIdZuw,10001528,32.5
t3oOvEIdZuw,10001031,100.0
t3oOvEIdZuw,10001479,100.0
t3oOvEIdZuw,10000942,100.0
t3oOvEIdZuw,10002130,33.33
t3oOvEIdZuw,10001313,100.0
t3oOvEIdZuw,10001203,100.0
t3oOvEIdZuw,10001696,100.0
t3oOvEIdZuw,10001744,100.0
t3oOvEIdZuw,10001629,50.0
t3oOvEIdZuw,10002078,50.0
t3oOvEIdZuw,10002209,100.0
t3oOvEIdZuw,10001033,83.33
t3oOvEIdZuw,10001794,100.0
t3oOvEIdZuw,10000946,19.23
t3oOvEIdZuw,10002243,72.83
t3oOvEIdZuw,10000544,100.0
t3oOvEIdZuw,10001731,0.0
t3oOvEIdZuw,10002034,50.0
t3oOvEIdZuw,10000875,100.0
t3oOvEIdZuw,10002008,100.0
t3oOvEIdZuw,10002214,50.0
t3oOvEIdZuw,10000277,42.0
t3oOvEIdZuw,10001917,100.0
t3oOvEIdZuw,10000883,17.89
t3oOvEIdZuw,10001506,88.24
t3oOvEIdZuw,10000591,180.0
t3oOvEIdZuw,10002136,45.45
t3oOvEIdZuw,10000191,50.0
t3oOvEIdZuw,10001374,90.36
t3oOvEIdZuw,10000064,75.0
t3oOvEIdZuw,10000595,1150.0
t3oOvEIdZuw,10002138,100.0
t3oOvEIdZuw,10000355,51.11
t3oOvEIdZuw,10001115,100.0
t3oOvEIdZuw,10001117,90.91
t3oOvEIdZuw,10001797,100.0
t3oOvEIdZuw,10000973,100.0
t3oOvEIdZuw,10001442,100.0
t3oOvEIdZuw,10000069,100.0
t3oOvEIdZuw,10001450,100.0
t3oOvEIdZuw,10002143,100.0
t3oOvEIdZuw,10002035,8.0
t3oOvEIdZuw,10001799,85.0
t3oOvEIdZuw,10002304,0.0
t3oOvEIdZuw,10000470,27.5
t3oOvEIdZuw,10001701,95.0
t3oOvEIdZuw,10000706,100.0
t3oOvEIdZuw,10001481,100.0
t3oOvEIdZuw,10000781,94.74
t3oOvEIdZuw,10002181,100.0
t3oOvEIdZuw,10001220,75.0
t3oOvEIdZuw,10002235,50.0
t3oOvEIdZuw,10000358,100.0
t3oOvEIdZuw,10001244,94.74
t3oOvEIdZuw,HS_27480050000,100.0
t3oOvEIdZuw,10000362,33.33
t3oOvEIdZuw,10001801,52.17
t3oOvEIdZuw,10001122,100.0
t3oOvEIdZuw,10002039,54.55
t3oOvEIdZuw,10001579,60.61
t3oOvEIdZuw,10001891,100.0
t3oOvEIdZuw,10000317,100.0
t3oOvEIdZuw,10000601,100.0
t3oOvEIdZuw,10000281,80.0
t3oOvEIdZuw,10001224,95.0
t3oOvEIdZuw,10000508,66.67
t3oOvEIdZuw,10001265,45.45
t3oOvEIdZuw,10001539,100.0
t3oOvEIdZuw,10000369,40.0
t3oOvEIdZuw,10002182,100.0
t3oOvEIdZuw,10001167,27.03
t3oOvEIdZuw,10000607,100.0
t3oOvEIdZuw,10000546,50.0
t3oOvEIdZuw,10000373,40.0
t3oOvEIdZuw,10001982,100.0
t3oOvEIdZuw,10002186,92.0
t3oOvEIdZuw,10001424,50.0
t3oOvEIdZuw,10000708,100.0
t3oOvEIdZuw,10001226,0.0
t3oOvEIdZuw,10000379,51.54
t3oOvEIdZuw,10001771,100.0
t3oOvEIdZuw,10001673,55.83
t3oOvEIdZuw,10000288,50.0
t3oOvEIdZuw,10000786,90.0
t3oOvEIdZuw,10001342,100.0
t3oOvEIdZuw,10001037,51.11
t3oOvEIdZuw,10000709,100.0
t3oOvEIdZuw,10001984,100.0
t3oOvEIdZuw,10000887,50.0
t3oOvEIdZuw,10000232,90.91
t3oOvEIdZuw,10000196,51.11
t3oOvEIdZuw,10001482,100.0
t3oOvEIdZuw,10000383,61.33
t3oOvEIdZuw,10002149,100.0
t3oOvEIdZuw,10002188,43.33
t3oOvEIdZuw,10001455,100.0
t3oOvEIdZuw,10002150,100.0
t3oOvEIdZuw,10000565,50.0
t3oOvEIdZuw,10001759,100.0
t3oOvEIdZuw,10001734,100.0
t3oOvEIdZuw,10002097,100.0
t3oOvEIdZuw,10001041,100.0
t3oOvEIdZuw,10002206,33.33
t3oOvEIdZuw,10000715,50.0
t3oOvEIdZuw,10001128,41.67
t3oOvEIdZuw,10001227,0.0
t3oOvEIdZuw,10001301,100.0
t3oOvEIdZuw,10002042,50.0
t3oOvEIdZuw,10001918,90.0
t3oOvEIdZuw,10001904,63.16
t3oOvEIdZuw,10000141,95.0
t3oOvEIdZuw,10000144,100.0
t3oOvEIdZuw,10002213,100.0
t3oOvEIdZuw,10002207,100.0
t3oOvEIdZuw,10002212,52.63
t3oOvEIdZuw,10000613,100.0
t3oOvEIdZuw,10000258,50.0
t3oOvEIdZuw,10000472,0.0
t3oOvEIdZuw,10000511,100.0
t3oOvEIdZuw,10002101,100.0
t3oOvEIdZuw,10001630,95.0
t3oOvEIdZuw,10000992,100.0
t3oOvEIdZuw,10002189,90.0
t3oOvEIdZuw,10000146,100.0
t3oOvEIdZuw,10001076,100.0
t3oOvEIdZuw,10000236,90.91
t3oOvEIdZuw,10000678,83.33
t3oOvEIdZuw,10000167,100.0
t3oOvEIdZuw,10002027,100.0
t3oOvEIdZuw,10000241,100.0
t3oOvEIdZuw,10002056,50.0
t3oOvEIdZuw,10001077,100.0
t3oOvEIdZuw,10001633,100.0
t3oOvEIdZuw,10000482,100.0
t3oOvEIdZuw,10000074,100.0
t3oOvEIdZuw,10001760,100.0
t3oOvEIdZuw,10000486,51.52
t3oOvEIdZuw,10001230,83.33
t3oOvEIdZuw,10001303,100.0
t3oOvEIdZuw,10001842,100.0
t3oOvEIdZuw,10001459,100.0
t3oOvEIdZuw,10000173,66.67
t3oOvEIdZuw,10001780,100.0
t3oOvEIdZuw,10001580,100.0
t3oOvEIdZuw,10001817,100.0
t3oOvEIdZuw,10002106,100.0
t3oOvEIdZuw,10000246,75.0
t3oOvEIdZuw,10001848,100.0
t3oOvEIdZuw,10000924,46.67
t3oOvEIdZuw,10002085,52.63
t3oOvEIdZuw,10000892,86.67
t3oOvEIdZuw,10000978,100.0
t3oOvEIdZuw,10002015,100.0
t3oOvEIdZuw,10001426,35.71
t3oOvEIdZuw,10000656,52.63
t3oOvEIdZuw,10001080,100.0
t3oOvEIdZuw,10002211,50.0
t3oOvEIdZuw,10000792,85.0
t3oOvEIdZuw,10000323,33.33
t3oOvEIdZuw,10000488,81.52
t3oOvEIdZuw,10000212,100.0
t3oOvEIdZuw,10002088,51.11
t3oOvEIdZuw,10001382,66.67
t3oOvEIdZuw,10000979,0.0
t3oOvEIdZuw,10002017,94.74
t3oOvEIdZuw,10002058,50.0
t3oOvEIdZuw,10000983,0.0
t3oOvEIdZuw,10000721,100.0
t3oOvEIdZuw,10000725,71.43
t3oOvEIdZuw,10001988,90.0
t3oOvEIdZuw,10000218,100.0
t3oOvEIdZuw,10000794,100.0
t3oOvEIdZuw,10001870,100.0
t3oOvEIdZuw,10002048,51.11
t3oOvEIdZuw,10000619,100.0
t3oOvEIdZuw,10000249,91.67
t3oOvEIdZuw,10001591,100.0
t3oOvEIdZuw,10000113,41.5
t3oOvEIdZuw,10000629,76.92
t3oOvEIdZuw,10001388,50.0
t3oOvEIdZuw,10000986,100.0
t3oOvEIdZuw,10001882,100.0
t3oOvEIdZuw,10000489,66.67
t3oOvEIdZuw,10001543,61.11
t3oOvEIdZuw,10000926,92.0
t3oOvEIdZuw,10001785,100.0
t3oOvEIdZuw,10001706,100.0
t3oOvEIdZuw,10001707,87.5
t3oOvEIdZuw,10001763,100.0
t3oOvEIdZuw,10000443,95.0
t3oOvEIdZuw,10001708,100.0
t3oOvEIdZuw,10001902,100.0
t3oOvEIdZuw,10000181,51.11
t3oOvEIdZuw,10001991,55.56
t3oOvEIdZuw,10000903,100.0
t3oOvEIdZuw,10002094,85.0
t3oOvEIdZuw,10000682,61.33
t3oOvEIdZuw,10001168,100.0
t3oOvEIdZuw,10000120,100.0
t3oOvEIdZuw,10000634,100.0
t3oOvEIdZuw,10001322,55.0
t3oOvEIdZuw,10000658,55.56
t3oOvEIdZuw,10000567,76.92
t3oOvEIdZuw,10002028,90.91
t3oOvEIdZuw,10000568,50.0
t3oOvEIdZuw,10000404,100.0
t3oOvEIdZuw,10001135,100.0
t3oOvEIdZuw,10002223,66.67
t3oOvEIdZuw,10001083,41.46
t3oOvEIdZuw,10000551,52.63
t3oOvEIdZuw,10000691,100.0
t3oOvEIdZuw,10002232,52.63
t3oOvEIdZuw,10000080,100.0
t3oOvEIdZuw,10002061,50.0
t3oOvEIdZuw,10002063,100.0
t3oOvEIdZuw,10001395,50.0
t3oOvEIdZuw,10000250,110.0
t3oOvEIdZuw,10001547,70.0
t3oOvEIdZuw,10001824,100.0
t3oOvEIdZuw,10000252,100.0
t3oOvEIdZuw,10000456,100.0
t3oOvEIdZuw,10001272,100.0
t3oOvEIdZuw,10000988,100.0
t3oOvEIdZuw,10001305,100.0
t3oOvEIdZuw,10000518,50.0
t3oOvEIdZuw,10001238,58.82
t3oOvEIdZuw,10000961,100.0
t3oOvEIdZuw,10001355,50.0
t3oOvEIdZuw,10001947,30.0
t3oOvEIdZuw,10000802,100.0
t3oOvEIdZuw,10001402,100.0
t3oOvEIdZuw,10000928,16.0
t3oOvEIdZuw,10001594,50.0
t3oOvEIdZuw,10001603,69.57
t3oOvEIdZuw,10002231,100.0
t3oOvEIdZuw,10001405,34.07
t3oOvEIdZuw,10000500,91.3
t3oOvEIdZuw,10001551,52.63
t3oOvEIdZuw,10001636,56.52
t3oOvEIdZuw,10001003,95.0
t3oOvEIdZuw,10000458,100.0
t3oOvEIdZuw,10002029,100.0
t3oOvEIdZuw,10001327,46.0
t3oOvEIdZuw,10001085,92.0
t3oOvEIdZuw,10001330,70.59
t3oOvEIdZuw,10002119,100.0
t3oOvEIdZuw,10000270,74.07
t3oOvEIdZuw,10001011,100.0
t3oOvEIdZuw,10000991,74.07
t3oOvEIdZuw,10001019,100.0
t3oOvEIdZuw,10001710,100.0
t3oOvEIdZuw,10000931,100.0
t3oOvEIdZuw,10000813,64.29
t3oOvEIdZuw,10001412,92.0
t3oOvEIdZuw,10001678,58.82
t3oOvEIdZuw,10000817,100.0
t3oOvEIdZuw,10000659,100.0
t3oOvEIdZuw,10001333,50.0
t3oOvEIdZuw,10000660,100.0
t3oOvEIdZuw,10000430,64.13
t3oOvEIdZuw,10001826,50.0
t3oOvEIdZuw,10000128,58.82
t3oOvEIdZuw,10001279,90.91
t3oOvEIdZuw,10000727,100.0
t3oOvEIdZuw,10000640,92.31
t3oOvEIdZuw,10000829,9.52
t3oOvEIdZuw,10001493,60.0
t3oOvEIdZuw,10001415,58.82
t3oOvEIdZuw,10000694,50.0
