Data,Organisation unit,Value
EI3rYMbue2l,4001,0.0
EI3rYMbue2l,2003,0.0
EI3rYMbue2l,1004,0.0
EI3rYMbue2l,1006,0.0
EI3rYMbue2l,1009,0.0
EI3rYMbue2l,5010,0.0
EI3rYMbue2l,2012,0.0
EI3rYMbue2l,2013,0.0
EI3rYMbue2l,5070,0.0
EI3rYMbue2l,2015,0.0
EI3rYMbue2l,4018,0.0
EI3rYMbue2l,2022,0.0
EI3rYMbue2l,2019,0.0
EI3rYMbue2l,3026,0.0
EI3rYMbue2l,5527,0.0
EI3rYMbue2l,3029,0.0
EI3rYMbue2l,2030,0.0
EI3rYMbue2l,5532,0.0
EI3rYMbue2l,3033,0.0
EI3rYMbue2l,3035,0.0
EI3rYMbue2l,6036,0.0
EI3rYMbue2l,3039,0.0
EI3rYMbue2l,4041,0.0
EI3rYMbue2l,1042,0.0
EI3rYMbue2l,4044,0.0
EI3rYMbue2l,5038,0.0
EI3rYMbue2l,2046,0.0
EI3rYMbue2l,4047,0.0
EI3rYMbue2l,3048,0.0
EI3rYMbue2l,5549,0.0
EI3rYMbue2l,4050,0.0
EI3rYMbue2l,2051,0.0
EI3rYMbue2l,5552,0.0
EI3rYMbue2l,3054,0.0
EI3rYMbue2l,4055,0.0
EI3rYMbue2l,3056,0.0
EI3rYMbue2l,6058,0.0
EI3rYMbue2l,4057,0.0
EI3rYMbue2l,3059,0.0
EI3rYMbue2l,3061,0.0
EI3rYMbue2l,5064,0.0
EI3rYMbue2l,4065,0.0
EI3rYMbue2l,3067,0.0
EI3rYMbue2l,3068,0.0
EI3rYMbue2l,5069,0.0
EI3rYMbue2l,3072,0.0
EI3rYMbue2l,5573,0.0
EI3rYMbue2l,2075,0.0
EI3rYMbue2l,5076,0.0
EI3rYMbue2l,5577,0.0
EI3rYMbue2l,1078,0.0
EI3rYMbue2l,1079,0.0
EI3rYMbue2l,3082,0.0
EI3rYMbue2l,5081,0.0
EI3rYMbue2l,2084,0.0
EI3rYMbue2l,5585,0.0
EI3rYMbue2l,4087,0.0
EI3rYMbue2l,3086,0.0
EI3rYMbue2l,3089,0.0
EI3rYMbue2l,5088,0.0
EI3rYMbue2l,6090,0.0
EI3rYMbue2l,6091,0.0
EI3rYMbue2l,3093,0.0
EI3rYMbue2l,5594,0.0
x8f1fsbgspb,4001,0.0
x8f1fsbgspb,2003,0.0
x8f1fsbgspb,1004,0.0
x8f1fsbgspb,1006,0.0
x8f1fsbgspb,1009,0.0
x8f1fsbgspb,5010,0.0
x8f1fsbgspb,2012,0.0
x8f1fsbgspb,2013,0.0
x8f1fsbgspb,5070,0.0
x8f1fsbgspb,2015,0.0
x8f1fsbgspb,4018,0.0
x8f1fsbgspb,2022,0.0
x8f1fsbgspb,2019,0.0
x8f1fsbgspb,3026,0.0
x8f1fsbgspb,5527,0.0
x8f1fsbgspb,3029,0.0
x8f1fsbgspb,2030,0.0
x8f1fsbgspb,5532,0.0
