Data,Organisation unit,Value
EI3rYMbue2l,10001041,0.0
x8f1fsbgspb,10001041,0.0
HxwqpvzmJV4,10001041,0.0
Tb08sQ3xcn4,10001041,0.0
uznA9OyJNEG,10001041,0.0
ejJ74EhyVsv,10001041,0.0
gwmSnnQRC7u,10001041,0.0
N1opsko7EBj,10001041,0.0
Aubbtd6OM45,10001041,0.0
VYH70IdtGqM,10001041,0.0
sGE6hRoWQyn,10001041,0.0
lyqjhz0sut9,10001041,0.0
q4u6nO8opU5,10001041,0.0
ZdZpBwyFhrl,10001041,0.0
av9MeJPv28w,10001041,0.0
CnooD1a3grw,10001041,0.0
YCMoL2OBJhx,10001041,0.0
mKZOjOtSpxu,10001041,0.0
CLvYdNx2pBM,10001041,0.0
efvu4WiuTJf,10001041,1.0
vmUjJ2XEloq,10001041,0.0
fSeMC8roaYF,10001041,0.0
XOz7rs9Y9JF,10001041,0.0
l70oMhAE2b6,10001041,0.0
np83Y3o2PPn,10001041,0.0
LcAEGk3pi56,10001041,0.0
x0WBXjsnCU7,10001041,0.0
Cksc14v34T0,10001041,0.0
seIH1bTIg3E,10001041,0.0
dWpI8sxK04U,10001041,0.0
imryQcDshCR,10001041,0.0
cvmk5zqvXeH,10001041,0.0
q1CNgq5lZvc,10001041,0.0
MZlmfUhHIlk,10001041,0.0
jSmndRkIhMM,10001041,0.0
et0KvtAzIrE,10001041,0.0
cQvSyvQK48k,10001041,0.0
E4ok1886ms3,10001041,0.0
SS0fgcfAr0O,10001041,0.0
MfzX9NbM1PJ,10001041,0.0
LcTR6fImihq,10001041,0.0
OeEIpU6tMbi,10001041,0.0
CPBEzNXKzKe,10001041,0.0
D7PlP5JOLSd,10001041,0.0
PFHbvrqGPXp,10001041,0.0
o9Npnjn9Qra,10001041,0.0
yVwUnjZb0qz,10001041,0.0
YGrICUOrLIW,10001041,0.0
mJn2vQerOPB,10001041,0.0
HBX4sSho9wx,10001041,0.0
CbO7PVV9pNZ,10001041,0.0
BpiST14EOVt,10001041,0.0
BTybGEUHTQU,10001041,0.0
IMSYlq06AjU,10001041,0.0
GM3YX8qyvDJ,10001041,0.0
sEWojO0GExj,10001041,0.0
ZezrRDIjS1R,10001041,0.0
rcqlaeckI1M,10001041,0.0
isbJX5ji1k8,10001041,0.0
ck5podAYAa7,10001041,0.0
oeIML9nPKIq,10001041,0.0
e1KjOzKceYQ,10001041,0.0
XlrMZNuyW5z,10001041,0.0
cZslqGPS4lz,10001041,0.0
BhvDcqDEqqP,10001041,0.0
Doc6QPpXVyX,10001041,0.0
mkNVHqxIaSi,10001041,0.0
wWNxlalc7Xw,10001041,0.0
MNuIOoVWn0F,10001041,0.0
KMg4VrE4pzw,10001041,0.0
RqzAlorrdHN,10001041,0.0
mSEPPds9zzr,10001041,0.0
PIdnLuHuXV8,10001041,0.0
oxA2LYPZlYK,10001041,0.0
h8uImHDfpTM,10001041,0.0
RDgFcsLRNrW,10001041,0.0
paEZA8h67KR,10001041,0.0
lgxh0pOCxvW,10001041,0.0
QJq4xwdmmOL,10001041,0.0
TmFjEzMJjhp,10001041,0.0
SCla86gD1aS,10001041,0.0
pKL7OmQVKxa,10001041,0.0
FEY6Oy8NjV5,10001041,0.0
Z6Vj387VNc9,10001041,0.0
RupHfOp40xc,10001041,0.0
ia49PNl9nqG,10001041,0.0
REkOPqEryBI,10001041,0.0
gjgTeTyZt7P,10001041,0.0
KqT2OU1Oy1M,10001041,0.0
gz4gkBlUqgh,10001041,0.0
m38sKxRWXtc,10001041,0.0
EUSFQfmTA69,10001041,0.0
CypT5H6B5uD,10001041,0.0
UIR95LfwWwg,10001041,0.0
IfK7MUuuIDj,10001041,0.0
JSbhn0D75U8,10001041,0.0
MOSzj59II62,10001041,0.0
Uq0MtaWM3j3,10001041,0.0
gNKLqXDmprH,10001041,0.0
NIavq6T3Pf7,10001041,0.0
zrJO1FCiLot,10001041,0.0
IDU0t53RWqy,10001041,0.0
B2z10Q98Uwa,10001041,0.0
PgUW1bROlQ9,10001041,0.0
xVRIBuPDQdt,10001041,0.0
u83uMwQuvs7,10001041,163.0
ptQkkw0IzXw,10001041,163.0
FdsTsK9QNCp,10001041,950.0
gghx9aX59ZT,10001041,1.0
iKjjmAqyYFc,10001041,27.0
d3XdG5iNSUl,10001041,0.0
nXCg33uZwQJ,10001041,0.0
kGJyQdqqHsg,10001041,212.0
Chi7GSaZ5xk,10001041,212.0
WcBnPVrtqSn,10001041,0.0
vAjwDNUdws4,10001041,304.0
QlOFy6mLHbW,10001041,0.0
H7HfRqeFZxB,10001041,0.0
L45ACIf3rnz,10001041,1422.0
cRRbfcVGIGv,10001041,84.0
ekegemUgTmC,10001041,0.0
rpBVWzR9k7x,10001041,938.0
PUtXERMQqmZ,10001041,0.0
VfXqEEhJppv,10001041,17060.0
UGeco18bkBw,10001041,266.0
rmfdFDByfpJ,10001041,481.0
YJZugMhElzv,10001041,2080.0
HMgPe46r5nM,10001041,325.0
pU5EVD65ra5,10001041,16.0
WEcXFs4i9AU,10001041,12.0
fssgPuat4ch,10001041,0.0
UHYhRhZoKVG,10001041,1.0
txOjIiNEn2u,10001041,29.0
UOWAbhHahW6,10001041,0.0
G1K7kn16CrW,10001041,0.0
zuDIz7lpUee,10001041,0.0
cMydSl88Mgv,10001041,0.0
DQHxP06HXaN,10001041,0.0
NX8aUmQdoju,10001041,0.0
RGYEpi52dXu,10001041,0.0
nne4o6PgXUO,10001041,0.0
hgl8NoShmqs,10001041,0.0
