Data,Organisation unit,Value
District EPI AEFI Form need with buffer,Bagerhat District,0.0
District EPI AEFI Form need with buffer,Bandarban District,12.0
District EPI AEFI Form need with buffer,Barguna District,0.0
District EPI AEFI Form need with buffer,Barishal District,48.0
District EPI AEFI Form need with buffer,Bhola District,0.0
District EPI AEFI Form need with buffer,Bogura District,130.0
District EPI AEFI Form need with buffer,Brahmanbaria District,642.0
District EPI AEFI Form need with buffer,Chandpur District,3300.0
District EPI AEFI Form need with buffer,Chapai Nababganj District,0.0
District EPI AEFI Form need with buffer,Chattogram District,3500.0
District EPI AEFI Form need with buffer,Chuadanga District,0.0
District EPI AEFI Form need with buffer,Coxs Bazar District,0.0
District EPI AEFI Form need with buffer,Cumilla District,0.0
District EPI AEFI Form need with buffer,Dhaka District,150.0
District EPI AEFI Form need with buffer,Dinajpur District,0.0
District EPI AEFI Form need with buffer,Faridpur District,1200.0
District EPI AEFI Form need with buffer,Feni District,0.0
District EPI AEFI Form need with buffer,Gaibandha District,0.0
District EPI AEFI Form need with buffer,Gazipur District,310.0
District EPI AEFI Form need with buffer,Gopalganj District,4000.0
District EPI AEFI Form need with buffer,Habiganj District,160.0
District EPI AEFI Form need with buffer,Jamalpur District,57.0
District EPI AEFI Form need with buffer,Jashore District,280.0
District EPI AEFI Form need with buffer,Jhalokati District,120.0
District EPI AEFI Form need with buffer,Jhenaidaha District,1600.0
District EPI AEFI Form need with buffer,Joypurhat District,106.0
District EPI AEFI Form need with buffer,Khagrachhari District,42.0
District EPI AEFI Form need with buffer,Khulna District,100.0
District EPI AEFI Form need with buffer,Kishoreganj District,0.0
District EPI AEFI Form need with buffer,Kurigram District,1030.0
District EPI AEFI Form need with buffer,Kustia District,1000.0
District EPI AEFI Form need with buffer,Laksmipur District,20.0
District EPI AEFI Form need with buffer,Lalmonirhat District,80.0
District EPI AEFI Form need with buffer,Madaripur District,2500.0
District EPI AEFI Form need with buffer,Magura District,415.0
District EPI AEFI Form need with buffer,Manikganj District,0.0
District EPI AEFI Form need with buffer,Maulavi Bazar District,20.0
District EPI AEFI Form need with buffer,Meherpur District,22.0
District EPI AEFI Form need with buffer,Munshiganj District,0.0
District EPI AEFI Form need with buffer,Mymensingh District,500.0
District EPI AEFI Form need with buffer,Naogaon District,1650.0
District EPI AEFI Form need with buffer,Narail District,700.0
District EPI AEFI Form need with buffer,Narayanganj District,0.0
District EPI AEFI Form need with buffer,Narshingdi District,0.0
District EPI AEFI Form need with buffer,Natore District,166.0
District EPI AEFI Form need with buffer,Netrokona District,0.0
District EPI AEFI Form need with buffer,Nilphamari District,400.0
District EPI AEFI Form need with buffer,Noakhali District,300.0
District EPI AEFI Form need with buffer,Pabna District,2034.0
District EPI AEFI Form need with buffer,Panchagarh District,250.0
District EPI AEFI Form need with buffer,Patuakhali District,350.0
District EPI AEFI Form need with buffer,Pirojpur District,600.0
District EPI AEFI Form need with buffer,Rajbari District,176.0
District EPI AEFI Form need with buffer,Rajshahi District,360.0
District EPI AEFI Form need with buffer,Rangamati District,0.0
District EPI AEFI Form need with buffer,Rangpur District,1200.0
District EPI AEFI Form need with buffer,Satkhira District,35.0
District EPI AEFI Form need with buffer,Shariatpur District,216.0
District EPI AEFI Form need with buffer,Sherpur District,2310.0
District EPI AEFI Form need with buffer,Sirajganj District,8015.0
District EPI AEFI Form need with buffer,Sunamganj District,0.0
District EPI AEFI Form need with buffer,Sylhet District,0.0
District EPI AEFI Form need with buffer,Tangail District,130.0
District EPI AEFI Form need with buffer,Thakurgaon District,480.0
District EPI AEFI Investigation need with buffer,Bagerhat District,0.0
District EPI AEFI Investigation need with buffer,Bandarban District,25.0
District EPI AEFI Investigation need with buffer,Barguna District,0.0
District EPI AEFI Investigation need with buffer,Barishal District,48.0
District EPI AEFI Investigation need with buffer,Bhola District,200.0
District EPI AEFI Investigation need with buffer,Bogura District,45.0
District EPI AEFI Investigation need with buffer,Brahmanbaria District,11.0
District EPI AEFI Investigation need with buffer,Chandpur District,0.0
District EPI AEFI Investigation need with buffer,Chapai Nababganj District,0.0
District EPI AEFI Investigation need with buffer,Chattogram District,2000.0
District EPI AEFI Investigation need with buffer,Chuadanga District,0.0
District EPI AEFI Investigation need with buffer,Coxs Bazar District,100.0
District EPI AEFI Investigation need with buffer,Cumilla District,0.0
District EPI AEFI Investigation need with buffer,Dhaka District,50.0
District EPI AEFI Investigation need with buffer,Dinajpur District,50.0
District EPI AEFI Investigation need with buffer,Faridpur District,700.0
District EPI AEFI Investigation need with buffer,Feni District,0.0
District EPI AEFI Investigation need with buffer,Gaibandha District,0.0
District EPI AEFI Investigation need with buffer,Gazipur District,70.0
District EPI AEFI Investigation need with buffer,Gopalganj District,1030.0
District EPI AEFI Investigation need with buffer,Habiganj District,0.0
District EPI AEFI Investigation need with buffer,Jamalpur District,10.0
District EPI AEFI Investigation need with buffer,Jashore District,280.0
