Data,Organisation unit,Value
oWkwB8F0w3f,4001,960.0
oWkwB8F0w3f,2003,5588.0
oWkwB8F0w3f,1004,-5898.0
oWkwB8F0w3f,1006,26298.0
oWkwB8F0w3f,1009,9853.0
oWkwB8F0w3f,5010,-16606.0
oWkwB8F0w3f,2012,-25560.0
oWkwB8F0w3f,2013,-21154.0
oWkwB8F0w3f,5070,-39916.0
oWkwB8F0w3f,2015,-72324.0
oWkwB8F0w3f,4018,-15407.0
oWkwB8F0w3f,2022,-21546.0
oWkwB8F0w3f,2019,-100119.0
oWkwB8F0w3f,3026,-4620.0
oWkwB8F0w3f,5527,-7315.0
oWkwB8F0w3f,3029,-13626.0
oWkwB8F0w3f,2030,-7472.0
oWkwB8F0w3f,5532,-50798.0
oWkwB8F0w3f,3033,14304.0
oWkwB8F0w3f,3035,4481.0
oWkwB8F0w3f,6036,-44819.0
oWkwB8F0w3f,3039,15143.0
oWkwB8F0w3f,4041,-31342.0
oWkwB8F0w3f,1042,5503.0
oWkwB8F0w3f,4044,4527.0
oWkwB8F0w3f,5038,-1593.0
oWkwB8F0w3f,2046,1857.0
oWkwB8F0w3f,4047,13652.0
oWkwB8F0w3f,3048,-34861.0
oWkwB8F0w3f,5549,8567.0
oWkwB8F0w3f,4050,-24447.0
oWkwB8F0w3f,2051,-23278.0
oWkwB8F0w3f,5552,-14517.0
oWkwB8F0w3f,3054,-14536.0
oWkwB8F0w3f,4055,-5653.0
oWkwB8F0w3f,3056,6326.0
oWkwB8F0w3f,6058,-37645.0
oWkwB8F0w3f,4057,-8863.0
oWkwB8F0w3f,3059,-12953.0
oWkwB8F0w3f,3061,-99255.0
oWkwB8F0w3f,5064,-1789.0
oWkwB8F0w3f,4065,-3149.0
oWkwB8F0w3f,3067,-1390.0
oWkwB8F0w3f,3068,-44181.0
oWkwB8F0w3f,5069,30769.0
oWkwB8F0w3f,3072,12159.0
oWkwB8F0w3f,5573,4660.0
oWkwB8F0w3f,2075,-25454.0
oWkwB8F0w3f,5076,-51949.0
oWkwB8F0w3f,5577,-15001.0
oWkwB8F0w3f,1078,-4280.0
oWkwB8F0w3f,1079,715.0
oWkwB8F0w3f,3082,-18551.0
oWkwB8F0w3f,5081,119771.0
oWkwB8F0w3f,2084,-2342.0
oWkwB8F0w3f,5585,-53027.0
oWkwB8F0w3f,4087,-31771.0
oWkwB8F0w3f,3086,18199.0
oWkwB8F0w3f,3089,3254.0
oWkwB8F0w3f,5088,-8645.0
oWkwB8F0w3f,6090,-4041.0
oWkwB8F0w3f,6091,-39637.0
oWkwB8F0w3f,3093,4883.0
oWkwB8F0w3f,5594,3631.0
cdqjn347Zbe,4001,205851.0
cdqjn347Zbe,2003,71961.0
cdqjn347Zbe,1004,185155.0
cdqjn347Zbe,1006,373293.0
cdqjn347Zbe,1009,354644.0
cdqjn347Zbe,5010,499612.0
cdqjn347Zbe,2012,773938.0
cdqjn347Zbe,2013,526962.0
cdqjn347Zbe,5070,350169.0
cdqjn347Zbe,2015,1523878.0
cdqjn347Zbe,4018,204109.0
cdqjn347Zbe,2022,425115.0
cdqjn347Zbe,2019,1478807.0
