Data,Organisation unit,Value
oWkwB8F0w3f,10001737,-4234.0
oWkwB8F0w3f,10001095,-3639.0
oWkwB8F0w3f,10001339,-4703.0
oWkwB8F0w3f,10001948,-2444.0
oWkwB8F0w3f,10000663,-4368.0
oWkwB8F0w3f,10001289,-1843.0
oWkwB8F0w3f,10001719,-6176.0
oWkwB8F0w3f,10000085,-2548.0
oWkwB8F0w3f,10000652,-630.0
oWkwB8F0w3f,10001933,-4869.0
oWkwB8F0w3f,10000729,567.0
oWkwB8F0w3f,10000415,-8971.0
oWkwB8F0w3f,10000665,-5552.0
oWkwB8F0w3f,10001914,-5152.0
oWkwB8F0w3f,10001472,-3442.0
oWkwB8F0w3f,10000466,-2778.0
oWkwB8F0w3f,10001363,-539.0
oWkwB8F0w3f,10001500,-2409.0
oWkwB8F0w3f,10000223,-2295.0
oWkwB8F0w3f,10002074,-1778.0
oWkwB8F0w3f,10001955,-521.0
oWkwB8F0w3f,10001370,-3884.0
oWkwB8F0w3f,10001575,-6042.0
oWkwB8F0w3f,10001417,-1354.0
oWkwB8F0w3f,10001527,-2641.0
oWkwB8F0w3f,10001067,-2078.0
oWkwB8F0w3f,10001741,-3174.0
oWkwB8F0w3f,10001523,-3324.0
oWkwB8F0w3f,10002075,-64.0
oWkwB8F0w3f,10000227,-7122.0
oWkwB8F0w3f,10001963,-1469.0
oWkwB8F0w3f,10000188,-2542.0
oWkwB8F0w3f,10002164,1777.0
oWkwB8F0w3f,10001671,2388.0
oWkwB8F0w3f,10000505,-4640.0
oWkwB8F0w3f,10001937,197.0
oWkwB8F0w3f,10001966,7219.0
oWkwB8F0w3f,10000667,-3147.0
oWkwB8F0w3f,10000420,-11902.0
oWkwB8F0w3f,10002077,-8121.0
oWkwB8F0w3f,10000734,-12889.0
oWkwB8F0w3f,10001421,-5071.0
oWkwB8F0w3f,10000468,-5009.0
oWkwB8F0w3f,10001070,-2300.0
oWkwB8F0w3f,10002096,-7504.0
oWkwB8F0w3f,10000842,-11650.0
oWkwB8F0w3f,10000581,-2381.0
oWkwB8F0w3f,10001792,-1557.0
oWkwB8F0w3f,10002033,-8863.0
oWkwB8F0w3f,10002172,-2491.0
oWkwB8F0w3f,10001028,-14395.0
oWkwB8F0w3f,10000436,-4246.0
oWkwB8F0w3f,10001072,-747.0
oWkwB8F0w3f,10001624,-18.0
oWkwB8F0w3f,10001476,-7962.0
oWkwB8F0w3f,10001945,-163.0
oWkwB8F0w3f,10000230,-5595.0
oWkwB8F0w3f,10000352,11738.0
oWkwB8F0w3f,10002055,-1622.0
oWkwB8F0w3f,10000089,-3542.0
oWkwB8F0w3f,10001473,-2178.0
oWkwB8F0w3f,10000541,706.0
oWkwB8F0w3f,10001830,-4010.0
oWkwB8F0w3f,10001163,-822.0
oWkwB8F0w3f,10000586,-4293.0
oWkwB8F0w3f,10001308,-5092.0
oWkwB8F0w3f,10013108,360.0
oWkwB8F0w3f,10001189,-2777.0
oWkwB8F0w3f,10001193,-8053.0
oWkwB8F0w3f,10001200,9596.0
oWkwB8F0w3f,10002127,-4401.0
oWkwB8F0w3f,10002177,-47.0
