Data,Organisation unit,Value
Differences between Pentavalent doses and vial uses,Abhaynagar Upazila,1008.0
Differences between Pentavalent doses and vial uses,Adamdighi Upazila,0.0
Differences between Pentavalent doses and vial uses,Aditmari Upazila,1243.0
Differences between Pentavalent doses and vial uses,Agailjhara Upazila,-44.0
Differences between Pentavalent doses and vial uses,Ajmiriganj Upazila,49.0
Differences between Pentavalent doses and vial uses,Akhaura Upazila,-162.0
Differences between Pentavalent doses and vial uses,Akkelpur Upazila,1.0
Differences between Pentavalent doses and vial uses,Alamdanga Upazila,-127.0
Differences between Pentavalent doses and vial uses,Alfadanga Upazila,167.0
Differences between Pentavalent doses and vial uses,Alikadam Upazila,-131.0
Differences between Pentavalent doses and vial uses,Amtali Upazila,-114.0
Differences between Pentavalent doses and vial uses,Anowara Upazila,49.0
Differences between Pentavalent doses and vial uses,Araihazar Upazila,-22.0
Differences between Pentavalent doses and vial uses,Ashuganj Upazila,666.0
Differences between Pentavalent doses and vial uses,Assasuni Upazila,-129.0
Differences between Pentavalent doses and vial uses,Atgharia Upazila,186.0
Differences between Pentavalent doses and vial uses,Atpara Upazila,600.0
Differences between Pentavalent doses and vial uses,Atrai Upazila,17.0
Differences between Pentavalent doses and vial uses,Atwari Upazila,4.0
Differences between Pentavalent doses and vial uses,Austagram Upazila,4571.0
Differences between Pentavalent doses and vial uses,Babuganj Upazila,-13.0
Differences between Pentavalent doses and vial uses,Badalgachhi Upazila,-20.0
Differences between Pentavalent doses and vial uses,Badarganj Upazila,1854.0
Differences between Pentavalent doses and vial uses,Bagatipara Upazila,1358.0
Differences between Pentavalent doses and vial uses,Bagerhat Sadar Upazila,-1.0
Differences between Pentavalent doses and vial uses,Bagha Upazila,-114.0
Differences between Pentavalent doses and vial uses,Baghai Chhari Upazila,-348.0
Differences between Pentavalent doses and vial uses,Bagherpara Upazila,-2.0
Differences between Pentavalent doses and vial uses,Baghmara Upazila,465.0
Differences between Pentavalent doses and vial uses,Bahubal Upazila,1412.0
Differences between Pentavalent doses and vial uses,Bajitpur Upazila,-2431.0
Differences between Pentavalent doses and vial uses,Bakerganj Upazila,415.0
Differences between Pentavalent doses and vial uses,Bakshiganj Upazila,-418.0
Differences between Pentavalent doses and vial uses,Balaganj Upazila,0.0
Differences between Pentavalent doses and vial uses,Baliadangi Upazila,1143.0
Differences between Pentavalent doses and vial uses,Baliakandi Upazila,-61.0
Differences between Pentavalent doses and vial uses,Bamna Upazila,-6.0
Differences between Pentavalent doses and vial uses,Banaripara Upazila,-852.0
Differences between Pentavalent doses and vial uses,Banchharampur Upazila,-429.0
Differences between Pentavalent doses and vial uses,Bandar Upazila,-5966.0
Differences between Pentavalent doses and vial uses,Bandarban Sadar Upazila,-2967.0
Differences between Pentavalent doses and vial uses,Baniachong Upazila,381.0
Differences between Pentavalent doses and vial uses,Banshkhali Upazila,-24.0
Differences between Pentavalent doses and vial uses,Baraigram Upazila,766.0
Differences between Pentavalent doses and vial uses,Barguna Sadar Upazila,-76.0
Differences between Pentavalent doses and vial uses,Barhatta Upazila,0.0
Differences between Pentavalent doses and vial uses,Barisal Sadar Upazila,1448.0
Differences between Pentavalent doses and vial uses,Barkal Upazila,-950.0
Differences between Pentavalent doses and vial uses,Barlekha Upazila,-2688.0
Differences between Pentavalent doses and vial uses,Barura Upazila,6192.0
Differences between Pentavalent doses and vial uses,Basail Upazila,-301.0
Differences between Pentavalent doses and vial uses,Batiaghata Upazila,-3.0
Differences between Pentavalent doses and vial uses,Bauphal Upazila,-170.0
Differences between Pentavalent doses and vial uses,Beani Bazar Upazila,420.0
Differences between Pentavalent doses and vial uses,Begumganj Upazila,5221.0
Differences between Pentavalent doses and vial uses,Belabo Upazila,68.0
Differences between Pentavalent doses and vial uses,Belai Chhari Upazila,-73.0
Differences between Pentavalent doses and vial uses,Belkuchi Upazila,-11.0
Differences between Pentavalent doses and vial uses,Bera Upazila,-34.0
Differences between Pentavalent doses and vial uses,Betagi Upazila,0.0
Differences between Pentavalent doses and vial uses,Bhaluka Upazila,-52.0
Differences between Pentavalent doses and vial uses,Bhandaria Upazila,5168.0
Differences between Pentavalent doses and vial uses,Bhanga Upazila,20.0
Differences between Pentavalent doses and vial uses,Bhangura Upazila,-153.0
