Data,Organisation unit,Value
oWkwB8F0w3f,404104,-6.0
oWkwB8F0w3f,501006,0.0
oWkwB8F0w3f,555202,210.0
oWkwB8F0w3f,100602,774.0
oWkwB8F0w3f,603602,0.0
oWkwB8F0w3f,201202,-590.0
oWkwB8F0w3f,503813,12.0
oWkwB8F0w3f,401807,-126.0
oWkwB8F0w3f,302903,133.0
oWkwB8F0w3f,200304,529.0
oWkwB8F0w3f,100409,2767.0
oWkwB8F0w3f,201504,-44.0
oWkwB8F0w3f,306702,-27.0
oWkwB8F0w3f,201233,-62.0
oWkwB8F0w3f,408704,15.0
oWkwB8F0w3f,507605,175.0
oWkwB8F0w3f,307204,2.0
oWkwB8F0w3f,506403,-110.0
oWkwB8F0w3f,557704,0.0
oWkwB8F0w3f,304802,1838.0
oWkwB8F0w3f,100603,-13.0
oWkwB8F0w3f,506406,-65.0
oWkwB8F0w3f,558503,-202.0
oWkwB8F0w3f,506909,1425.0
oWkwB8F0w3f,400108,0.0
oWkwB8F0w3f,508110,174.0
oWkwB8F0w3f,208407,223.0
oWkwB8F0w3f,404109,394.0
oWkwB8F0w3f,508112,-178.0
oWkwB8F0w3f,603605,-18.0
oWkwB8F0w3f,304806,-235.0
oWkwB8F0w3f,100607,-356.0
oWkwB8F0w3f,303907,-81.0
oWkwB8F0w3f,609108,0.0
oWkwB8F0w3f,559408,-142.0
oWkwB8F0w3f,308207,-60.0
oWkwB8F0w3f,100419,0.0
oWkwB8F0w3f,100610,-835.0
oWkwB8F0w3f,201204,-325.0
oWkwB8F0w3f,306706,-2375.0
oWkwB8F0w3f,200314,-1915.0
oWkwB8F0w3f,603611,0.0
oWkwB8F0w3f,201508,4013.0
oWkwB8F0w3f,506915,-110.0
oWkwB8F0w3f,100428,-56.0
oWkwB8F0w3f,307209,-1885.0
oWkwB8F0w3f,100651,1168.0
oWkwB8F0w3f,208421,-804.0
oWkwB8F0w3f,605814,-3052.0
oWkwB8F0w3f,201909,-48.0
oWkwB8F0w3f,309309,38.0
oWkwB8F0w3f,404712,0.0
oWkwB8F0w3f,107838,-23.0
oWkwB8F0w3f,609117,46.0
oWkwB8F0w3f,207507,20.0
oWkwB8F0w3f,306807,10.0
oWkwB8F0w3f,208429,-288.0
oWkwB8F0w3f,508811,1755.0
oWkwB8F0w3f,507616,15.0
oWkwB8F0w3f,100447,-3.0
oWkwB8F0w3f,306113,-385.0
oWkwB8F0w3f,107914,831.0
oWkwB8F0w3f,302910,20.0
oWkwB8F0w3f,507619,-13.0
oWkwB8F0w3f,304811,-22.0
oWkwB8F0w3f,308614,7.0
oWkwB8F0w3f,405015,12.0
oWkwB8F0w3f,100918,-466.0
oWkwB8F0w3f,507018,1176.0
oWkwB8F0w3f,309319,-10.0
oWkwB8F0w3f,554906,0.0
oWkwB8F0w3f,552717,-119.0
oWkwB8F0w3f,552710,1.0
oWkwB8F0w3f,552712,28.0
oWkwB8F0w3f,609018,0.0
oWkwB8F0w3f,609120,0.0
oWkwB8F0w3f,201512,208.0
oWkwB8F0w3f,302918,-247.0
oWkwB8F0w3f,552721,380.0
oWkwB8F0w3f,557725,-203.0
oWkwB8F0w3f,501020,-315.0
oWkwB8F0w3f,201915,-44.0
oWkwB8F0w3f,201213,-1573.0
oWkwB8F0w3f,100921,-10.0
oWkwB8F0w3f,201918,199.0
oWkwB8F0w3f,202216,711.0
oWkwB8F0w3f,201518,929.0
oWkwB8F0w3f,201927,-10.0
oWkwB8F0w3f,201322,-1.0
oWkwB8F0w3f,507066,0.0
oWkwB8F0w3f,302921,707.0
oWkwB8F0w3f,100925,173.0
oWkwB8F0w3f,554908,554.0
oWkwB8F0w3f,508125,108.0
oWkwB8F0w3f,207510,-5.0
oWkwB8F0w3f,507622,10.0
oWkwB8F0w3f,201931,9277.0
oWkwB8F0w3f,404111,21.0
oWkwB8F0w3f,508827,94.0
oWkwB8F0w3f,203014,0.0
oWkwB8F0w3f,609023,0.0
oWkwB8F0w3f,554909,-289.0
oWkwB8F0w3f,552730,321.0
