Data,Organisation unit,Value
Differences between Pentavalent doses and vial uses,Bagerhat District,358.0
Differences between Pentavalent doses and vial uses,Bandarban District,-692.0
Differences between Pentavalent doses and vial uses,Barguna District,0.0
Differences between Pentavalent doses and vial uses,Barishal District,442.0
Differences between Pentavalent doses and vial uses,Bhola District,10.0
Differences between Pentavalent doses and vial uses,Bogura District,2434.0
Differences between Pentavalent doses and vial uses,Brahmanbaria District,-587.0
Differences between Pentavalent doses and vial uses,Chandpur District,720.0
Differences between Pentavalent doses and vial uses,Chapai Nababganj District,-279.0
Differences between Pentavalent doses and vial uses,Chattogram District,477.0
Differences between Pentavalent doses and vial uses,Chuadanga District,94.0
Differences between Pentavalent doses and vial uses,Coxs Bazar District,-5301.0
Differences between Pentavalent doses and vial uses,Cumilla District,827.0
Differences between Pentavalent doses and vial uses,Dhaka District,-11650.0
Differences between Pentavalent doses and vial uses,Dinajpur District,-384.0
Differences between Pentavalent doses and vial uses,Faridpur District,65.0
Differences between Pentavalent doses and vial uses,Feni District,168.0
Differences between Pentavalent doses and vial uses,Gaibandha District,-95.0
Differences between Pentavalent doses and vial uses,Gazipur District,-5433.0
Differences between Pentavalent doses and vial uses,Gopalganj District,1248.0
Differences between Pentavalent doses and vial uses,Habiganj District,143.0
Differences between Pentavalent doses and vial uses,Jamalpur District,1783.0
Differences between Pentavalent doses and vial uses,Jashore District,2044.0
Differences between Pentavalent doses and vial uses,Jhalokati District,-3.0
Differences between Pentavalent doses and vial uses,Jhenaidaha District,343.0
Differences between Pentavalent doses and vial uses,Joypurhat District,73.0
Differences between Pentavalent doses and vial uses,Khagrachhari District,-258.0
Differences between Pentavalent doses and vial uses,Khulna District,2041.0
Differences between Pentavalent doses and vial uses,Kishoreganj District,-1716.0
Differences between Pentavalent doses and vial uses,Kurigram District,1510.0
Differences between Pentavalent doses and vial uses,Kustia District,185.0
Differences between Pentavalent doses and vial uses,Laksmipur District,4139.0
Differences between Pentavalent doses and vial uses,Lalmonirhat District,-18.0
Differences between Pentavalent doses and vial uses,Madaripur District,-1256.0
Differences between Pentavalent doses and vial uses,Magura District,-128.0
Differences between Pentavalent doses and vial uses,Manikganj District,1555.0
Differences between Pentavalent doses and vial uses,Maulavi Bazar District,-1067.0
Differences between Pentavalent doses and vial uses,Meherpur District,-396.0
Differences between Pentavalent doses and vial uses,Munshiganj District,1547.0
Differences between Pentavalent doses and vial uses,Mymensingh District,-1008.0
Differences between Pentavalent doses and vial uses,Naogaon District,690.0
Differences between Pentavalent doses and vial uses,Narail District,-447.0
Differences between Pentavalent doses and vial uses,Narayanganj District,2663.0
Differences between Pentavalent doses and vial uses,Narshingdi District,161.0
Differences between Pentavalent doses and vial uses,Natore District,-607.0
Differences between Pentavalent doses and vial uses,Netrokona District,-91.0
Differences between Pentavalent doses and vial uses,Nilphamari District,233.0
Differences between Pentavalent doses and vial uses,Noakhali District,5496.0
Differences between Pentavalent doses and vial uses,Pabna District,1475.0
Differences between Pentavalent doses and vial uses,Panchagarh District,2.0
Differences between Pentavalent doses and vial uses,Patuakhali District,-129.0
Differences between Pentavalent doses and vial uses,Pirojpur District,-53.0
Differences between Pentavalent doses and vial uses,Rajbari District,-211.0
Differences between Pentavalent doses and vial uses,Rajshahi District,-12.0
Differences between Pentavalent doses and vial uses,Rangamati District,457.0
Differences between Pentavalent doses and vial uses,Rangpur District,604.0
Differences between Pentavalent doses and vial uses,Satkhira District,1057.0
Differences between Pentavalent doses and vial uses,Shariatpur District,88.0
Differences between Pentavalent doses and vial uses,Sherpur District,-1638.0
Differences between Pentavalent doses and vial uses,Sirajganj District,-430.0
Differences between Pentavalent doses and vial uses,Sunamganj District,9.0
Differences between Pentavalent doses and vial uses,Sylhet District,298.0
Differences between Pentavalent doses and vial uses,Tangail District,-1144.0
Differences between Pentavalent doses and vial uses,Thakurgaon District,927.0
Penta vial Opening + Receive,Bagerhat District,137394.0
Penta vial Opening + Receive,Bandarban District,66778.0
Penta vial Opening + Receive,Barguna District,118244.0
Penta vial Opening + Receive,Barishal District,324538.0
Penta vial Opening + Receive,Bhola District,217078.0
Penta vial Opening + Receive,Bogura District,322616.0
Penta vial Opening + Receive,Brahmanbaria District,430523.0
Penta vial Opening + Receive,Chandpur District,312487.0
Penta vial Opening + Receive,Chapai Nababganj District,192601.0
Penta vial Opening + Receive,Chattogram District,1009528.0
Penta vial Opening + Receive,Chuadanga District,120564.0
Penta vial Opening + Receive,Coxs Bazar District,351132.0
Penta vial Opening + Receive,Cumilla District,807721.0
Penta vial Opening + Receive,Dhaka District,1197244.0
Penta vial Opening + Receive,Dinajpur District,312722.0
Penta vial Opening + Receive,Faridpur District,205126.0
Penta vial Opening + Receive,Feni District,229349.0
Penta vial Opening + Receive,Gaibandha District,258534.0
Penta vial Opening + Receive,Gazipur District,416639.0
Penta vial Opening + Receive,Gopalganj District,117422.0
Penta vial Opening + Receive,Habiganj District,259678.0
Penta vial Opening + Receive,Jamalpur District,257041.0
Penta vial Opening + Receive,Jashore District,260477.0
Penta vial Opening + Receive,Jhalokati District,77726.0
Penta vial Opening + Receive,Jhenaidaha District,179098.0
Penta vial Opening + Receive,Joypurhat District,75498.0
Penta vial Opening + Receive,Khagrachhari District,88405.0
Penta vial Opening + Receive,Khulna District,199949.0
Penta vial Opening + Receive,Kishoreganj District,377010.0
Penta vial Opening + Receive,Kurigram District,277715.0
Penta vial Opening + Receive,Kustia District,226466.0
Penta vial Opening + Receive,Laksmipur District,194393.0
Penta vial Opening + Receive,Lalmonirhat District,133474.0
Penta vial Opening + Receive,Madaripur District,135489.0
Penta vial Opening + Receive,Magura District,109011.0
Penta vial Opening + Receive,Manikganj District,140450.0
Penta vial Opening + Receive,Maulavi Bazar District,219485.0
Penta vial Opening + Receive,Meherpur District,60682.0
Penta vial Opening + Receive,Munshiganj District,152315.0
Penta vial Opening + Receive,Mymensingh District,598223.0
Penta vial Opening + Receive,Naogaon District,282191.0
Penta vial Opening + Receive,Narail District,73040.0
Penta vial Opening + Receive,Narayanganj District,348444.0
Penta vial Opening + Receive,Narshingdi District,252929.0
Penta vial Opening + Receive,Natore District,167052.0
Penta vial Opening + Receive,Netrokona District,296307.0
Penta vial Opening + Receive,Nilphamari District,177383.0
Penta vial Opening + Receive,Noakhali District,397347.0
Penta vial Opening + Receive,Pabna District,317158.0
Penta vial Opening + Receive,Panchagarh District,116825.0
Penta vial Opening + Receive,Patuakhali District,196760.0
Penta vial Opening + Receive,Pirojpur District,136958.0
Penta vial Opening + Receive,Rajbari District,120350.0
Penta vial Opening + Receive,Rajshahi District,253182.0
Penta vial Opening + Receive,Rangamati District,72700.0
Penta vial Opening + Receive,Rangpur District,307600.0
Penta vial Opening + Receive,Satkhira District,203279.0
Penta vial Opening + Receive,Shariatpur District,128901.0
Penta vial Opening + Receive,Sherpur District,147882.0
Penta vial Opening + Receive,Sirajganj District,352436.0
Penta vial Opening + Receive,Sunamganj District,313464.0
Penta vial Opening + Receive,Sylhet District,398927.0
Penta vial Opening + Receive,Tangail District,379363.0
Penta vial Opening + Receive,Thakurgaon District,143489.0
Upazila EPI AEFI Form need with buffer,Bagerhat District,665.0
Upazila EPI AEFI Form need with buffer,Bandarban District,125.0
Upazila EPI AEFI Form need with buffer,Barguna District,3917.0
Upazila EPI AEFI Form need with buffer,Barishal District,1847.0
Upazila EPI AEFI Form need with buffer,Bhola District,3556.0
Upazila EPI AEFI Form need with buffer,Bogura District,2095.0
Upazila EPI AEFI Form need with buffer,Brahmanbaria District,321.0
Upazila EPI AEFI Form need with buffer,Chandpur District,1659.0
Upazila EPI AEFI Form need with buffer,Chapai Nababganj District,851.0
Upazila EPI AEFI Form need with buffer,Chattogram District,3327.0
Upazila EPI AEFI Form need with buffer,Chuadanga District,857.0
Upazila EPI AEFI Form need with buffer,Coxs Bazar District,890.0
Upazila EPI AEFI Form need with buffer,Cumilla District,3235.0
Upazila EPI AEFI Form need with buffer,Dhaka District,3162.0
Upazila EPI AEFI Form need with buffer,Dinajpur District,1427.0
Upazila EPI AEFI Form need with buffer,Faridpur District,957.0
Upazila EPI AEFI Form need with buffer,Feni District,1139.0
Upazila EPI AEFI Form need with buffer,Gaibandha District,1358.0
Upazila EPI AEFI Form need with buffer,Gazipur District,235.0
Upazila EPI AEFI Form need with buffer,Gopalganj District,3894.0
Upazila EPI AEFI Form need with buffer,Habiganj District,452.0
Upazila EPI AEFI Form need with buffer,Jamalpur District,3965.0
Upazila EPI AEFI Form need with buffer,Jashore District,2462.0
Upazila EPI AEFI Form need with buffer,Jhalokati District,1010.0
Upazila EPI AEFI Form need with buffer,Jhenaidaha District,2937.0
Upazila EPI AEFI Form need with buffer,Joypurhat District,1848.0
Upazila EPI AEFI Form need with buffer,Khagrachhari District,462.0
Upazila EPI AEFI Form need with buffer,Khulna District,2400.0
Upazila EPI AEFI Form need with buffer,Kishoreganj District,2208.0
Upazila EPI AEFI Form need with buffer,Kurigram District,1514.0
Upazila EPI AEFI Form need with buffer,Kustia District,850.0
Upazila EPI AEFI Form need with buffer,Laksmipur District,802.0
Upazila EPI AEFI Form need with buffer,Lalmonirhat District,442.0
Upazila EPI AEFI Form need with buffer,Madaripur District,557.0
Upazila EPI AEFI Form need with buffer,Magura District,133.0
Upazila EPI AEFI Form need with buffer,Manikganj District,703.0
Upazila EPI AEFI Form need with buffer,Maulavi Bazar District,209.0
Upazila EPI AEFI Form need with buffer,Meherpur District,25.0
Upazila EPI AEFI Form need with buffer,Munshiganj District,946.0
Upazila EPI AEFI Form need with buffer,Mymensingh District,741.0
Upazila EPI AEFI Form need with buffer,Naogaon District,974.0
Upazila EPI AEFI Form need with buffer,Narail District,324.0
Upazila EPI AEFI Form need with buffer,Narayanganj District,3211.0
Upazila EPI AEFI Form need with buffer,Narshingdi District,6757.0
Upazila EPI AEFI Form need with buffer,Natore District,792.0
Upazila EPI AEFI Form need with buffer,Netrokona District,1000.0
Upazila EPI AEFI Form need with buffer,Nilphamari District,856.0
Upazila EPI AEFI Form need with buffer,Noakhali District,743.0
Upazila EPI AEFI Form need with buffer,Pabna District,1542.0
Upazila EPI AEFI Form need with buffer,Panchagarh District,452.0
Upazila EPI AEFI Form need with buffer,Patuakhali District,1232.0
Upazila EPI AEFI Form need with buffer,Pirojpur District,343.0
Upazila EPI AEFI Form need with buffer,Rajbari District,419.0
Upazila EPI AEFI Form need with buffer,Rajshahi District,995.0
Upazila EPI AEFI Form need with buffer,Rangamati District,544.0
Upazila EPI AEFI Form need with buffer,Rangpur District,1757.0
Upazila EPI AEFI Form need with buffer,Satkhira District,2140.0
Upazila EPI AEFI Form need with buffer,Shariatpur District,2408.0
Upazila EPI AEFI Form need with buffer,Sherpur District,299.0
Upazila EPI AEFI Form need with buffer,Sirajganj District,212.0
Upazila EPI AEFI Form need with buffer,Sunamganj District,2008.0
Upazila EPI AEFI Form need with buffer,Sylhet District,3081.0
Upazila EPI AEFI Form need with buffer,Tangail District,431.0
Upazila EPI AEFI Form need with buffer,Thakurgaon District,678.0
Upazila EPI AEFI Investigation form need with buffer,Bagerhat District,396.0
Upazila EPI AEFI Investigation form need with buffer,Bandarban District,123.0
Upazila EPI AEFI Investigation form need with buffer,Barguna District,36.0
Upazila EPI AEFI Investigation form need with buffer,Barishal District,552.0
Upazila EPI AEFI Investigation form need with buffer,Bhola District,95.0
Upazila EPI AEFI Investigation form need with buffer,Bogura District,938.0
Upazila EPI AEFI Investigation form need with buffer,Brahmanbaria District,26.0
Upazila EPI AEFI Investigation form need with buffer,Chandpur District,1041.0
Upazila EPI AEFI Investigation form need with buffer,Chapai Nababganj District,284.0
Upazila EPI AEFI Investigation form need with buffer,Chattogram District,509.0
Upazila EPI AEFI Investigation form need with buffer,Chuadanga District,339.0
Upazila EPI AEFI Investigation form need with buffer,Coxs Bazar District,208.0
Upazila EPI AEFI Investigation form need with buffer,Cumilla District,507.0
Upazila EPI AEFI Investigation form need with buffer,Dhaka District,1004.0
Upazila EPI AEFI Investigation form need with buffer,Dinajpur District,590.0
Upazila EPI AEFI Investigation form need with buffer,Faridpur District,54.0
Upazila EPI AEFI Investigation form need with buffer,Feni District,628.0
Upazila EPI AEFI Investigation form need with buffer,Gaibandha District,247.0
Upazila EPI AEFI Investigation form need with buffer,Gazipur District,74.0
Upazila EPI AEFI Investigation form need with buffer,Gopalganj District,676.0
Upazila EPI AEFI Investigation form need with buffer,Habiganj District,54.0
Upazila EPI AEFI Investigation form need with buffer,Jamalpur District,23.0
Upazila EPI AEFI Investigation form need with buffer,Jashore District,1725.0
