Data,Organisation unit,Value
1st Visit ANC,Ajmiriganj Upazila,5274.0
1st Visit ANC,Bahubal Upazila,4168.0
1st Visit ANC,Baniachong Upazila,14913.0
1st Visit ANC,Basail Upazila,1763.0
1st Visit ANC,Bhuapur Upazila,6588.0
1st Visit ANC,Chunarughat Upazila,8627.0
1st Visit ANC,Delduar Upazila,6557.0
1st Visit ANC,Ghatail Upazila,16821.0
1st Visit ANC,Gopalpur Upazila,4073.0
1st Visit ANC,Habiganj Sadar Upazila,12356.0
1st Visit ANC,Kalihati Upazila,9895.0
1st Visit ANC,Lakhai Upazila,4025.0
1st Visit ANC,Madhabpur Upazila,7998.0
1st Visit ANC,Madhupur Upazila,10159.0
1st Visit ANC,Mirzapur Upazila,5710.0
1st Visit ANC,Nagarpur Upazila,9796.0
1st Visit ANC,Sakhipur Upazila,6587.0
1st Visit ANC,Tangail Sadar Upazila,13093.0
2nd Visit ANC,Ajmiriganj Upazila,3877.0
2nd Visit ANC,Bahubal Upazila,3647.0
2nd Visit ANC,Baniachong Upazila,10797.0
2nd Visit ANC,Basail Upazila,1538.0
2nd Visit ANC,Bhuapur Upazila,5220.0
2nd Visit ANC,Chunarughat Upazila,5810.0
2nd Visit ANC,Delduar Upazila,6322.0
2nd Visit ANC,Ghatail Upazila,15361.0
2nd Visit ANC,Gopalpur Upazila,3114.0
2nd Visit ANC,Habiganj Sadar Upazila,8213.0
2nd Visit ANC,Kalihati Upazila,6589.0
2nd Visit ANC,Lakhai Upazila,3213.0
2nd Visit ANC,Madhabpur Upazila,6466.0
2nd Visit ANC,Madhupur Upazila,8300.0
2nd Visit ANC,Mirzapur Upazila,3896.0
2nd Visit ANC,Nagarpur Upazila,7686.0
2nd Visit ANC,Sakhipur Upazila,4456.0
2nd Visit ANC,Tangail Sadar Upazila,10169.0
3rd & more ANC,Ajmiriganj Upazila,5352.0
3rd & more ANC,Bahubal Upazila,3908.0
3rd & more ANC,Baniachong Upazila,12740.0
3rd & more ANC,Basail Upazila,1094.0
3rd & more ANC,Bhuapur Upazila,6764.0
3rd & more ANC,Chunarughat Upazila,9459.0
3rd & more ANC,Delduar Upazila,5028.0
3rd & more ANC,Ghatail Upazila,15057.0
3rd & more ANC,Gopalpur Upazila,3425.0
3rd & more ANC,Habiganj Sadar Upazila,7404.0
3rd & more ANC,Kalihati Upazila,6070.0
3rd & more ANC,Lakhai Upazila,3478.0
3rd & more ANC,Madhabpur Upazila,6175.0
3rd & more ANC,Madhupur Upazila,8806.0
3rd & more ANC,Mirzapur Upazila,2169.0
3rd & more ANC,Nagarpur Upazila,8928.0
3rd & more ANC,Sakhipur Upazila,3899.0
3rd & more ANC,Tangail Sadar Upazila,6009.0
