Data,Organisation unit,Value
lqGV3xf4MnW,309309,646.0
lqGV3xf4MnW,309319,4821.0
lqGV3xf4MnW,309323,5547.0
lqGV3xf4MnW,309328,12944.0
lqGV3xf4MnW,309338,2533.0
lqGV3xf4MnW,309347,5855.0
lqGV3xf4MnW,309357,10678.0
lqGV3xf4MnW,309366,482.0
lqGV3xf4MnW,309376,7485.0
lqGV3xf4MnW,309385,6885.0
lqGV3xf4MnW,309395,1809.0
EMN9ubIGpGh,309309,508.0
EMN9ubIGpGh,309319,5189.0
EMN9ubIGpGh,309323,4819.0
EMN9ubIGpGh,309328,13811.0
EMN9ubIGpGh,309338,3062.0
EMN9ubIGpGh,309347,5073.0
EMN9ubIGpGh,309357,10228.0
EMN9ubIGpGh,309366,544.0
EMN9ubIGpGh,309376,6215.0
EMN9ubIGpGh,309385,6583.0
EMN9ubIGpGh,309395,1113.0
wpDTeNQUuEb,309309,704.0
wpDTeNQUuEb,309319,9187.0
wpDTeNQUuEb,309323,8348.0
wpDTeNQUuEb,309328,20711.0
wpDTeNQUuEb,309338,4938.0
wpDTeNQUuEb,309347,6565.0
wpDTeNQUuEb,309357,12786.0
wpDTeNQUuEb,309366,497.0
wpDTeNQUuEb,309376,6187.0
wpDTeNQUuEb,309385,8038.0
wpDTeNQUuEb,309395,742.0
