Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,,,,BARISAL
10,4,,,BARGUNA
10,4,9,,AMTALI
10,4,9,13,AMTALI
10,4,9,15,ARPANGASHIA
10,4,9,23,ATHARAGASHIA
10,4,9,47,CHOWRA
10,4,9,63,GULISAKHALI
10,4,9,71,HALDIA
10,4,9,87,KUKUA
10,4,19,,BAMNA
10,4,19,23,BAMNA
10,4,19,47,BUKABUNIA
10,4,19,71,DAUATALA
10,4,19,95,RAMNA
10,4,28,,BARGUNA SADAR
10,4,28,17,AYLA PATAKATA
10,4,28,19,BADARKHALI
10,4,28,28,BARGUNA
10,4,28,38,BURIR CHAR
10,4,28,47,DHALUA
10,4,28,57,PHULJHURY
10,4,28,66,GAURICHANNA
10,4,28,76,KEORABUNIA
10,4,28,85,M.BALIATALI
10,4,28,95,NALTONA
10,4,47,,BETAGI
10,4,47,11,BETAGI
10,4,47,23,BIBICHINI
10,4,47,35,BURA MAZUMDAR
10,4,47,47,HOSNABAD
10,4,47,59,KAZIRABAD
10,4,47,71,MOKAMIA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,4,47,83,SARISHAMURI
10,4,85,,PATHARGHATA
10,4,85,11,CHAR DUANI
10,4,85,23,KAKCHIRA
10,4,85,35,KALMEGHA
10,4,85,47,KANTHALTALI
10,4,85,59,NACHNA PARA
10,4,85,71,PATHARGHATA
10,4,85,83,RAIHANPUR
10,4,90,,TALTALI
10,4,90,39,BARABAGI
10,4,90,43,CHHOTA BAGI
10,4,90,79,KARAIBARIA
10,4,90,91,NISHANBARIA
10,4,90,94,PONCHA KORALIA
10,4,90,95,SARIKKHALI
10,4,90,96,SONAKATA
10,6,,,BARISAL
10,6,2,,AGAILJHARA
10,6,2,13,BAGDHA
10,6,2,15,BAKAL
10,6,2,47,GAILA
10,6,2,79,RAJIHER
10,6,2,87,RATNAPUR
10,6,3,,BABUGANJ
10,6,3,13,JAHANGIR NAGAR(AGARPUR)
10,6,3,27,CHANDPASHA
10,6,3,40,DEHERGATI
10,6,3,54,KEDARPUR
10,6,3,67,MADHAB PASHA
10,6,3,81,RAHMATPUR
10,6,7,,BAKERGANJ
10,6,7,12,BHAR PASHA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,6,7,13,CHARADI
10,6,7,20,CHAR AMADDI
10,6,7,27,DARIAL
10,6,7,33,DUDHAL
10,6,7,40,DURGA PASHA
10,6,7,47,FARIDPUR
10,6,7,54,GARURIA
10,6,7,61,KABAI
10,6,7,67,KALASKATI
10,6,7,74,NALUA
10,6,7,81,NIAMATI
10,6,7,88,PADRI SHIBPUR
10,6,7,94,RANGASREE
10,6,10,,BANARI PARA
10,6,10,10,BANARIPARA
10,6,10,21,BAISARI
10,6,10,31,BISARKANDI
10,6,10,42,CHAKHAR
10,6,10,52,ILUHAR
10,6,10,63,SALIA BAKPUR
10,6,10,73,SAIDKATI
10,6,10,84,UDAYKATI
10,6,32,,GAURNADI
10,6,32,23,BARTHI
10,6,32,31,BATAJORE
10,6,32,38,CHANDSHI
10,6,32,55,KHANJAPUR
10,6,32,63,MAHILARA
10,6,32,71,NALCHIRA
10,6,32,94,SARIKAL
10,6,36,,HIZLA
10,6,36,13,BARA JALIA
10,6,36,27,DHULKHOLA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,6,36,54,GUABARIA
10,6,36,67,HARINATHPUR
10,6,36,81,HIZLA GAURABDI
10,6,36,94,MEMANIA
10,6,51,,BARISAL SADAR (KOTWALI)
10,6,51,32,CHANDPURA
10,6,51,33,CHANDRA MOHAN
10,6,51,34,CHAR BARIA
10,6,51,43,CHAR KOWA
10,6,51,51,CHAR MONAI
10,6,51,60,JAGUA
10,6,51,69,KASHIPUR
10,6,51,77,ROY PASHA KARAPUR
10,6,51,86,SHAYESTABAD
10,6,51,94,TUNGIBARIA
10,6,62,,MHENDIGANJ
10,6,62,13,ALIMABAD
10,6,62,15,ANDHAR MANIK
10,6,62,23,BHASAN CHAR
10,6,62,31,BIDYANANDAPUR
10,6,62,39,CHANDPUR
10,6,62,40,GOBINDAPUR
10,6,62,47,CHAR EKKARIA
10,6,62,55,CHAR GOPALPUR
10,6,62,63,DARI CHAR KHAJURIA
10,6,62,71,JANGALIA
10,6,62,79,LATA
10,6,62,87,MEHENDIGANJ
10,6,62,94,ULANIA
10,6,69,,MULADI
10,6,69,11,BATAMARA
10,6,69,23,CHAR KALEKHAN
10,6,69,35,GACHHUA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,6,69,47,KAZIR CHAR
10,6,69,59,MULADI
10,6,69,71,NAZIRPUR
10,6,69,83,SAFIPUR
10,6,94,,WAZIRPUR
