0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
1,14,31,XX,XX,01,  Chitalmari Union,0,0,0,0,0,0,0,0,00010
1,14,31,XX,XX,03,  Chitalmari Union,0,0,0,0,0,0,0,0,00010
1,34,10,XX,XX,01,  Bahirdia Mansa Union,0,0,0,0,0,0,0,0,00010
1,34,10,XX,XX,03,  Bahirdia Mansa Union,0,0,0,0,0,0,0,0,00010
1,34,31,XX,XX,01,  Fakirhat Union,0,0,0,0,0,0,0,0,00010
1,34,31,XX,XX,03,  Fakirhat Union,1,4,2,2,4,0,0,0,00010
1,34,52,XX,XX,01,  Mulghar Union,398,1970,992,978,42,0,0,1928,00010
1,34,52,XX,XX,03,  Mulghar Union,0,0,0,0,0,0,0,0,00010
1,34,63,XX,XX,01,  Naldha Maubhog Union,22,118,57,61,0,0,0,118,00010
1,34,63,XX,XX,03,  Naldha Maubhog Union,64,271,143,128,0,0,0,271,00010
1,38,57,XX,XX,01,  Kachua Union,0,0,0,0,0,0,0,0,00010
1,38,57,XX,XX,03,  Kachua Union,0,0,0,0,0,0,0,0,00010
1,56,95,XX,XX,01,  Udaypur Union,0,0,0,0,0,0,0,0,00010
1,56,95,XX,XX,03,  Udaypur Union,0,0,0,0,0,0,0,0,00010
1,60,23,XX,XX,01,  Baraikhali Union,0,0,0,0,0,0,0,0,00010
1,60,23,XX,XX,03,  Baraikhali Union,0,0,0,0,0,0,0,0,00010
1,73,83,XX,XX,01,  Rampal Union,0,0,0,0,0,0,0,0,00010
1,73,83,XX,XX,03,  Rampal Union,0,0,0,0,0,0,0,0,00010
1,77,38,XX,XX,01,  Khontakata Union,9,31,14,17,0,24,7,0,00010
1,77,38,XX,XX,03,  Khontakata Union,0,0,0,0,0,0,0,0,00010
1,77,57,XX,XX,01,  Royenda Union,0,0,0,0,0,0,0,0,00010
1,77,57,XX,XX,03,  Royenda Union,1,5,1,4,5,0,0,0,00010
