0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
3,04,31,XX,XX,01,  Alikadam Union,2335,12976,6660,6316,484,9431,2241,820,00010
3,04,31,XX,XX,02,  Alikadam Union,0,0,0,0,0,0,0,0,00010
3,04,31,XX,XX,03,  Alikadam Union,433,2040,1057,983,802,271,133,834,00010
3,73,76,XX,XX,01,  Naikhongchhari Union,523,2333,1164,1169,2318,0,0,15,00010
3,73,76,XX,XX,03,  Naikhongchhari Union,357,1668,774,894,480,0,0,1188,00010
3,89,57,XX,XX,01,  Rowangchhari Union,780,3735,1912,1823,1592,0,9,2134,00010
3,89,57,XX,XX,03,  Rowangchhari Union,1055,4538,2368,2170,2769,0,386,1383,00010
3,91,76,XX,XX,01,  Ruma Union,2224,10108,5294,4814,5066,719,714,3609,00010
3,91,76,XX,XX,02,  Ruma Union,0,0,0,0,0,0,0,0,00010
3,95,57,XX,XX,01,  Thanchi Union,1006,5024,2577,2447,959,2281,1189,595,00010
3,95,57,XX,XX,03,  Thanchi Union,345,1618,824,794,979,633,2,4,00010
