0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
4,09,13,XX,XX,01,  Amtali Union,0,0,0,0,0,0,0,0,00010
4,09,13,XX,XX,03,  Amtali Union,0,0,0,0,0,0,0,0,00010
4,19,23,XX,XX,01,  Bamna Union,0,0,0,0,0,0,0,0,00010
4,19,23,XX,XX,03,  Bamna Union,0,0,0,0,0,0,0,0,00010
4,47,11,XX,XX,01,  Betagi Union,0,0,0,0,0,0,0,0,00010
4,47,11,XX,XX,03,  Betagi Union,0,0,0,0,0,0,0,0,00010
4,85,23,XX,XX,01,  Kakchira Union,0,0,0,0,0,0,0,0,00010
4,85,23,XX,XX,03,  Kakchira Union,0,0,0,0,0,0,0,0,00010
4,85,35,XX,XX,01,  Kalmegha Union,1,3,1,2,0,3,0,0,00010
4,85,35,XX,XX,03,  Kalmegha Union,0,0,0,0,0,0,0,0,00010
4,85,71,XX,XX,01,  Patharghata Union,0,0,0,0,0,0,0,0,00010
4,85,71,XX,XX,03,  Patharghata Union,0,0,0,0,0,0,0,0,00010
