0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
10,06,13,XX,XX,01,  Adam Dighi Union,1,4,2,2,0,0,0,4,00010
10,06,13,XX,XX,03,  Adam Dighi Union,1,4,3,1,0,0,0,4,00010
10,27,38,XX,XX,01,  Dhunat Union,13,68,35,33,0,0,0,68,00010
10,27,38,XX,XX,03,  Dhunat Union,92,355,180,175,0,0,0,355,00010
10,88,28,XX,XX,01,  Garidaha Union,0,0,0,0,0,0,0,0,00010
10,88,28,XX,XX,03,  Garidaha Union,0,0,0,0,0,0,0,0,00010
10,88,57,XX,XX,01,  Kusumbi Union,0,0,0,0,0,0,0,0,00010
10,88,57,XX,XX,03,  Kusumbi Union,0,0,0,0,0,0,0,0,00010
10,88,77,XX,XX,01,  Shah-Bandegi Union,237,992,498,494,186,0,0,806,00010
10,88,77,XX,XX,03,  Shah-Bandegi Union,0,0,0,0,0,0,0,0,00010
