0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
12,04,94,XX,XX,01,  Banchharampur Union,0,0,0,0,0,0,0,0,00010
12,04,94,XX,XX,03,  Banchharampur Union,1,1,1,0,1,0,0,0,00010
12,07,32,XX,XX,01,  Chandura Union,0,0,0,0,0,0,0,0,00010
12,07,32,XX,XX,03,  Chandura Union,0,0,0,0,0,0,0,0,00010
12,07,91,XX,XX,01,  Uttar Ichhapur Union,0,0,0,0,0,0,0,0,00010
12,07,91,XX,XX,03,  Uttar Ichhapur Union,0,0,0,0,0,0,0,0,00010
12,13,50,XX,XX,01,  Shuhilpur Union,1,6,5,1,6,0,0,0,00010
12,13,50,XX,XX,03,  Shuhilpur Union,0,0,0,0,0,0,0,0,00010
12,13,93,XX,XX,01,  Uttar Natai Union,0,0,0,0,0,0,0,0,00010
12,13,93,XX,XX,03,  Uttar Natai Union,0,0,0,0,0,0,0,0,00010
12,33,12,XX,XX,01,  Araisidha Union,0,0,0,0,0,0,0,0,00010
12,33,12,XX,XX,03,  Araisidha Union,0,0,0,0,0,0,0,0,00010
12,33,14,XX,XX,01,  Ashugang Union,0,0,0,0,0,0,0,0,00010
12,33,14,XX,XX,03,  Ashugang Union,0,0,0,0,0,0,0,0,00010
12,33,38,XX,XX,01,  Durgapur Union,0,0,0,0,0,0,0,0,00010
12,33,38,XX,XX,03,  Durgapur Union,0,0,0,0,0,0,0,0,00010
12,90,87,XX,XX,01,  Nasirnagar Union,0,0,0,0,0,0,0,0,00010
12,90,87,XX,XX,03,  Nasirnagar Union,0,0,0,0,0,0,0,0,00010
12,94,76,XX,XX,03,  Sarail Union,0,0,0,0,0,0,0,0,00010
