ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,12,11,014,XX,01,*Amirpur,218,913,913,0,00010
47,12,11,037,XX,01,*Arazi Narayanpur,30,133,133,0,00010
47,12,11,224,XX,01,*Char Hadirabad,120,547,547,0,00010
47,12,11,261,XX,01,*Datta Para,83,302,302,0,00010
47,12,11,351,XX,01,*Hadirabad,130,564,564,0,00010
47,12,11,381,XX,01,*Hasimpur,51,238,238,0,00010
47,12,11,463,XX,01,*Joypurdanga,60,252,252,0,00010
47,12,11,486,XX,01,*Karerdhone,532,2267,2267,0,00010
47,12,11,493,XX,01,*Karia,146,586,586,0,00010
47,12,11,501,XX,01,*Kariabhita,23,98,98,0,00010
47,12,11,568,XX,01,*Khanrabad,653,2799,2799,0,00010
47,12,11,598,XX,01,*Kismat Kurighata,150,611,611,0,00010
47,12,11,673,XX,01,*Masidghata,288,1214,1214,0,00010
47,12,11,718,XX,01,*Narayankhali,219,866,866,0,00010
47,12,11,725,XX,01,*Narayanpur,265,1146,1146,0,00010
47,12,11,733,XX,01,*Nijgram,220,842,842,0,00010
47,12,11,822,XX,01,*Rambhadrapur,176,694,694,0,00010
47,12,11,942,XX,01,*Shyamganj,173,718,718,0,00010
47,12,11,957,XX,01,*Tala Para,347,1492,1492,0,00010
47,12,23,082,XX,01,*Baliadanga,474,1901,1901,0,00010
47,12,23,134,XX,01,*Bhadail,85,357,357,0,00010
47,12,23,172,XX,01,*Birat,511,2096,2096,0,00010
47,12,23,194,XX,01,*Bujbunia,435,1871,1871,0,00010
47,12,23,284,XX,01,*Dhadua,360,1547,1547,0,00010
47,12,23,336,XX,01,*Ghoshkhali,7,26,26,0,00010
47,12,23,396,XX,01,*Hatbaria,30,119,119,0,00010
47,12,23,426,XX,01,*Jalia Para,81,358,358,0,00010
47,12,23,441,XX,01,*Jhalbaridanga,443,1786,1786,0,00010
47,12,23,478,XX,01,*Kadamtala,4,22,22,0,00010
47,12,23,620,XX,01,*Kismat Solakura,144,584,584,0,00010
47,12,23,740,XX,01,*Noapakhia,81,336,336,0,00010
47,12,23,785,XX,01,*Phulbati,400,1622,1622,0,00010
47,12,23,830,XX,01,*Ranjiter Hula,333,1405,1405,0,00010
47,12,23,897,XX,01,*Solakura,71,329,329,0,00010
47,12,23,965,XX,01,*Talbuniar Hula,161,712,712,0,00010
47,12,23,972,XX,01,*Taliamara,407,1742,1742,0,00010
47,12,35,044,XX,01,*Auskhali,80,330,330,0,00010
47,12,35,052,XX,01,*Baguladanga Patharghata,104,435,435,0,00010
47,12,35,059,XX,01,*Batiaghata,195,830,830,0,00010
47,12,35,074,XX,01,*Balabunia,203,804,804,0,00010
47,12,35,119,XX,01,*Baruirabad,102,434,434,0,00010
47,12,35,157,XX,01,*Bherandabunia,98,424,424,0,00010
47,12,35,216,XX,01,*Chak Solemari,114,479,479,0,00010
47,12,35,366,XX,03,*Hetalbunia,866,3467,3467,0,00010
47,12,35,389,XX,03,*Hatbati (Baro),1042,4208,4208,0,00010
47,12,35,411,XX,01,*Hogolbunia,445,1978,1978,0,00010
