ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,12,11,014,XX,01,*Amirpur,913,409,504,0,0,0,00010
47,12,11,037,XX,01,*Arazi Narayanpur,133,11,122,0,0,0,00010
47,12,11,224,XX,01,*Char Hadirabad,547,533,14,0,0,0,00010
47,12,11,261,XX,01,*Datta Para,302,302,0,0,0,0,00010
47,12,11,351,XX,01,*Hadirabad,564,540,24,0,0,0,00010
47,12,11,381,XX,01,*Hasimpur,238,238,0,0,0,0,00010
47,12,11,463,XX,01,*Joypurdanga,252,113,139,0,0,0,00010
47,12,11,486,XX,01,*Karerdhone,2267,2266,1,0,0,0,00010
47,12,11,493,XX,01,*Karia,586,586,0,0,0,0,00010
47,12,11,501,XX,01,*Kariabhita,98,34,64,0,0,0,00010
47,12,11,568,XX,01,*Khanrabad,2799,2767,32,0,0,0,00010
47,12,11,598,XX,01,*Kismat Kurighata,611,611,0,0,0,0,00010
47,12,11,673,XX,01,*Masidghata,1214,1214,0,0,0,0,00010
47,12,11,718,XX,01,*Narayankhali,866,831,35,0,0,0,00010
47,12,11,725,XX,01,*Narayanpur,1146,938,208,0,0,0,00010
47,12,11,733,XX,01,*Nijgram,842,804,38,0,0,0,00010
47,12,11,822,XX,01,*Rambhadrapur,694,694,0,0,0,0,00010
47,12,11,942,XX,01,*Shyamganj,718,88,630,0,0,0,00010
47,12,11,957,XX,01,*Tala Para,1492,1277,215,0,0,0,00010
47,12,23,082,XX,01,*Baliadanga,1901,1901,0,0,0,0,00010
47,12,23,134,XX,01,*Bhadail,357,276,81,0,0,0,00010
47,12,23,172,XX,01,*Birat,2096,2049,47,0,0,0,00010
47,12,23,194,XX,01,*Bujbunia,1871,1868,3,0,0,0,00010
47,12,23,284,XX,01,*Dhadua,1547,1543,4,0,0,0,00010
47,12,23,336,XX,01,*Ghoshkhali,26,26,0,0,0,0,00010
47,12,23,396,XX,01,*Hatbaria,119,119,0,0,0,0,00010
47,12,23,426,XX,01,*Jalia Para,358,165,193,0,0,0,00010
47,12,23,441,XX,01,*Jhalbaridanga,1786,1779,7,0,0,0,00010
47,12,23,478,XX,01,*Kadamtala,22,22,0,0,0,0,00010
47,12,23,620,XX,01,*Kismat Solakura,584,584,0,0,0,0,00010
47,12,23,740,XX,01,*Noapakhia,336,336,0,0,0,0,00010
47,12,23,785,XX,01,*Phulbati,1622,1622,0,0,0,0,00010
47,12,23,830,XX,01,*Ranjiter Hula,1405,1403,2,0,0,0,00010
47,12,23,897,XX,01,*Solakura,329,279,50,0,0,0,00010
47,12,23,965,XX,01,*Talbuniar Hula,712,712,0,0,0,0,00010
47,12,23,972,XX,01,*Taliamara,1742,1252,490,0,0,0,00010
47,12,35,044,XX,01,*Auskhali,330,0,330,0,0,0,00010
47,12,35,052,XX,01,*Baguladanga Patharghata,435,19,416,0,0,0,00010
47,12,35,059,XX,01,*Batiaghata,830,0,830,0,0,0,00010
47,12,35,074,XX,01,*Balabunia,804,0,800,4,0,0,00010
47,12,35,119,XX,01,*Baruirabad,434,1,433,0,0,0,00010
47,12,35,157,XX,01,*Bherandabunia,424,0,424,0,0,0,00010
47,12,35,216,XX,01,*Chak Solemari,479,13,457,9,0,0,00010
47,12,35,366,XX,03,*Hetalbunia,3467,1216,2251,0,0,0,00010
47,12,35,389,XX,03,*Hatbati (Baro),4208,1285,2923,0,0,0,00010
47,12,35,411,XX,01,*Hogolbunia,1978,60,1918,0,0,0,00010
47,12,35,561,XX,01,*Khalsibunia,682,5,677,0,0,0,00010
47,12,35,613,XX,01,*Kismat Phultala,1411,478,933,0,0,0,00010
47,12,35,658,XX,01,*Madia Asannagar,885,1,884,0,0,0,00010
47,12,35,665,XX,01,*Mailmara,725,27,698,0,0,0,00010
47,12,35,695,XX,01,*Mathbhanga,657,6,651,0,0,0,00010
47,12,35,748,XX,01,*Par Batiaghata,644,0,644,0,0,0,00010
47,12,35,793,XX,01,*Phultala,1067,22,1045,0,0,0,00010
47,12,47,029,XX,01,*Arazi Lakshmikhola,9,9,0,0,0,0,00010
47,12,47,142,XX,01,*Bhadganti,881,877,4,0,0,0,00010
47,12,47,149,XX,01,*Bhandarkote,3398,3123,274,1,0,0,00010
47,12,47,164,XX,01,*Bil Kultia,305,159,146,0,0,0,00010
47,12,47,231,XX,01,*Char Jhnaikhali,115,115,0,0,0,0,00010
47,12,47,344,XX,01,*Goalghata,339,339,0,0,0,0,00010
47,12,47,359,XX,01,*Halia,2762,224,2538,0,0,0,00010
47,12,47,456,XX,01,*Jhinaikhali,685,633,52,0,0,0,00010
47,12,47,591,XX,01,*Kismat Jhinaikhali,688,688,0,0,0,0,00010
47,12,47,605,XX,01,*Kismat Lakshmikhola,767,500,267,0,0,0,00010
47,12,47,643,XX,01,*Kultia,1378,1062,316,0,0,0,00010
47,12,47,650,XX,01,*Lakshmikhola,429,426,3,0,0,0,00010
47,12,47,710,XX,01,*Naoailtala,1697,1619,78,0,0,0,00010
47,12,47,755,XX,01,*Par Hogla,322,181,141,0,0,0,00010
47,12,47,890,XX,01,*Sialidanga,1096,1096,0,0,0,0,00010
47,12,47,912,XX,01,*Sreefaltala,963,963,0,0,0,0,00010
47,12,59,022,XX,01,*Andharia,243,0,243,0,0,0,00010
47,12,59,067,XX,01,*Bajeafti Debitala,276,0,275,1,0,0,00010
47,12,59,127,XX,01,*Barun Para,1288,79,1209,0,0,0,00010
47,12,59,179,XX,01,*Boyarbhanga,2220,54,2162,4,0,0,00010
47,12,59,187,XX,01,*Britti Khalsebunia,973,5,968,0,0,0,00010
47,12,59,239,XX,01,*Charkhali Machalia,843,148,690,5,0,0,00010
47,12,59,269,XX,01,*Debitala,1441,3,1438,0,0,0,00010
47,12,59,299,XX,01,*Gagramari,154,154,0,0,0,0,00010
47,12,59,306,XX,01,*Gangarampur,1169,460,709,0,0,0,00010
47,12,59,508,XX,01,*Kasiadanga,552,420,132,0,0,0,00010
47,12,59,523,XX,01,*Katamari,1945,729,1216,0,0,0,00010
47,12,59,531,XX,01,*Kaemkhola,691,588,103,0,0,0,00010
47,12,59,538,XX,01,*Kayemkholar Hula,750,336,414,0,0,0,00010
47,12,59,546,XX,01,*Katianangla,3949,1770,2179,0,0,0,00010
47,12,59,553,XX,01,*Khajurtala,423,90,333,0,0,0,00010
47,12,59,763,XX,01,*Par Salua,520,95,425,0,0,0,00010
47,12,59,770,XX,01,*Par Titukhali,17,14,3,0,0,0,00010
47,12,59,845,XX,01,*Salua,376,85,291,0,0,0,00010
47,12,59,994,XX,01,*Titukhali,338,9,329,0,0,0,00010
47,12,71,007,XX,01,*Alutala,2506,2477,29,0,0,0,00010
47,12,71,097,XX,01,*Banshbaria,972,784,188,0,0,0,00010
47,12,71,209,XX,01,*Chak Alipur,816,53,763,0,0,0,00010
47,12,71,246,XX,01,*Chhaygharia,4061,348,3403,310,0,0,00010
47,12,71,271,XX,01,*Denarabad,266,253,13,0,0,0,00010
47,12,71,291,XX,01,*Dubi,2203,2170,29,4,0,0,00010
47,12,71,374,XX,01,*Harintana,8280,8215,65,0,0,0,00010
47,12,71,433,XX,01,*Jalma,728,64,660,4,0,0,00010
47,12,71,448,XX,01,*Jharbhanga,1522,873,643,6,0,0,00010
47,12,71,583,XX,01,*Kholabaria,890,876,9,5,0,0,00010
47,12,71,635,XX,01,*Krishnanagar,13191,12552,624,9,6,0,00010
47,12,71,680,XX,01,*Mathabhanga,3989,2749,1240,0,0,0,00010
47,12,71,800,XX,01,*Raingamari,2967,1807,1149,11,0,0,00010
47,12,71,815,XX,01,*Rajbandh,5429,2609,2809,11,0,0,00010
