0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
22,24,35,XX,XX,01,  Idgaon Union,0,0,0,0,0,0,0,0,00010
22,24,35,XX,XX,03,  Idgaon Union,6,27,14,13,20,0,3,4,00010
22,24,42,XX,XX,01,  Islamabad Union,0,0,0,0,0,0,0,0,00010
22,24,42,XX,XX,03,  Islamabad Union,0,0,0,0,0,0,0,0,00010
22,24,45,XX,XX,03,  Jalalabad Union,5,17,10,7,14,0,0,3,00010
22,45,27,XX,XX,03,  Baraghop Union,3,9,3,6,0,0,9,0,00010
22,56,83,XX,XX,01,  Pekua Union,0,0,0,0,0,0,0,0,00010
22,56,83,XX,XX,03,  Pekua Union,8,26,14,12,0,0,16,10,00010
22,66,15,XX,XX,01,  Fatekharkul Union,31,119,58,61,114,0,5,0,00010
22,66,15,XX,XX,03,  Fatekharkul Union,45,203,91,112,160,0,9,34,00010
22,66,38,XX,XX,01,  Joarianala Union,0,0,0,0,0,0,0,0,00010
22,66,38,XX,XX,03,  Joarianala Union,0,0,0,0,0,0,0,0,00010
22,90,63,XX,XX,01,  Teknaf Union,7,32,15,17,0,0,0,32,00010
22,90,63,XX,XX,03,  Teknaf Union,1,4,2,2,0,0,0,4,00010
22,94,47,XX,XX,01,  Raja Palong Union,15,36,23,13,19,0,10,7,00010
22,94,47,XX,XX,03,  Raja Palong Union,6,15,7,8,3,0,6,6,00010
