0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
30,14,76,XX,XX,01,  Pathannagar Union,0,0,0,0,0,0,0,0,00010
30,14,76,XX,XX,03,  Pathannagar Union,0,0,0,0,0,0,0,0,00010
30,25,12,XX,XX,01,  Daganbhuiyan Union,0,0,0,0,0,0,0,0,00010
30,25,12,XX,XX,03,  Daganbhuiyan Union,0,0,0,0,0,0,0,0,00010
30,25,38,XX,XX,01,  Jailashkara Union,0,0,0,0,0,0,0,0,00010
30,25,38,XX,XX,03,  Jailashkara Union,0,0,0,0,0,0,0,0,00010
30,41,67,XX,XX,01,  Fulgazi Union,0,0,0,0,0,0,0,0,00010
30,41,67,XX,XX,03,  Fulgazi Union,0,0,0,0,0,0,0,0,00010
30,94,66,XX,XX,01,  Matiganj Union,52,247,115,132,6,0,0,241,00010
30,94,66,XX,XX,03,  Matiganj Union,0,0,0,0,0,0,0,0,00010
