0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
32,21,47,XX,XX,01,  Gazaria Union,0,0,0,0,0,0,0,0,00010
32,21,47,XX,XX,03,  Gazaria Union,0,0,0,0,0,0,0,0,00010
32,24,14,XX,XX,01,  Ballamjhar Union,0,0,0,0,0,0,0,0,00010
32,24,14,XX,XX,03,  Ballamjhar Union,0,0,0,0,0,0,0,0,00010
32,24,21,XX,XX,01,  Boali Union,0,0,0,0,0,0,0,0,00010
32,24,21,XX,XX,03,  Boali Union,0,0,0,0,0,0,0,0,00010
32,24,58,XX,XX,01,  Kholahati Union,0,0,0,0,0,0,0,0,00010
32,24,58,XX,XX,03,  Kholahati Union,0,0,0,0,0,0,0,0,00010
32,24,85,XX,XX,01,  Mollar Char Union,0,0,0,0,0,0,0,0,00010
32,24,85,XX,XX,03,  Mollar Char Union,0,0,0,0,0,0,0,0,00010
32,67,85,XX,XX,01,  Palashbari Union,0,0,0,0,0,0,0,0,00010
32,67,85,XX,XX,03,  Palashbari Union,0,0,0,0,0,0,0,0,00010
32,82,13,XX,XX,01,  Banagram Union,0,0,0,0,0,0,0,0,00010
32,82,13,XX,XX,03,  Banagram Union,0,0,0,0,0,0,0,0,00010
32,82,60,XX,XX,01,  Jamalpur Union,0,0,0,0,0,0,0,0,00010
32,82,60,XX,XX,03,  Jamalpur Union,0,0,0,0,0,0,0,0,00010
32,88,19,XX,XX,01,  Bonar Para Union,119,445,221,224,0,445,0,0,00010
32,88,19,XX,XX,03,  Bonar Para Union,0,0,0,0,0,0,0,0,00010
32,88,85,XX,XX,01,  Saghata Union,8,46,25,21,0,0,0,46,00010
32,88,85,XX,XX,03,  Saghata Union,14,56,28,28,0,0,0,56,00010
32,91,31,XX,XX,01,  Dahabanda Union,0,0,0,0,0,0,0,0,00010
32,91,31,XX,XX,03,  Dahabanda Union,0,0,0,0,0,0,0,0,00010
