0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
50,15,27,XX,XX,01,  Bahir Char Union,0,0,0,0,0,0,0,0,00010
50,15,27,XX,XX,03,  Bahir Char Union,0,0,0,0,0,0,0,0,00010
50,15,40,XX,XX,01,  Chandgram Union,5,28,16,12,26,0,2,0,00010
50,15,40,XX,XX,03,  Chandgram Union,0,0,0,0,0,0,0,0,00010
50,39,33,XX,XX,01,  Daulatpur Union,0,0,0,0,0,0,0,0,00010
50,39,33,XX,XX,03,  Daulatpur Union,0,0,0,0,0,0,0,0,00010
50,39,61,XX,XX,01,  Mathurapur Union,0,0,0,0,0,0,0,0,00010
50,39,61,XX,XX,03,  Mathurapur Union,0,0,0,0,0,0,0,0,00010
50,63,71,XX,XX,01,  Samaspur Union,0,0,0,0,0,0,0,0,00010
50,63,71,XX,XX,03,  Samaspur Union,0,0,0,0,0,0,0,0,00010
50,79,50,XX,XX,01,  Battail Union,27,115,58,57,0,0,0,115,00010
50,79,50,XX,XX,03,  Battail Union,0,0,0,0,0,0,0,0,00010
50,94,14,XX,XX,01,  Amla Union,1,4,2,2,0,4,0,0,00010
50,94,14,XX,XX,03,  Amla Union,0,0,0,0,0,0,0,0,00010
50,94,80,XX,XX,01,  Poradaha Union,0,0,0,0,0,0,0,0,00010
50,94,80,XX,XX,03,  Poradaha Union,7,35,16,19,0,0,0,35,00010
