0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
58,14,13,XX,XX,01,  Barlekha Union,60,301,164,137,0,171,127,3,00010
58,14,13,XX,XX,03,  Barlekha Union,9,25,10,15,4,0,0,21,00010
58,35,47,XX,XX,01,  Jaifarnagar Union,9,57,31,26,0,40,0,17,00010
58,35,47,XX,XX,03,  Jaifarnagar Union,4,18,9,9,3,0,0,15,00010
58,56,38,XX,XX,01,  Kamalganj Union,135,661,352,309,5,4,197,455,00010
58,56,38,XX,XX,03,  Kamalganj Union,322,1407,659,748,661,210,0,536,00010
58,65,65,XX,XX,01,  Kulaura Union,146,748,376,372,0,609,5,134,00010
58,65,65,XX,XX,03,  Kulaura Union,0,0,0,0,0,0,0,0,00010
58,80,63,XX,XX,01,  Rajnagar Union,18,91,46,45,0,0,0,91,00010
58,80,63,XX,XX,03,  Rajnagar Union,8,31,16,15,0,0,0,31,00010
58,80,73,XX,XX,01,  Tengra Union,7,32,17,15,11,0,0,21,00010
58,80,73,XX,XX,03,  Tengra Union,0,0,0,0,0,0,0,0,00010
58,83,85,XX,XX,01,  Sreemangal Union,230,1094,540,554,32,222,43,797,00010
58,83,85,XX,XX,03,  Sreemangal Union,15,72,29,43,11,7,48,6,00010
