0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
64,03,10,XX,XX,01,  Ahsanganj Union,2,9,7,2,9,0,0,0,00010
64,03,10,XX,XX,03,  Ahsanganj Union,0,0,0,0,0,0,0,0,00010
64,03,21,XX,XX,01,  Bhopara Union,2,11,5,6,11,0,0,0,00010
64,03,21,XX,XX,03,  Bhopara Union,0,0,0,0,0,0,0,0,00010
64,03,73,XX,XX,01,  Panchupur Union,3,17,8,9,11,6,0,0,00010
64,03,73,XX,XX,03,  Panchupur Union,3,9,6,3,9,0,0,0,00010
64,06,21,XX,XX,01,  Badalgachhi Union,557,2261,1146,1115,0,0,227,2034,00010
64,06,21,XX,XX,03,  Badalgachhi Union,151,580,276,304,0,2,0,578,00010
64,28,63,XX,XX,01,  Jahanpur Union,124,472,233,239,0,146,11,315,00010
64,28,63,XX,XX,03,  Jahanpur Union,5,33,19,14,0,10,0,23,00010
64,47,54,XX,XX,01,  Kusumba Union,136,513,245,268,345,48,0,120,00010
64,47,54,XX,XX,03,  Kusumba Union,0,0,0,0,0,0,0,0,00010
64,47,67,XX,XX,01,  Manda Union,20,70,34,36,0,0,3,67,00010
64,47,67,XX,XX,03,  Manda Union,22,97,55,42,0,0,0,97,00010
64,47,88,XX,XX,01,  Prasadpur Union,0,0,0,0,0,0,0,0,00010
64,47,88,XX,XX,03,  Prasadpur Union,0,0,0,0,0,0,0,0,00010
64,50,57,XX,XX,01,  Khajur Union,306,1134,561,573,210,139,55,730,00010
64,50,57,XX,XX,03,  Khajur Union,1,3,1,2,0,3,0,0,00010
64,50,66,XX,XX,01,  Mahadebpur Union,473,1857,923,934,882,919,5,51,00010
64,50,66,XX,XX,03,  Mahadebpur Union,55,215,106,109,7,146,4,58,00010
64,69,52,XX,XX,01,  Niamatpur Union,664,2792,1403,1389,514,811,482,985,00010
64,69,52,XX,XX,03,  Niamatpur Union,100,363,170,193,0,13,49,301,00010
64,79,55,XX,XX,01,  Nithpur Union,158,704,348,356,221,273,76,134,00010
64,79,55,XX,XX,03,  Nithpur Union,18,72,41,31,0,52,18,2,00010
64,85,84,XX,XX,01,  Raninagar Union,0,0,0,0,0,0,0,0,00010
64,85,84,XX,XX,03,  Raninagar Union,1,5,4,1,0,5,0,0,00010
64,86,71,XX,XX,01,  Sapahar Union,179,733,375,358,147,483,0,103,00010
64,86,71,XX,XX,03,  Sapahar Union,26,119,59,60,93,16,0,10,00010
64,86,79,XX,XX,01,  Shiranti Union,255,1127,559,568,13,589,184,341,00010
64,86,79,XX,XX,03,  Shiranti Union,40,158,90,68,0,112,11,35,00010
