0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
78,38,29,XX,XX,01,  Bauphal Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,38,29,XX,XX,03,  Bauphal Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,38,35,XX,XX,01,  Daspara Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,38,35,XX,XX,03,  Daspara Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,52,31,XX,XX,01,  Banshbaria Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,52,31,XX,XX,03,  Banshbaria Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,52,52,XX,XX,01,  Dashmina Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,52,52,XX,XX,03,  Dashmina Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,55,93,XX,XX,01,  Sreerampur Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,55,93,XX,XX,03,  Sreerampur Union,1.0,5.0,3.0,2,0,0,0,5,00010
78,57,50,XX,XX,01,  Chiknikandi Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,57,50,XX,XX,03,  Chiknikandi Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,57,67,XX,XX,01,  Galachipa Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,57,67,XX,XX,03,  Galachipa Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,66,83,XX,XX,01,  Tiakhali Union,6.0,21.0,11.0,10,21,0,0,0,00010
78,66,83,XX,XX,03,  Tiakhali Union,18.0,73.0,43.0,30,70,0,0,3,00010
78,76,13,XX,XX,01,  Amragachhia Union,1.0,3.0,2.0,1,0,3,0,0,00010
78,76,13,XX,XX,03,  Amragachhia Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,76,27,XX,XX,01,  Deuli Subidkhali Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,76,27,XX,XX,03,  Deuli Subidkhali Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,76,81,XX,XX,01,  Mirzaganj Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,76,81,XX,XX,03,  Mirzaganj Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,95,27,XX,XX,01,  Jainkati Union,0.0,0.0,0.0,0,0,0,0,0,00010
78,95,27,XX,XX,03,  Jainkati Union,0.0,0.0,0.0,0,0,0,0,0,00010
