0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
84,07,59,XX,XX,03,  Marishya Union,859,3706,1900,1806,3706,0,0,0,00010
84,07,71,XX,XX,01,  Rupakari Union,692,2969,1555,1414,2969,0,0,0,00010
84,07,71,XX,XX,03,  Rupakari Union,273,1264,635,629,1264,0,0,0,00010
84,21,47,XX,XX,01,  Barkal Union,682,3538,1868,1670,3430,25,0,83,00010
84,21,47,XX,XX,03,  Barkal Union,292,1369,755,614,1022,237,0,110,00010
84,25,19,XX,XX,01,  Betbunia Union,806,3375,1699,1676,544,2825,0,6,00010
84,25,19,XX,XX,03,  Betbunia Union,727,3190,1630,1560,98,3062,0,30,00010
84,29,23,XX,XX,01,  Belai Chhari Union,1190,5639,2906,2733,1983,412,2634,610,00010
84,29,23,XX,XX,03,  Belai Chhari Union,317,1295,732,563,954,111,209,21,00010
84,36,57,XX,XX,01,  Kaptai Union,448,2116,1104,1012,601,239,1169,107,00010
84,36,57,XX,XX,03,  Kaptai Union,154,628,344,284,126,396,25,81,00010
84,47,57,XX,XX,01,  Jurai Chhari Union,669,2948,1510,1438,2942,0,6,0,00010
84,47,57,XX,XX,03,  Jurai Chhari Union,1209,5433,2811,2622,5406,6,1,20,00010
84,58,67,XX,XX,01,  Langadu Union,782,3679,1867,1812,3665,6,0,8,00010
84,58,67,XX,XX,03,  Langadu Union,1363,5811,2961,2850,5777,6,3,25,00010
84,75,57,XX,XX,01,  Naniarchar Union,1257,5969,3102,2867,5947,0,0,22,00010
84,75,57,XX,XX,03,  Naniarchar Union,963,4270,2128,2142,4184,68,0,18,00010
84,78,71,XX,XX,01,  Gainda Union,1201,5036,2533,2503,6,4208,577,245,00010
84,78,71,XX,XX,03,  Gainda Union,456,1760,852,908,63,1188,472,37,00010
