0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
85,27,31,XX,XX,01,  Gangachara Union,0,0,0,0,0,0,0,0,00010
85,27,31,XX,XX,03,  Gangachara Union,0,0,0,0,0,0,0,0,00010
85,58,49,XX,XX,01,  Durgapur Union,191,699,340,359,693,6,0,0,00010
85,58,49,XX,XX,03,  Durgapur Union,143,592,295,297,480,0,0,112,00010
85,73,76,XX,XX,01,  Pirgachha Union,0,0,0,0,0,0,0,0,00010
85,73,76,XX,XX,03,  Pirgachha Union,0,0,0,0,0,0,0,0,00010
85,76,69,XX,XX,01,  Pirganj Union,0,0,0,0,0,0,0,0,00010
85,76,69,XX,XX,03,  Pirganj Union,1,2,1,1,0,0,0,2,00010
85,76,75,XX,XX,01,  Roypur Union,46,176,97,79,0,0,81,95,00010
85,76,75,XX,XX,03,  Roypur Union,0,0,0,0,0,0,0,0,00010
85,92,71,XX,XX,01,  Kursha Union,1,6,3,3,0,0,0,6,00010
85,92,71,XX,XX,03,  Kursha Union,0,0,0,0,0,0,0,0,00010
