0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
88,27,27,XX,XX,01,  Khas Kaulia Union,0,0,0,0,0,0,0,0,00010
88,27,27,XX,XX,03,  Khas Kaulia Union,0,0,0,0,0,0,0,0,00010
88,27,47,XX,XX,01,  Sadia Chandpur Union,0,0,0,0,0,0,0,0,00010
88,27,47,XX,XX,03,  Sadia Chandpur Union,1,3,2,1,0,0,0,3,00010
88,44,38,XX,XX,01,  Jamtail Union,0,0,0,0,0,0,0,0,00010
88,44,38,XX,XX,03,  Jamtail Union,0,0,0,0,0,0,0,0,00010
88,50,25,XX,XX,01,  Gandail Union,0,0,0,0,0,0,0,0,00010
88,50,25,XX,XX,03,  Gandail Union,0,0,0,0,0,0,0,0,00010
88,50,77,XX,XX,01,  Sonamukhi Union,0,0,0,0,0,0,0,0,00010
88,50,77,XX,XX,03,  Sonamukhi Union,0,0,0,0,0,0,0,0,00010
88,61,38,XX,XX,01,  Dhangara Union,1,3,2,1,0,0,0,3,00010
88,61,38,XX,XX,03,  Dhangara Union,0,0,0,0,0,0,0,0,00010
88,67,14,XX,XX,01,  Gala Union,0,0,0,0,0,0,0,0,00010
88,67,14,XX,XX,03,  Gala Union,0,0,0,0,0,0,0,0,00010
88,78,16,XX,XX,01,  Baghbati Union,0,0,0,0,0,0,0,0,00010
88,78,16,XX,XX,03,  Baghbati Union,0,0,0,0,0,0,0,0,00010
88,89,84,XX,XX,01,  Tarash Union,0,0,0,0,0,0,0,0,00010
88,89,84,XX,XX,03,  Tarash Union,0,0,0,0,0,0,0,0,00010
