0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
94,08,21,XX,XX,01,  Barabari Union,0,0,0,0,0,0,0,0,00010
94,08,21,XX,XX,03,  Barabari Union,0,0,0,0,0,0,0,0,00010
94,08,73,XX,XX,01,  Duosuo Union,7,31,14,17,0,0,0,31,00010
94,08,73,XX,XX,03,  Duosuo Union,0,0,0,0,0,0,0,0,00010
94,51,81,XX,XX,01,  Haripur Union,13,61,31,30,45,0,16,0,00010
94,51,81,XX,XX,03,  Haripur Union,0,0,0,0,0,0,0,0,00010
94,94,52,XX,XX,01,  Jamalpur Union,0,0,0,0,0,0,0,0,00010
94,94,52,XX,XX,03,  Jamalpur Union,0,0,0,0,0,0,0,0,00010
94,94,58,XX,XX,01,  Mohammadpur Union,11,55,25,30,55,0,0,0,00010
94,94,58,XX,XX,03,  Mohammadpur Union,0,0,0,0,0,0,0,0,00010
94,94,68,XX,XX,01,  Rahimanpur Union,49,259,122,137,214,0,0,45,00010
94,94,68,XX,XX,03,  Rahimanpur Union,0,0,0,0,0,0,0,0,00010
