ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,12,11,XXX,XX,XX,  Amirpur Union Total,4593,3884,16282,16282,00111
47,12,23,XXX,XX,XX,  Baliadanga Union Total,4839,4027,16813,16813,00111
47,12,35,XXX,XX,XX,Batiaghata Union Total,8535,4710,19460,19460,00111
47,12,47,XXX,XX,XX,  Bhanderkote Union Total,6966,3966,15834,15834,00111
47,12,59,XXX,XX,XX,  Gangarampur Union Total,9271,4651,18168,18158,00111
47,12,71,XXX,XX,XX,  Jalma Union Total,12934,13243,59025,59023,00111
47,12,83,XXX,XX,XX,  Surkhali Union Total,10986,6298,26109,26108,00111
47,17,01,XXX,XX,XX,  Ward No-01 Total,225,976,976,0,00111
47,17,02,XXX,XX,XX,  Ward No-02 Total,326,1341,1341,0,00111
47,17,03,XXX,XX,XX,  Ward No-03 Total,368,1596,1596,0,00111
47,17,04,XXX,XX,XX,  Ward No-04 Total,284,1220,1220,0,00111
47,17,05,XXX,XX,XX,  Ward No-05 Total,348,1411,1411,0,00111
47,17,06,XXX,XX,XX,  Ward No-06 Total,278,1033,1019,14,00111
47,17,07,XXX,XX,XX,  Ward No-07 Total,461,1876,1876,0,00111
47,17,08,XXX,XX,XX,  Ward No-08 Total,667,2717,2717,0,00111
47,17,09,XXX,XX,XX,  Ward No-09 Total,492,2018,2018,0,00111
47,17,10,XXX,XX,XX,  Bajua Union Total,14054,3577,15753,15702,00111
47,17,13,XXX,XX,XX,  Banishanta Union Total,56749,3398,14606,14589,00111
47,17,21,XXX,XX,XX,  Laudubi Union Total,3613,2042,9222,9222,00111
47,17,42,XXX,XX,XX,  Dacope Union Total,4329,1825,7047,7047,00111
47,17,52,XXX,XX,XX,  Kailasganj Union Total,7744,3443,14516,14473,00111
47,17,63,XXX,XX,XX,  Kamarkhola Union Total,10214,3559,13897,13897,00111
47,17,69,XXX,XX,XX,  Pankhali Union Total,9099,3735,15570,15570,00111
47,17,73,XXX,XX,XX,  Sutarkhali Union Total,112059,7463,30060,30043,00111
47,17,84,XXX,XX,XX,  Tildanga Union Total,24526,4095,17006,17006,00111
47,17,97,XXX,XX,XX,  Khulna Range Union Total,197438,11,451,451,00111
47,21,01,XXX,XX,XX,  Ward No-01 Total,4498,18900,18900,0,00111
47,21,02,XXX,XX,XX,  Ward No-02 (Part) Total,2288,8246,8246,0,00111
47,21,03,XXX,XX,XX,  Ward No-03 Total,5073,21821,21821,0,00111
47,21,04,XXX,XX,XX,  Ward No-04 Total,3764,15780,15780,0,00111
47,21,05,XXX,XX,XX,  Ward No-05 Total,3829,14835,14835,0,00111
47,21,06,XXX,XX,XX,  Ward No-06 Total,4630,20734,20734,0,00111
47,21,10,XXX,XX,XX,  Aranghata Union Total,2914,12126,12126,0,00111
47,30,11,XXX,XX,XX,  Atlia Union Total,9220,7612,32236,32215,00111
47,30,13,XXX,XX,XX,  Bhandar Para Union Total,8726,4077,16749,16749,00111
47,30,20,XXX,XX,XX,  Dhamalia Union Total,5753,5170,22240,22208,00111
47,30,27,XXX,XX,XX,Dumuria Union Total,4624,6635,29242,29224,00111
47,30,33,XXX,XX,XX,  Gutudia Union Total,14120,5971,26143,26143,00111
47,30,40,XXX,XX,XX,  Kharnia Union Total,5160,4987,20585,20585,00111
47,30,47,XXX,XX,XX,  Magurkhali Union Total,9911,3214,13891,13891,00111
47,30,54,XXX,XX,XX,  Maguraghona Union Total,4891,5373,23115,23113,00111
47,30,61,XXX,XX,XX,  Raghunathpur Union Total,8764,5935,25817,25816,00111
47,30,67,XXX,XX,XX,  Rangpur Union Total,8960,4105,18053,18053,00111
47,30,74,XXX,XX,XX,  Rudaghara Union Total,7100,5404,23148,23138,00111
47,30,81,XXX,XX,XX,  Sahas Union Total,6172,4498,18647,18647,00111
47,30,88,XXX,XX,XX,  Sarappur Union Total,5615,4122,16101,16097,00111
47,30,94,XXX,XX,XX,  Sovna Union Total,10972,4806,19708,19697,00111
47,40,17,XXX,XX,XX,  Barakpur Union Total,6083,4807,22907,22907,00111
47,40,57,XXX,XX,XX,  Dighalia Union Total,3835,6647,29518,29518,00111
