ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,12,11,XXX,XX,XX,  Amirpur Union Total,3884,3879,4,1,16282,8254,8028.0,103.0,00111
47,12,23,XXX,XX,XX,  Baliadanga Union Total,4027,4025,1,1,16813,8424,8389.0,100.0,00111
47,12,35,XXX,XX,XX,Batiaghata Union Total,4710,4702,3,5,19460,9644,9816.0,98.0,00111
47,12,47,XXX,XX,XX,  Bhanderkote Union Total,3966,3964,1,1,15834,7888,7946.0,99.0,00111
47,12,59,XXX,XX,XX,  Gangarampur Union Total,4651,4647,2,2,18168,9004,9164.0,98.0,00111
47,12,71,XXX,XX,XX,  Jalma Union Total,13243,13152,13,78,59025,30638,28387.0,108.0,00111
47,12,83,XXX,XX,XX,  Surkhali Union Total,6298,6290,1,7,26109,12833,13276.0,97.0,00111
47,17,01,XXX,XX,XX,  Ward No-01 Total,225,225,0,0,976,492,484.0,102.0,00111
47,17,02,XXX,XX,XX,  Ward No-02 Total,326,326,0,0,1341,641,700.0,92.0,00111
47,17,03,XXX,XX,XX,  Ward No-03 Total,368,352,6,10,1596,757,839.0,90.0,00111
47,17,04,XXX,XX,XX,  Ward No-04 Total,284,281,1,2,1220,596,624.0,96.0,00111
47,17,05,XXX,XX,XX,  Ward No-05 Total,348,346,0,2,1411,688,723.0,95.0,00111
47,17,06,XXX,XX,XX,  Ward No-06 Total,278,274,0,4,1033,561,472.0,119.0,00111
47,17,07,XXX,XX,XX,  Ward No-07 Total,461,444,0,17,1876,953,923.0,103.0,00111
47,17,08,XXX,XX,XX,  Ward No-08 Total,667,637,7,23,2717,1360,1357.0,100.0,00111
47,17,09,XXX,XX,XX,  Ward No-09 Total,492,489,3,0,2018,1017,1001.0,102.0,00111
47,17,10,XXX,XX,XX,  Bajua Union Total,3577,3556,4,17,15753,7909,7844.0,101.0,00111
