ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,General Households,Percentage of Households comprising-1 person,Percentage of Households comprising-2 persons,Percentage of Households comprising-3 persons,Percentage of Households comprising-4 persons,Percentage of Households comprising-5 persons,Percentage of Households comprising-6 persons,Percentage of Households comprising-7 persons,Percentage of Households comprising-8+ persons,Average size of Household,check_var
47,XX.0,XX.0,XXX,XX,XX,Khulna Zila Total,540504,3.4,11.0,22.1,27.2,17.9,9.4,4.4,4.6,4.2,00111
47,12.0,XX.0,XXX,XX,XX,Batiaghata Upazila Total,40659,3.1,11.1,23.0,27.1,17.8,9.5,4.2,4.2,4.2,00111
47,12.0,11.0,XXX,XX,XX,  Amirpur Union Total,3879,2.7,10.5,22.8,27.8,18.8,9.7,4.2,3.7,4.2,00111
47,12.0,23.0,XXX,XX,XX,  Baliadanga Union Total,4025,2.7,11.0,21.7,27.5,19.2,10.4,3.8,3.7,4.2,00111
47,12.0,35.0,XXX,XX,XX,Batiaghata Union Total,4702,3.3,11.3,24.8,27.2,16.0,8.8,4.1,4.6,4.1,00111
47,12.0,47.0,XXX,XX,XX,  Bhanderkote Union Total,3964,3.0,12.1,24.2,27.7,18.4,8.8,3.6,2.2,4.0,00111
47,12.0,59.0,XXX,XX,XX,  Gangarampur Union Total,4647,3.7,13.8,26.1,26.1,16.6,8.1,2.7,2.8,3.9,00111
47,12.0,71.0,XXX,XX,XX,  Jalma Union Total,13152,3.1,9.9,21.7,26.6,18.0,10.1,5.1,5.6,4.3,00111
47,12.0,83.0,XXX,XX,XX,  Surkhali Union Total,6290,2.9,11.5,22.6,27.7,17.7,9.8,4.3,3.7,4.1,00111
47,17.0,XX.0,XXX,XX,XX,Dacope Upazila Total,36369,3.0,11.4,22.6,28.1,18.2,8.9,4.0,3.8,4.1,00111
WA,47.0,17.0,XXX,XX,XX,Chalna Paurashava,3374,4.8,12.2,24.8,27.6,16.0,7.1,3.8,3.7,4.0,00111
47,17.0,1.0,XXX,XX,XX,  Ward No-01 Total,225,3.6,6.2,21.8,26.2,20.0,14.2,4.4,3.6,4.3,00111
47,17.0,2.0,XXX,XX,XX,  Ward No-02 Total,326,2.8,10.4,27.3,27.0,16.9,7.1,4.0,4.6,4.1,00111
47,17.0,3.0,XXX,XX,XX,  Ward No-03 Total,352,4.8,12.5,25.6,25.0,18.8,6.8,4.0,2.6,3.9,00111
47,17.0,4.0,XXX,XX,XX,  Ward No-04 Total,281,3.9,8.9,26.3,26.0,17.4,8.2,6.0,3.2,4.1,00111
47,17.0,5.0,XXX,XX,XX,  Ward No-05 Total,346,1.7,14.7,26.6,26.6,15.6,5.2,4.0,5.5,4.0,00111
47,17.0,6.0,XXX,XX,XX,  Ward No-06 Total,274,10.6,14.2,24.5,28.1,12.4,4.4,1.8,4.0,3.6,00111
47,17.0,7.0,XXX,XX,XX,  Ward No-07 Total,444,2.7,13.1,21.2,30.6,15.1,8.6,4.3,4.5,4.1,00111
47,17.0,8.0,XXX,XX,XX,  Ward No-08 Total,637,8.5,13.7,25.1,26.2,14.9,6.6,2.7,2.4,3.7,00111
47,17.0,9.0,XXX,XX,XX,  Ward No-09 Total,489,3.3,11.9,25.2,30.9,15.5,5.5,3.9,3.9,4.0,00111
47,17.0,10.0,XXX,XX,XX,  Bajua Union Total,3556,3.5,10.2,20.8,25.9,18.3,10.2,4.7,6.5,4.4,00111
47,17.0,13.0,XXX,XX,XX,  Banishanta Union Total,3371,3.5,9.8,19.0,27.4,20.6,10.2,4.4,5.2,4.3,00111
47,17.0,21.0,XXX,XX,XX,  Laudubi Union Total,2035,2.1,8.9,20.1,27.5,18.1,11.0,5.5,6.9,4.5,00111
47,17.0,42.0,XXX,XX,XX,  Dacope Union Total,1816,4.7,13.2,24.7,27.6,16.8,7.3,3.3,2.4,3.9,00111
47,17.0,52.0,XXX,XX,XX,  Kailasganj Union Total,3435,3.0,10.7,21.3,28.1,19.2,8.6,4.9,4.2,4.2,00111
47,17.0,63.0,XXX,XX,XX,  Kamarkhola Union Total,3540,2.1,13.4,25.3,29.4,18.3,7.9,2.2,1.3,3.9,00111
47,17.0,69.0,XXX,XX,XX,  Pankhali Union Total,3729,2.8,11.7,23.1,27.2,16.6,9.9,4.6,4.2,4.2,00111
47,17.0,73.0,XXX,XX,XX,  Sutarkhali Union Total,7439,2.0,11.4,23.0,30.1,19.7,8.9,3.2,1.7,4.0,00111
47,17.0,84.0,XXX,XX,XX,  Tildanga Union Total,4074,3.4,12.0,23.4,27.5,16.4,8.2,4.4,4.7,4.1,00111
47,17.0,97.0,XXX,XX,XX,  Khulna Range Union Total,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00111
