ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,XX.0,XX.0,XXX,XX,XX,Khulna Zila Total,2318527,8.5,10.4,10.9,8.9,9.7,9.6,26.9,7.0,2.8,5.3,00111
47,12.0,XX.0,XXX,XX,XX,Batiaghata Upazila Total,171691,8.6,10.2,10.4,7.9,9.2,9.2,27.4,7.4,3.1,6.7,00111
47,12.0,11.0,XXX,XX,XX,  Amirpur Union Total,16282,10.3,11.2,11.3,8.0,8.7,8.8,26.4,6.7,2.7,6.0,00111
47,12.0,23.0,XXX,XX,XX,  Baliadanga Union Total,16813,9.8,11.2,12.1,7.6,8.2,8.4,26.8,6.6,3.4,5.9,00111
47,12.0,35.0,XXX,XX,XX,Batiaghata Union Total,19460,6.9,7.4,8.6,6.9,8.2,9.2,31.0,9.4,3.8,8.6,00111
47,12.0,47.0,XXX,XX,XX,  Bhanderkote Union Total,15834,9.3,10.7,11.0,6.8,8.0,7.9,28.0,7.8,3.5,7.0,00111
47,12.0,59.0,XXX,XX,XX,  Gangarampur Union Total,18168,6.8,8.9,8.3,7.6,8.1,8.9,30.2,9.3,3.4,8.5,00111
47,12.0,71.0,XXX,XX,XX,  Jalma Union Total,59025,8.7,10.6,11.1,8.9,10.8,9.8,25.8,6.4,2.7,5.3,00111
47,12.0,83.0,XXX,XX,XX,  Surkhali Union Total,26109,8.8,10.9,9.5,7.1,8.6,9.6,27.0,7.6,3.2,7.6,00111
47,17.0,XX.0,XXX,XX,XX,Dacope Upazila Total,152316,7.5,9.6,10.8,8.3,8.9,9.3,27.9,8.0,3.1,6.6,00111
           Community,47.0,17.0,XXX,XX,XX,Chalna Paurashava,14188,7.1,8.8,10.0,10.9,8.6,9.2,29.7,7.4,2.7,5.6,00111
47,17.0,1.0,XXX,XX,XX,  Ward No-01 Total,976,5.6,9.1,7.6,10.2,7.6,9.0,30.1,10.0,3.6,7.1,00111
47,17.0,2.0,XXX,XX,XX,  Ward No-02 Total,1341,7.7,9.0,9.8,7.5,10.1,10.5,29.2,7.2,2.5,6.5,00111
47,17.0,3.0,XXX,XX,XX,  Ward No-03 Total,1596,6.0,6.0,8.8,19.0,9.6,7.1,26.0,8.0,3.8,5.8,00111
47,17.0,4.0,XXX,XX,XX,  Ward No-04 Total,1220,9.0,11.8,13.9,10.8,9.3,8.8,24.8,5.5,1.8,4.2,00111
47,17.0,5.0,XXX,XX,XX,  Ward No-05 Total,1411,7.8,8.0,7.7,7.9,7.9,9.2,33.9,7.7,3.8,6.1,00111
47,17.0,6.0,XXX,XX,XX,  Ward No-06 Total,1033,6.7,7.6,9.7,8.2,8.2,11.3,33.6,8.1,2.6,4.0,00111
