ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
47,12,11,XXX,XX,XX,  Amirpur Union Total,321,208,399,367,71,27,497,824,20,6,626,784,00111
47,12,23,XXX,XX,XX,  Baliadanga Union Total,344,228,341,360,45,13,534,782,12,9,632,760,00111
47,12,35,XXX,XX,XX,Batiaghata Union Total,477,381,207,283,191,127,504,773,61,30,724,976,00111
47,12,47,XXX,XX,XX,  Bhanderkote Union Total,251,189,322,321,70,35,443,720,19,3,495,726,00111
47,12,59,XXX,XX,XX,  Gangarampur Union Total,412,372,256,347,138,74,495,762,31,18,646,917,00111
47,12,71,XXX,XX,XX,  Jalma Union Total,1450,936,1246,1638,1069,490,1873,2933,133,49,2660,2944,00111
47,12,83,XXX,XX,XX,  Surkhali Union Total,488,335,438,595,120,51,756,1318,48,14,1092,1352,00111
47,17,01,XXX,XX,XX,  Ward No-01 Total,36,28,18,18,10,5,28,31,2,1,48,37,00111
47,17,02,XXX,XX,XX,  Ward No-02 Total,23,25,24,29,6,6,60,63,2,0,61,78,00111
47,17,03,XXX,XX,XX,  Ward No-03 Total,97,159,22,26,14,16,58,65,2,2,56,53,00111
47,17,04,XXX,XX,XX,  Ward No-04 Total,25,27,38,42,3,0,37,74,0,0,50,57,00111
47,17,05,XXX,XX,XX,  Ward No-05 Total,24,42,21,24,8,7,40,56,2,2,52,74,00111
47,17,06,XXX,XX,XX,  Ward No-06 Total,23,18,24,20,4,2,35,44,3,1,60,53,00111
47,17,07,XXX,XX,XX,  Ward No-07 Total,105,63,17,29,17,8,52,58,2,2,72,98,00111
47,17,08,XXX,XX,XX,  Ward No-08 Total,148,126,29,44,26,10,55,144,5,2,106,141,00111
47,17,09,XXX,XX,XX,  Ward No-09 Total,58,40,28,29,16,5,66,93,6,2,77,94,00111
47,17,10,XXX,XX,XX,  Bajua Union Total,485,348,242,294,137,74,464,755,48,13,659,777,00111
