ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism,check_var
47.0,XX.0,XX.0,XXX,XX,XX,Khulna Zila Total,2318527,1.7,0.2,0.4,0.2,0.7,0.2,0.1,00111
47.0,12.0,XX.0,XXX,XX,XX,Batiaghata Upazila Total,171691,2.0,0.2,0.5,0.3,0.6,0.2,0.1,00111
47.0,12.0,11.0,XXX,XX,XX,  Amirpur Union Total,16282,2.2,0.2,0.3,0.3,0.8,0.3,0.2,00111
47.0,12.0,23.0,XXX,XX,XX,  Baliadanga Union Total,16813,3.2,0.4,0.6,0.2,1.4,0.3,0.2,00111
47.0,12.0,35.0,XXX,XX,XX,Batiaghata Union Total,19460,1.7,0.2,0.4,0.3,0.5,0.2,0.1,00111
47.0,12.0,47.0,XXX,XX,XX,  Bhanderkote Union Total,15834,1.9,0.2,0.2,0.2,0.8,0.4,0.2,00111
47.0,12.0,59.0,XXX,XX,XX,  Gangarampur Union Total,18168,1.6,0.2,0.3,0.2,0.7,0.2,0.1,00111
47.0,12.0,71.0,XXX,XX,XX,  Jalma Union Total,59025,1.2,0.2,0.3,0.2,0.4,0.1,0.1,00111
47.0,12.0,83.0,XXX,XX,XX,  Surkhali Union Total,26109,3.2,0.4,1.2,0.6,0.7,0.2,0.1,00111
47.0,17.0,XX.0,XXX,XX,XX,Dacope Upazila Total,152316,1.6,0.2,0.3,0.2,0.7,0.2,0.1,00111
0.1,47.0,17.0,XXX,XX,XX,Chalna Paurashava,14188,1.7,0.2,0.2,0.2,0.7,0.3,0.1,00111
47.0,17.0,1.0,XXX,XX,XX,  Ward No-01 Total,976,2.0,0.1,0.5,0.4,0.7,0.2,0.1,00111
47.0,17.0,2.0,XXX,XX,XX,  Ward No-02 Total,1341,1.7,0.4,0.4,0.0,0.6,0.3,0.1,00111
47.0,17.0,3.0,XXX,XX,XX,  Ward No-03 Total,1596,1.4,0.1,0.0,0.0,1.1,0.1,0.1,00111
47.0,17.0,4.0,XXX,XX,XX,  Ward No-04 Total,1220,1.1,0.2,0.1,0.5,0.2,0.0,0.2,00111
47.0,17.0,5.0,XXX,XX,XX,  Ward No-05 Total,1411,0.4,0.0,0.1,0.0,0.0,0.3,0.1,00111
47.0,17.0,6.0,XXX,XX,XX,  Ward No-06 Total,1033,1.2,0.3,0.1,0.0,0.8,0.0,0.0,00111
47.0,17.0,7.0,XXX,XX,XX,  Ward No-07 Total,1876,1.0,0.3,0.0,0.2,0.5,0.0,0.1,00111
47.0,17.0,8.0,XXX,XX,XX,  Ward No-08 Total,2717,2.9,0.1,0.4,0.3,0.9,0.9,0.3,00111
47.0,17.0,9.0,XXX,XX,XX,  Ward No-09 Total,2018,2.5,0.0,0.2,0.2,1.2,0.6,0.1,00111
47.0,17.0,10.0,XXX,XX,XX,  Bajua Union Total,15753,1.1,0.2,0.2,0.1,0.4,0.2,0.0,00111
47.0,17.0,13.0,XXX,XX,XX,  Banishanta Union Total,14606,1.9,0.2,0.1,0.1,1.2,0.2,0.1,00111
47.0,17.0,21.0,XXX,XX,XX,  Laudubi Union Total,9222,0.8,0.1,0.1,0.1,0.2,0.2,0.1,00111
47.0,17.0,42.0,XXX,XX,XX,  Dacope Union Total,7047,1.4,0.1,0.2,0.2,0.6,0.2,0.1,00111
47.0,17.0,52.0,XXX,XX,XX,  Kailasganj Union Total,14516,1.7,0.2,0.3,0.3,0.6,0.3,0.0,00111
47.0,17.0,63.0,XXX,XX,XX,  Kamarkhola Union Total,13897,1.7,0.2,0.4,0.1,0.6,0.3,0.1,00111
47.0,17.0,69.0,XXX,XX,XX,  Pankhali Union Total,15570,2.1,0.2,0.4,0.2,0.9,0.3,0.1,00111
47.0,17.0,73.0,XXX,XX,XX,  Sutarkhali Union Total,30060,1.9,0.2,0.3,0.2,0.9,0.2,0.1,00111
47.0,17.0,84.0,XXX,XX,XX,  Tildanga Union Total,17006,1.4,0.2,0.3,0.1,0.5,0.2,0.1,00111
47.0,17.0,97.0,XXX,XX,XX,  Khulna Range Union Total,451,0.2,0.0,0.0,0.2,0.0,0.0,0.0,00111
47.0,21.0,XX.0,XXX,XX,XX,Daulatpur Thana Total,112442,1.6,0.1,0.4,0.1,0.7,0.2,0.0,00111
47.0,21.0,1.0,XXX,XX,XX,  Ward No-01 Total,18900,0.9,0.2,0.1,0.1,0.4,0.1,0.0,00111
47.0,21.0,2.0,XXX,XX,XX,  Ward No-02 (Part) Total,8246,1.1,0.1,0.4,0.1,0.4,0.1,0.0,00111
47.0,21.0,3.0,XXX,XX,XX,  Ward No-03 Total,21821,0.8,0.1,0.1,0.1,0.5,0.1,0.0,00111
47.0,21.0,4.0,XXX,XX,XX,  Ward No-04 Total,15780,3.1,0.2,1.1,0.3,1.2,0.2,0.1,00111
47.0,21.0,5.0,XXX,XX,XX,  Ward No-05 Total,14835,2.9,0.1,1.2,0.1,1.3,0.2,0.0,00111
47.0,21.0,6.0,XXX,XX,XX,  Ward No-06 Total,20734,1.4,0.2,0.3,0.1,0.7,0.1,0.1,00111
47.0,21.0,10.0,XXX,XX,XX,  Aranghata Union Total,12126,0.9,0.2,0.1,0.0,0.4,0.1,0.1,00111
47.0,30.0,XX.0,XXX,XX,XX,Dumuria Upazila Total,305675,1.7,0.2,0.3,0.2,0.7,0.2,0.1,00111
47.0,30.0,11.0,XXX,XX,XX,  Atlia Union Total,32236,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00111
47.0,30.0,13.0,XXX,XX,XX,  Bhandar Para Union Total,16749,1.4,0.2,0.2,0.2,0.5,0.2,0.1,00111
47.0,30.0,20.0,XXX,XX,XX,  Dhamalia Union Total,22240,1.0,0.1,0.1,0.2,0.4,0.1,0.0,00111
47.0,30.0,27.0,XXX,XX,XX,Dumuria Union Total,29242,1.9,0.2,0.5,0.2,0.7,0.2,0.1,00111
47.0,30.0,33.0,XXX,XX,XX,  Gutudia Union Total,26143,2.4,0.2,0.5,0.3,1.2,0.2,0.1,00111
47.0,30.0,40.0,XXX,XX,XX,  Kharnia Union Total,20585,1.6,0.3,0.3,0.2,0.6,0.2,0.1,00111
47.0,30.0,47.0,XXX,XX,XX,  Magurkhali Union Total,13891,1.3,0.1,0.2,0.2,0.5,0.2,0.1,00111
47.0,30.0,54.0,XXX,XX,XX,  Maguraghona Union Total,23115,1.7,0.2,0.4,0.2,0.6,0.2,0.1,00111
47.0,30.0,61.0,XXX,XX,XX,  Raghunathpur Union Total,25817,1.5,0.2,0.2,0.2,0.6,0.2,0.0,00111
47.0,30.0,67.0,XXX,XX,XX,  Rangpur Union Total,18053,1.4,0.2,0.3,0.2,0.5,0.1,0.1,00111
47.0,30.0,74.0,XXX,XX,XX,  Rudaghara Union Total,23148,1.0,0.1,0.1,0.0,0.5,0.1,0.0,00111
47.0,30.0,81.0,XXX,XX,XX,  Sahas Union Total,18647,4.2,0.2,1.0,0.3,2.2,0.3,0.2,00111
47.0,30.0,88.0,XXX,XX,XX,  Sarappur Union Total,16101,1.2,0.1,0.2,0.1,0.5,0.2,0.0,00111
47.0,30.0,94.0,XXX,XX,XX,  Sovna Union Total,19708,1.5,0.2,0.3,0.2,0.7,0.2,0.1,00111
47.0,40.0,XX.0,XXX,XX,XX,Dighalia Upazila Total,115585,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00111
47.0,40.0,17.0,XXX,XX,XX,  Barakpur Union Total,22907,1.6,0.2,0.3,0.2,0.6,0.2,0.1,00111
47.0,40.0,57.0,XXX,XX,XX,  Dighalia Union Total,29518,1.3,0.2,0.3,0.1,0.5,0.2,0.1,00111
47.0,40.0,66.0,XXX,XX,XX,  Gazir Hat Union Total,19433,1.7,0.2,0.4,0.2,0.6,0.2,0.1,00111
47.0,40.0,85.0,XXX,XX,XX,  Senhati Union Total,43727,1.0,0.2,0.1,0.1,0.4,0.2,0.1,00111
47.0,45.0,XX.0,XXX,XX,XX,Khalishpur Thana Total,165299,1.8,0.2,0.4,0.1,0.7,0.2,0.1,00111
47.0,45.0,7.0,XXX,XX,XX,  Ward No-07 Total,10645,1.3,0.2,0.3,0.1,0.5,0.2,0.0,00111
47.0,45.0,8.0,XXX,XX,XX,  Ward No-08 Total,9308,1.2,0.1,0.2,0.1,0.6,0.2,0.0,00111
47.0,45.0,9.0,XXX,XX,XX,  Ward No-09 Total,31882,2.2,0.2,0.8,0.2,0.6,0.2,0.1,00111
47.0,45.0,10.0,XXX,XX,XX,  Ward No-10 Total,27947,1.4,0.1,0.3,0.1,0.6,0.3,0.1,00111
47.0,45.0,11.0,XXX,XX,XX,  Ward No-11 Total,12373,1.4,0.1,0.2,0.2,0.6,0.2,0.0,00111
47.0,45.0,12.0,XXX,XX,XX,  Ward No-12 Total,21208,1.3,0.2,0.2,0.1,0.6,0.2,0.1,00111
47.0,45.0,13.0,XXX,XX,XX,  Ward No-13 Total,9287,2.0,0.2,0.3,0.2,0.7,0.6,0.0,00111
47.0,45.0,14.0,XXX,XX,XX,  Ward No-14 Total,26335,2.7,0.1,0.9,0.2,1.3,0.2,0.1,00111
47.0,45.0,15.0,XXX,XX,XX, Ward No-15 Total,16314,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00111
47.0,48.0,XX.0,XXX,XX,XX,Khan Jahan Ali Thana Total,81313,1.8,0.2,0.4,0.1,0.9,0.2,0.1,00111
47.0,48.0,2.0,XXX,XX,XX,  Ward No-02 (Part) Total,5544,0.6,0.1,0.1,0.1,0.2,0.1,0.1,00111
47.0,48.0,19.0,XXX,XX,XX,  Atra Gilatala Union Total,48107,2.3,0.2,0.5,0.2,1.2,0.2,0.1,00111
47.0,48.0,75.0,XXX,XX,XX,  Jugipole Union Total,26276,1.3,0.1,0.2,0.1,0.5,0.2,0.1,00111
47.0,48.0,98.0,XXX,XX,XX,  Gilatala Cantt. Total,1386,0.1,0.0,0.0,0.0,0.1,0.0,0.0,00111
47.0,51.0,XX.0,XXX,XX,XX,Khulna Sadar Thana Total,224444,1.4,0.1,0.2,0.1,0.6,0.2,0.1,00111
47.0,51.0,21.0,XXX,XX,XX,  Ward No-21 Total,20220,1.6,0.2,0.3,0.1,0.6,0.3,0.0,00111
47.0,51.0,22.0,XXX,XX,XX,  Ward No-22 Total,17239,1.5,0.2,0.2,0.1,0.7,0.2,0.1,00111
47.0,51.0,23.0,XXX,XX,XX,  Ward No-23 Total,13793,1.1,0.1,0.2,0.1,0.4,0.3,0.1,00111
47.0,51.0,24.0,XXX,XX,XX,  Ward No-24 Total,37889,1.3,0.2,0.4,0.1,0.5,0.2,0.1,00111
47.0,51.0,27.0,XXX,XX,XX,  Ward No-27 Total,30265,1.3,0.1,0.3,0.1,0.6,0.2,0.1,00111
47.0,51.0,28.0,XXX,XX,XX,  Ward No-28 Total,20148,1.7,0.1,0.3,0.1,0.8,0.2,0.2,00111
47.0,51.0,29.0,XXX,XX,XX,  Ward No-29 Total,17763,0.8,0.1,0.1,0.0,0.4,0.2,0.1,00111
47.0,51.0,30.0,XXX,XX,XX,  Ward No-30 Total,33283,1.4,0.1,0.3,0.1,0.7,0.2,0.1,00111
47.0,51.0,31.0,XXX,XX,XX,  Ward No-31 Total,33844,1.3,0.1,0.2,0.1,0.6,0.2,0.1,00111
47.0,53.0,XX.0,XXX,XX,XX,Koyra Upazila Total,193931,2.2,0.3,0.5,0.2,0.9,0.2,0.1,00111
47.0,53.0,10.0,XXX,XX,XX,  Amadi Union Total,33184,1.3,0.2,0.2,0.1,0.5,0.1,0.1,00111
47.0,53.0,11.0,XXX,XX,XX,  Bagali Union Total,34477,2.3,0.2,0.6,0.3,0.8,0.3,0.0,00111
47.0,53.0,22.0,XXX,XX,XX,  Dakshin Bedkashi Union Total,16755,2.9,0.2,0.6,0.3,1.4,0.2,0.2,00111
47.0,53.0,55.0,XXX,XX,XX,Koyra Union Total,33230,2.5,0.2,0.5,0.3,1.0,0.3,0.2,00111
47.0,53.0,72.0,XXX,XX,XX,  Maharajpur Union Total,31068,2.5,0.3,0.6,0.2,1.1,0.2,0.1,00111
47.0,53.0,78.0,XXX,XX,XX,  Maheshwaripur Union Total,29992,1.6,0.3,0.3,0.1,0.6,0.2,0.1,00111
47.0,53.0,94.0,XXX,XX,XX,  Uttar Bedkashi Union Total,15225,3.7,0.3,0.8,0.3,1.7,0.3,0.2,00111
47.0,64.0,XX.0,XXX,XX,XX,Paikgachha Upazila Total,247983,1.9,0.2,0.4,0.2,0.7,0.2,0.1,00111
47.0,64.0,XX.0,XXX,XX,XX,  Paikgachha Paurashava,16017,0.7,0.1,0.0,0.1,0.3,0.1,0.0,00111
47.0,64.0,1.0,XXX,XX,XX,  Ward No-01 Total,1099,1.2,0.3,0.1,0.1,0.6,0.1,0.0,00111
47.0,64.0,2.0,XXX,XX,XX,  Ward No-02 Total,1060,0.5,0.1,0.0,0.0,0.1,0.3,0.0,00111
47.0,64.0,3.0,XXX,XX,XX,  Ward No-03 Total,1290,0.6,0.2,0.0,0.2,0.2,0.1,0.0,00111
47.0,64.0,4.0,XXX,XX,XX,  Ward No-04 Total,2661,0.5,0.1,0.0,0.1,0.3,0.0,0.0,00111
47.0,64.0,5.0,XXX,XX,XX,  Ward No-05 Total,2856,0.4,0.0,0.0,0.1,0.1,0.1,0.0,00111
47.0,64.0,6.0,XXX,XX,XX,  Ward No-06 Total,1989,1.2,0.2,0.0,0.1,1.0,0.0,0.0,00111
47.0,64.0,7.0,XXX,XX,XX,  Ward No-07 Total,1796,0.9,0.1,0.1,0.1,0.3,0.4,0.0,00111
47.0,64.0,8.0,XXX,XX,XX,  Ward No-08 Total,1134,0.5,0.2,0.0,0.0,0.2,0.2,0.0,00111
47.0,64.0,9.0,XXX,XX,XX,  Ward No-09 Total,2132,0.5,0.0,0.1,0.0,0.2,0.1,0.0,00111
47.0,64.0,16.0,XXX,XX,XX,  Chandkhali Union Total,37734,1.7,0.2,0.4,0.2,0.6,0.2,0.1,00111
47.0,64.0,27.0,XXX,XX,XX,  Deluti Union Total,15554,1.9,0.2,0.4,0.2,0.8,0.2,0.1,00111
47.0,64.0,33.0,XXX,XX,XX,  Gadaipur Union Total,19669,1.4,0.2,0.3,0.1,0.6,0.2,0.0,00111
47.0,64.0,39.0,XXX,XX,XX,  Garuikhali Union Total,22805,2.8,0.2,0.7,0.4,1.1,0.4,0.1,00111
47.0,64.0,44.0,XXX,XX,XX,  Haridhali Union Total,23415,1.9,0.2,0.4,0.2,0.8,0.3,0.0,00111
47.0,64.0,50.0,XXX,XX,XX,  Kapilmuni Union Total,33011,1.8,0.2,0.3,0.2,0.7,0.2,0.1,00111
47.0,64.0,61.0,XXX,XX,XX,  Laskar Union Total,20463,1.7,0.2,0.2,0.2,0.8,0.2,0.2,00111
47.0,64.0,67.0,XXX,XX,XX,  Lata Union Total,10856,1.3,0.2,0.3,0.1,0.5,0.1,0.0,00111
47.0,64.0,83.0,XXX,XX,XX,  Raruli Union Total,26152,2.5,0.2,0.9,0.3,0.8,0.2,0.1,00111
47.0,64.0,89.0,XXX,XX,XX,  Sholadana Union Total,22307,2.5,0.2,0.7,0.3,0.9,0.3,0.2,00111
47.0,69.0,XX.0,XXX,XX,XX,Phultala Upazila Total,83881,1.7,0.2,0.4,0.1,0.7,0.2,0.1,00111
47.0,69.0,38.0,XXX,XX,XX,Damodar Union Total,36742,1.9,0.2,0.6,0.2,0.6,0.2,0.1,00111
47.0,69.0,57.0,XXX,XX,XX,  Jamira Union Total,19138,1.3,0.2,0.2,0.2,0.5,0.2,0.0,00111
47.0,69.0,76.0,XXX,XX,XX,Phultala Union Total,28001,1.6,0.2,0.3,0.1,0.9,0.2,0.0,00111
47.0,75.0,XX.0,XXX,XX,XX,Rupsa Upazila Total,179519,1.9,0.2,0.4,0.2,0.7,0.2,0.1,00111
47.0,75.0,13.0,XXX,XX,XX,  Aijganti Union Total,44318,2.4,0.4,0.4,0.1,0.9,0.3,0.3,00111
47.0,75.0,27.0,XXX,XX,XX,  Ghatbhogh Union Total,33786,1.1,0.2,0.2,0.1,0.4,0.2,0.1,00111
47.0,75.0,54.0,XXX,XX,XX,  Naihati Union Total,58299,2.1,0.2,0.6,0.3,0.8,0.2,0.1,00111
47.0,75.0,67.0,XXX,XX,XX,  Sreefaltala Union Total,25242,1.7,0.2,0.4,0.2,0.5,0.3,0.0,00111
47.0,75.0,81.0,XXX,XX,XX,  T. S. Bahirdia Union Total,17874,1.6,0.1,0.3,0.2,0.6,0.2,0.1,00111
47.0,85.0,XX.0,XXX,XX,XX,Sonadanga Thana Total,167739,1.2,0.1,0.2,0.1,0.4,0.2,0.1,00111
47.0,85.0,16.0,XXX,XX,XX,  Ward No-16 Total,29213,0.9,0.1,0.1,0.0,0.4,0.2,0.1,00111
47.0,85.0,17.0,XXX,XX,XX,  Ward No-17 Total,33163,1.3,0.1,0.2,0.1,0.4,0.2,0.2,00111
47.0,85.0,18.0,XXX,XX,XX,  Ward No-18 Total,27896,0.8,0.1,0.1,0.0,0.3,0.2,0.1,00111
47.0,85.0,19.0,XXX,XX,XX,  Ward No-19 Total,18558,1.8,0.1,0.6,0.1,0.6,0.2,0.1,00111
47.0,85.0,20.0,XXX,XX,XX,  Ward No-20 Total,16624,1.4,0.2,0.5,0.1,0.4,0.2,0.1,00111
