ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,12,11,XXX,XX,XX,  Amirpur Union Total,3489,1693,1796,1426,157,2,3,12,1160.0,253,476,00111
47,12,23,XXX,XX,XX,  Baliadanga Union Total,3176,1531,1645,1219,50,23,5,11,1256.0,278,334,00111
47,12,35,XXX,XX,XX,Batiaghata Union Total,3912,1403,2509,962,120,6,2,145,1762.0,290,625,00111
47,12,47,XXX,XX,XX,  Bhanderkote Union Total,3586,1622,1964,1287,81,26,8,20,1451.0,289,424,00111
47,12,59,XXX,XX,XX,  Gangarampur Union Total,3860,1382,2478,1123,41,3,4,14,1944.0,242,489,00111
47,12,71,XXX,XX,XX,  Jalma Union Total,12718,5921,6797,3539,461,57,21,111,4460.0,2214,1855,00111
47,12,83,XXX,XX,XX,  Surkhali Union Total,6684,2612,4072,2099,152,22,8,14,2893.0,477,1019,00111
47,17,01,XXX,XX,XX,  Ward No-01 Total,232,91,141,78,12,1,0,4,99.0,8,30,00111
47,17,02,XXX,XX,XX,  Ward No-02 Total,300,106,194,89,22,1,1,1,145.0,15,26,00111
47,17,03,XXX,XX,XX,  Ward No-03 Total,211,72,139,52,19,0,1,3,79.0,17,40,00111
47,17,04,XXX,XX,XX,  Ward No-04 Total,305,118,187,97,28,0,0,0,126.0,21,33,00111
47,17,05,XXX,XX,XX,  Ward No-05 Total,165,64,101,49,7,1,1,3,78.0,11,15,00111
47,17,06,XXX,XX,XX,  Ward No-06 Total,195,78,117,44,13,6,0,15,83.0,13,21,00111
47,17,07,XXX,XX,XX,  Ward No-07 Total,244,76,168,66,12,0,0,1,124.0,9,32,00111
47,17,08,XXX,XX,XX,  Ward No-08 Total,457,169,288,129,33,0,0,3,175.0,37,80,00111
47,17,09,XXX,XX,XX,  Ward No-09 Total,338,119,219,85,21,0,0,3,140.0,31,58,00111
47,17,10,XXX,XX,XX,  Bajua Union Total,3265,1280,1985,1000,71,1,3,9,1435.0,270,476,00111
47,17,13,XXX,XX,XX,  Banishanta Union Total,3250,1259,1991,920,237,23,18,11,1214.0,305,522,00111
47,17,21,XXX,XX,XX,  Laudubi Union Total,1579,567,1012,436,67,3,4,6,684.0,122,257,00111
47,17,42,XXX,XX,XX,  Dacope Union Total,1175,337,838,277,35,2,0,10,596.0,48,207,00111
47,17,52,XXX,XX,XX,  Kailasganj Union Total,2320,704,1616,548,29,8,0,6,1129.0,142,458,00111
47,17,63,XXX,XX,XX,  Kamarkhola Union Total,3243,1194,2049,957,66,3,4,6,1466.0,228,513,00111
47,17,69,XXX,XX,XX,  Pankhali Union Total,3875,1502,2373,1190,106,9,6,11,1747.0,292,514,00111
47,17,73,XXX,XX,XX,  Sutarkhali Union Total,7491,2985,4506,2362,431,23,12,58,3068.0,542,995,00111
47,17,84,XXX,XX,XX,  Tildanga Union Total,3548,1144,2404,871,68,2,2,9,1801.0,262,533,00111
47,17,97,XXX,XX,XX,  Khulna Range Union Total,113,110,3,110,3,0,0,0,0.0,0,0,00111
47,21,01,XXX,XX,XX,  Ward No-01 Total,2345,977,1368,739,202,6,2,1,816.0,231,348,00111
47,21,02,XXX,XX,XX,  Ward No-02 (Part) Total,1150,511,639,389,128,0,1,4,371.0,118,139,00111
47,21,03,XXX,XX,XX,  Ward No-03 Total,4401,2075,2326,1599,281,19,9,20,1474.0,437,562,00111
47,21,04,XXX,XX,XX,  Ward No-04 Total,2450,1093,1357,860,133,3,0,5,868.0,225,356,00111
47,21,05,XXX,XX,XX,  Ward No-05 Total,2161,955,1206,694,243,8,7,7,631.0,246,325,00111
47,21,06,XXX,XX,XX,  Ward No-06 Total,2858,1225,1633,938,226,14,8,16,1004.0,257,395,00111
47,21,10,XXX,XX,XX,  Aranghata Union Total,2254,954,1300,761,92,4,4,7,930.0,182,274,00111
47,30,11,XXX,XX,XX,  Atlia Union Total,6765,2722,4043,2332,236,16,1,23,3093.0,351,713,00111
47,30,13,XXX,XX,XX,  Bhandar Para Union Total,4470,1857,2613,1604,116,2,0,22,2071.0,229,426,00111
47,30,20,XXX,XX,XX,  Dhamalia Union Total,5887,2360,3527,1986,159,4,5,28,2802.0,342,561,00111
47,30,27,XXX,XX,XX,Dumuria Union Total,6884,2912,3972,2386,215,12,6,26,2926.0,488,825,00111
47,30,33,XXX,XX,XX,  Gutudia Union Total,6377,2688,3689,2247,297,25,7,35,2738.0,381,647,00111
47,30,40,XXX,XX,XX,  Kharnia Union Total,5289,2268,3021,1941,326,3,6,12,2122.0,312,567,00111
47,30,47,XXX,XX,XX,  Magurkhali Union Total,2870,949,1921,784,61,5,0,3,1517.0,157,343,00111
47,30,54,XXX,XX,XX,  Maguraghona Union Total,6851,2976,3875,2558,250,13,12,36,2773.0,369,840,00111
47,30,61,XXX,XX,XX,  Raghunathpur Union Total,5517,2052,3465,1716,171,2,4,28,2679.0,306,611,00111
