ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,12,11,XXX,XX,XX,  Amirpur Union Total,1583,1426,157,1068,57,214,66,144,34,00111
47,12,23,XXX,XX,XX,  Baliadanga Union Total,1269,1219,50,1089,34,111,10,19,6,00111
47,12,35,XXX,XX,XX,Batiaghata Union Total,1082,962,120,661,33,39,19,262,68,00111
47,12,47,XXX,XX,XX,  Bhanderkote Union Total,1368,1287,81,1154,55,49,17,84,9,00111
47,12,59,XXX,XX,XX,  Gangarampur Union Total,1164,1123,41,1058,14,32,7,33,20,00111
47,12,71,XXX,XX,XX,  Jalma Union Total,4000,3539,461,1544,102,272,69,1723,290,00111
47,12,83,XXX,XX,XX,  Surkhali Union Total,2251,2099,152,1972,113,74,11,53,28,00111
47,17,01,XXX,XX,XX,  Ward No-01 Total,90,78,12,72,11,0,0,6,1,00111
47,17,02,XXX,XX,XX,  Ward No-02 Total,111,89,22,71,9,1,2,17,11,00111
47,17,03,XXX,XX,XX,  Ward No-03 Total,71,52,19,28,4,3,4,21,11,00111
47,17,04,XXX,XX,XX,  Ward No-04 Total,125,97,28,9,1,0,0,88,27,00111
47,17,05,XXX,XX,XX,  Ward No-05 Total,56,49,7,4,0,0,0,45,7,00111
47,17,06,XXX,XX,XX,  Ward No-06 Total,57,44,13,3,1,1,0,40,12,00111
47,17,07,XXX,XX,XX,  Ward No-07 Total,78,66,12,36,3,0,0,30,9,00111
47,17,08,XXX,XX,XX,  Ward No-08 Total,162,129,33,16,4,8,1,105,28,00111
47,17,09,XXX,XX,XX,  Ward No-09 Total,106,85,21,59,0,1,0,25,21,00111
47,17,10,XXX,XX,XX,  Bajua Union Total,1071,1000,71,640,17,70,3,290,51,00111
47,17,13,XXX,XX,XX,  Banishanta Union Total,1157,920,237,680,17,85,7,155,213,00111
47,17,21,XXX,XX,XX,  Laudubi Union Total,503,436,67,277,11,25,5,134,51,00111
47,17,42,XXX,XX,XX,  Dacope Union Total,312,277,35,256,20,0,2,21,13,00111
47,17,52,XXX,XX,XX,  Kailasganj Union Total,577,548,29,494,6,37,4,17,19,00111
47,17,63,XXX,XX,XX,  Kamarkhola Union Total,1023,957,66,813,26,13,8,131,32,00111
47,17,69,XXX,XX,XX,  Pankhali Union Total,1296,1190,106,859,21,17,3,314,82,00111
47,17,73,XXX,XX,XX,  Sutarkhali Union Total,2793,2362,431,1877,173,22,7,463,251,00111
47,17,84,XXX,XX,XX,  Tildanga Union Total,939,871,68,792,38,14,1,65,29,00111
47,17,97,XXX,XX,XX,  Khulna Range Union Total,113,110,3,99,3,0,0,11,0,00111
47,21,01,XXX,XX,XX,  Ward No-01 Total,941,739,202,56,2,150,55,533,145,00111
47,21,02,XXX,XX,XX,  Ward No-02 (Part) Total,517,389,128,5,2,181,75,203,51,00111
47,21,03,XXX,XX,XX,  Ward No-03 Total,1880,1599,281,117,15,769,88,713,178,00111
47,21,04,XXX,XX,XX,  Ward No-04 Total,993,860,133,256,7,192,27,412,99,00111
47,21,05,XXX,XX,XX,  Ward No-05 Total,937,694,243,17,2,143,48,534,193,00111
47,21,06,XXX,XX,XX,  Ward No-06 Total,1164,938,226,90,11,190,39,658,176,00111
47,21,10,XXX,XX,XX,  Aranghata Union Total,853,761,92,291,31,99,17,371,44,00111
47,30,11,XXX,XX,XX,  Atlia Union Total,2568,2332,236,1956,130,286,94,90,12,00111
47,30,13,XXX,XX,XX,  Bhandar Para Union Total,1720,1604,116,1520,95,29,3,55,18,00111
47,30,20,XXX,XX,XX,  Dhamalia Union Total,2145,1986,159,1484,64,87,38,415,57,00111
47,30,27,XXX,XX,XX,Dumuria Union Total,2601,2386,215,1224,82,185,20,977,113,00111
47,30,33,XXX,XX,XX,  Gutudia Union Total,2544,2247,297,1825,134,95,56,327,107,00111
47,30,40,XXX,XX,XX,  Kharnia Union Total,2267,1941,326,1372,109,311,111,258,106,00111
47,30,47,XXX,XX,XX,  Magurkhali Union Total,845,784,61,755,53,8,0,21,8,00111
47,30,54,XXX,XX,XX,  Maguraghona Union Total,2808,2558,250,2369,233,147,9,42,8,00111
47,30,61,XXX,XX,XX,  Raghunathpur Union Total,1887,1716,171,1158,74,27,17,531,80,00111
47,30,67,XXX,XX,XX,  Rangpur Union Total,1703,1571,132,1322,86,28,1,221,45,00111
47,30,74,XXX,XX,XX,  Rudaghara Union Total,2191,1998,193,1463,102,175,53,360,38,00111
47,30,81,XXX,XX,XX,  Sahas Union Total,2167,2017,150,1913,125,22,3,82,22,00111
47,30,88,XXX,XX,XX,  Sarappur Union Total,2034,1887,147,1620,114,98,7,169,26,00111
47,30,94,XXX,XX,XX,  Sovna Union Total,1713,1565,148,1333,118,58,5,174,25,00111
47,40,17,XXX,XX,XX,  Barakpur Union Total,1989,1845,144,1347,78,151,30,347,36,00111
